"","a_log","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","1e-04","-3","-0.5","0.2","0.2","NaN","-1.70773584832752","-3.94151362246797","0.000935295958694601","0.708608416734794","0.245659998659836","0.24198091198139","0","1919.67630852552","-940.996966745878","575"
"2","-3","-0.00035","-1","-2.375","0.2","0.2","NaN","-2.76668638121786","-1.93446050260197","-0.139970846713424","-1.37966182099728","0.353052659429566","0.242771159773213","0","2301.58880083615","-1131.9532129012","231"
"3","-2.5","-2e-04","-3","-1.75","0.2","0.2","NaN","-2.08689665414078","-4.71522772055346","0.000715590995723646","-2.1564108425159","0.248759708146981","0.24207240237645","0","1934.79157872233","-948.554601844284","312"
"4","-1.5","-0.00035","-3","-2.375","0.2","0.2","NaN","-1.92142287868232","-2.99610848644336","0.00063152934928262","-1.92140640466251","0.255162370842353","0.246431221588094","0","1968.91324048882","-965.615432727532","184"
"5","-2","-5e-04","-4","-3","0.2","0.2","NaN","-2.21332010479013","-3.14850142600929","0.000454406707313414","-3.81648310668973","0.266866844057994","0.23814784084887","0","1978.62411987246","-970.47087241935","28"
"6","-3","-0.00035","-3","-1.125","0.2","0.2","NaN","-2.18750438028043","-16.8180200166138","0.000737585828517069","-5.6664070095142","0.252375900803426","0.242364634737025","0","1947.39106874849","-954.854346857363","431"
"7","-2.5","1e-04","-1","-1.75","0.2","0.2","NaN","-1.84113080935936","-4.1878785930122","0.000861869685731847","0.0721470994982013","0.24464347824572","0.241983004335219","0","1915.93396614881","-939.125795557524","372"
"8","-2.5","-5e-05","-2","-0.5","0.2","0.2","NaN","-1.84067002987197","-4.18982834528502","0.000861897709435239","0.0739691310201293","0.244546043560664","0.242072344521559","0","1915.93363674236","-939.125630854299","592"
"9","-1.5","-2e-04","-3","-3","0.2","0.2","NaN","-2.1063088727085","-4.93345586609492","0.000718614498129957","-2.5196397357262","0.249445553882926","0.241895690256829","0","1937.28360235135","-949.800613658797","64"
"10","-2","-5e-05","-4","-3","0.2","0.2","NaN","-1.99472685717031","-5.79129450932691","0.000858272620556143","-0.534833548766238","0.246655497920429","0.242522510178987","0","1924.88235316479","-943.599989065514","43"
"11","-2.5","-5e-05","-1","-3","0.2","0.2","NaN","-1.89869549764047","-4.54474240548656","0.000850483164894545","-0.111232200707978","0.247347664541562","0.242148974856227","0","1917.02068814043","-939.669156553335","117"
"12","-2","-5e-05","-3","-1.75","0.2","0.2","NaN","-1.83544814924248","-4.16965412694661","0.000864045107653769","0.0859188224017358","0.244570383225704","0.242055071507547","0","1915.93848010366","-939.128052534949","318"
"13","-3","-2e-04","-2","-1.75","0.2","0.2","NaN","-1.92186640904471","-4.58964907079558","0.000835199848264314","-0.251718287676468","0.244516446490841","0.241784399564097","0","1917.46990714373","-939.893766054983","336"
"14","-2.5","1e-04","-1","-0.5","0.2","0.2","NaN","-1.8255651186528","-4.26522752033744","0.000894384786881672","0.371858476147215","0.240591883895816","0.246244714600279","0","1917.59740708427","-939.957516025256","622"
"15","-3","1e-04","-2","-0.5","0.2","0.2","NaN","-1.83335300026403","-4.15579719043838","0.000863551812874091","0.0950287834084157","0.24455426546616","0.242085597432293","0","1915.94547914625","-939.131552056246","596"
"16","-2.5","-5e-05","-5","-2.375","0.2","0.2","NaN","-2.14600025290737","-4.99751891973878","0.000692955347212298","-156.566987062343","0.251146718845972","0.242061588747647","0","1944.19847149577","-953.258048231005","142"
"17","-3","-2e-04","-1","-3","0.2","0.2","NaN","-2.91680443515077","-1.93454324825006","-0.145486121026122","-2.24966406090559","0.352035894094596","0.24278797408257","0","2305.34984534248","-1133.83373515436","111"
"18","-2.5","-5e-04","-3","-3","0.2","0.2","NaN","-2.1466691941042","-4.99630870102625","0.000692234879265528","-7.17558599275575","0.251148863627043","0.241963099299667","0","1944.1234265748","-953.220525770517","52"
"19","-1","-2e-04","-5","-3","0.2","0.2","NaN","-2.0441636874848","-3.59923258926224","0.000633902798089146","-4.64406794480196","0.254946971946754","0.240943295458575","0","1957.45946160873","-959.888543287483","15"
"20","-1","-0.00035","-3","-0.5","0.2","0.2","NaN","-1.1798702207251","-2.58890442253308","0.00110006420474117","0.946812045992454","0.251859320511815","0.243292866425103","0","1964.1549394938","-963.236282230021","560"
"21","-1","1e-04","-3","-3","0.2","0.2","NaN","-2.07942398432365","-2.9277849089842","0.000510156567908812","-2.79352111045622","0.268052935916419","0.256173236261655","0","1984.26929386169","-973.293459413965","75"
"22","-3","-5e-04","-1","-0.5","0.2","0.2","NaN","-1.06498935656667","-3.3341013696224","0.000671656523657753","3.84206100573742","0.253532573929373","0.242457743868681","0","1955.79451897797","-959.056071972106","601"
"23","-3","-0.00035","-5","-1.125","0.2","0.2","NaN","-1.98184641845166","-5.31863297365433","0.000845230879984388","-0.51482328815097","0.245927322264308","0.242454848517995","0","1922.33474835556","-942.326186660899","381"
"24","-2","-5e-05","-4","-1.125","0.2","0.2","NaN","-2.02780290971516","-4.39528868416897","0.00073148085758361","-1.37434548727616","0.247282383150016","0.242069763136469","0","1927.73881219814","-945.028218582191","418"
"25","-2","-5e-04","-2","-2.375","0.2","0.2","NaN","-2.08053853875713","-3.96107090421329","0.000618253468706973","-0.155467252477399","0.245393538991252","0.236646125767393","0","1931.14182147799","-946.729723222113","203"
"26","-3","-5e-05","-3","-1.125","0.2","0.2","NaN","-1.86961615269257","-4.31339852410412","0.000840661188559226","0.00861298496684929","0.244608544693092","0.19899207118906","0","1962.98372966257","-962.650677314405","441"
"27","-2.5","-2e-04","-1","-0.5","0.2","0.2","NaN","-1.16035860265991","-3.4307156645113","0.00084211923888226","3.26677494968872","0.252517943621303","0.241942260203606","0","1948.8926842987","-955.605154632472","612"
"28","-1.5","-5e-05","-2","-1.75","0.2","0.2","NaN","-1.84253149452574","-4.14787042096306","0.000862117675345774","0.0471652619835587","0.245572754052268","0.24260245213005","0","1915.99367850491","-939.155651735574","344"
"29","-1.5","1e-04","-5","-2.375","0.2","0.2","NaN","-1.9690836218332","-5.3375186831451","0.000856464095894933","-0.36123893482915","0.245853224068964","0.242141782989298","0","1921.89392862633","-942.105776796282","149"
"30","-2","-0.00035","-1","-2.375","0.2","0.2","NaN","-2.11188415903481","-0.966526445071324","-0.00162946966222444","-2.22274041555028","0.300298818953943","0.242074252484828","0","2136.76082088254","-1049.53922292439","233"
"31","-3","1e-04","-3","-2.375","0.2","0.2","NaN","-1.83956193185613","-4.1821266569534","0.000862604998040629","0.0780707860734384","0.244598699147208","0.242037112467802","0","1915.93423033842","-939.125927652327","196"
"32","-1","-5e-04","-5","-1.125","0.2","0.2","NaN","-2.11838571311883","-5.08449456645152","0.000720433445421618","-3.52493413091326","0.251685111009017","0.242392059915368","0","1941.58761798018","-951.952621473208","380"
"33","-2","1e-04","-4","-2.375","0.2","0.2","NaN","-2.01219230425534","-4.59599616153678","0.000750901296430965","-0.361655908880291","0.245559724665247","0.24199455852675","0","1920.15856715827","-941.238096062254","173"
"34","-2.5","-5e-04","-2","-1.125","0.2","0.2","NaN","-1.98156608526782","-4.67448244003619","0.00079735298527821","-0.813186372260951","0.245937263103169","0.241994246386017","0","1921.57081573168","-941.944220348958","452"
"35","-1.5","-5e-04","-1","-0.5","0.2","0.2","NaN","-1.3839658724784","-3.48103870267642","0.00087028026677511","2.5828842451488","0.252240631611461","0.242193643832596","0","1944.86148763685","-953.589556301543","604"
"36","-3","-5e-04","-3","-1.125","0.2","0.2","NaN","-1.80571701600167","-4.38104734120527","0.000898698735830529","0.514945327327141","0.249814437347845","0.234003990568434","0","1920.09332701565","-941.205475990943","426"
"37","-2","-2e-04","-2","-2.375","0.2","0.2","NaN","-2.04784879064638","-4.72855408538306","0.0007473035965735","-2.65939006111211","0.252058018167489","0.24378513293128","0","1939.1488823278","-950.733253647018","213"
"38","-2","-2e-04","-5","-3","0.2","0.2","NaN","-2.00769203319535","-5.99071827166198","0.000851837309346394","-0.477592683543127","0.246775297610901","0.242029067242464","0","1925.56869657121","-943.943160768724","13"
"39","-1","-5e-04","-3","-1.75","0.2","0.2","NaN","-1.87290521398272","-2.92822960196013","0.0006472577844607","-1.17806659101723","0.252864188742256","0.242379822208598","0","1960.90200736264","-961.609816164439","305"
"40","-1","-2e-04","-1","-1.75","0.2","0.2","NaN","0.158908050532918","-3.15344922867065","0.000821609567549008","5.22316150068465","0.253470353562587","0.241983596836466","0","1954.18665257481","-958.252138770523","365"
"41","-2","-2e-04","-5","-1.75","0.2","0.2","NaN","-2.11234701550035","-4.42943589254255","0.000664309050130013","-1.76211968645993","0.249153058350269","0.239986761656755","0","1933.3774671007","-947.847546033469","263"
"42","-2.5","-0.00035","-2","-1.125","0.2","0.2","NaN","-1.8402987012882","-4.18416599102596","0.000861604072206356","0.0768877134371297","0.244505842495833","0.241982191411847","0","1915.93400553222","-939.125815249227","457"
"43","-2","-5e-04","-3","-1.125","0.2","0.2","NaN","-1.8438077050327","-4.201237079812","0.000860357705514434","0.059192910899167","0.244571716805575","0.242040173987497","0","1915.93591275047","-939.126768858356","428"
"44","-2.5","-2e-04","-5","-2.375","0.2","0.2","NaN","-2.13909120188548","-5.00276114490978","0.000697608674929467","-3.50943119481727","0.250449650206134","0.241999380102259","0","1941.43509687197","-951.876360919104","137"
"45","-1","-5e-04","-4","-1.125","0.2","0.2","NaN","-1.70529987373889","-3.84781419370135","0.000944276688288656","0.311958626294484","0.239981585342057","0.235808387555799","0","1919.7221872839","-941.01990612507","405"
"46","-1.5","-2e-04","-3","-1.75","0.2","0.2","NaN","-2.05645090147882","-4.62499292521714","0.000733803573776197","-1.8221556369168","0.248224987790621","0.242095437149638","0","1931.933330434","-947.125477700121","314"
