"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","-3","-5","-0.5","0.2","0.2","NaN","-1.55191462648009","-3.18801693396106","-0.938014532333409","-4.59324833850889","0.240240753306334","0.242479283456772","0","1897.10250683139","-929.710065898815","615"
"2","-1.5","-5","-5","-1.125","0.2","0.2","NaN","-1.64583753883759","-3.33495163003591","-4.15392109704605","-4.59939544097345","0.240636816138016","0.242041820066794","0","1898.82495955661","-930.571292261423","479"
"3","-2","-2","-7.5","-0.5","0.2","0.2","NaN","-1.5843548001893","-3.24217914955461","-1.46267037061803","-4.59827467160066","0.240186659881305","0.241914074171207","0","1896.52246308137","-929.420044023805","568"
"4","-1.5","-2","-10","-3","0.2","0.2","NaN","-2.27722226010894","-3.02428953141711","-0.948916643500477","-19.8972328726776","0.271077359093021","0.242135866870575","0","2026.28232317774","-994.299974071988","19"
"5","-2","-5","-6.25","-0.5","0.2","0.2","NaN","-1.64417040834594","-3.33329409610459","-4.40366747241315","-4.59496596761247","0.240765745841247","0.241930778569337","0","1898.91126397977","-930.614444473006","578"
"6","-2.5","-5","-7.5","-0.5","0.2","0.2","NaN","-1.64804259002976","-3.33802238843978","-11.1291921309721","-4.59263627758529","0.240798527564518","0.242055130014389","0","1899.23835692785","-930.777990947046","552"
"7","-3","-5","-10","-1.125","0.2","0.2","NaN","-1.63563338424084","-3.32773443801925","-55.9442443039246","-4.5732338773088","0.241884643315409","0.242230173762591","0","1899.28340402365","-930.800514494943","376"
"8","-1.5","-3","-6.25","-1.125","0.2","0.2","NaN","-1.64837222380371","-3.33726642254874","-5.45277937361878","-4.59720054966925","0.240786747438386","0.242052115888853","0","1899.12111773854","-930.719371352392","464"
"9","-1","-5","-10","-2.375","0.2","0.2","NaN","-1.64756156942584","-3.33884774441896","-5.91947678885503","-4.59373305280376","0.240747031075236","0.242053896643977","0","1899.16438303059","-930.741003998413","130"
"10","-3","-1","-6.25","-1.75","0.2","0.2","NaN","-1.64542406503615","-3.33338943473107","-4.27425972986672","-4.59860708687474","0.240794891677579","0.242275708677927","0","1898.86993814737","-930.593781556804","346"
"11","-3","-1","-5","-1.75","0.2","0.2","NaN","-1.64542406503615","-3.33338943473107","-4.27425972986672","-4.59860708687474","0.240794891677579","0.242275708677927","0","1898.86993814737","-930.593781556804","371"
"12","-2.5","-1","-6.25","-0.5","0.2","0.2","NaN","-1.58275716670901","-3.24397297242296","-1.40055870789164","-4.60175942856772","0.240641549341345","0.242011514922586","0","1896.5263895746","-929.422007270418","597"
"13","-3","-5","-7.5","-2.375","0.2","0.2","NaN","-1.6547852735827","-3.28628116221824","-0.810840811340985","-4.75500842037044","0.239098236732391","0.234959815118019","0","1899.89360920984","-931.105617088039","176"
"14","-3","-5","-6.25","-3","0.2","0.2","NaN","-1.6465094194794","-3.33535137672226","-5.00606474888604","-4.59555524596799","0.240549890715104","0.241739370790272","0","1899.05785767989","-930.687741323063","76"
"15","-2.5","-1","-10","-1.125","0.2","0.2","NaN","-1.58362959823081","-3.24228732832422","-1.42711600627615","-4.59978084691747","0.240184336857897","0.242040971476373","0","1896.51945851247","-929.418541739355","397"
"16","-1.5","-4","-6.25","-0.5","0.2","0.2","NaN","-1.6411386694841","-3.33091335249954","-3.54522510271764","-4.59981220337551","0.240617948669354","0.242014943481511","0","1898.51317631954","-930.415400642891","584"
"17","-1.5","-4","-8.75","-2.375","0.2","0.2","NaN","-1.64540749529614","-3.33730535743035","-4.40045242724923","-4.59565499736322","0.240702887315391","0.241980128325381","0","1898.91130387381","-930.614464420026","159"
"18","-3","-3","-5","-0.5","0.2","0.2","NaN","-1.58377066893562","-3.24369473102746","-1.43177666950264","-4.59646152248034","0.240105614425402","0.242129273626346","0","1896.52015803531","-929.418891500776","611"
"19","-3","-1","-10","-1.125","0.2","0.2","NaN","-1.62450004667203","-3.30893790298192","-2.38435730759864","-4.60650475548128","0.240054823865958","0.24199841010477","0","1897.40265158037","-929.860138273306","396"
"20","-3","-2","-7.5","-1.75","0.2","0.2","NaN","-1.64795076917599","-3.33838822252906","-9.48492096054904","-4.59278012170433","0.240789322275411","0.242038387653249","0","1899.23659494089","-930.777109953562","316"
"21","-2.5","-5","-5","-1.75","0.2","0.2","NaN","-1.58358555923123","-3.24150636012806","-1.42402186608857","-4.60022803358","0.240170172327065","0.241992672770292","0","1896.51949555751","-929.418560261874","352"
"22","-3","-3","-6.25","-0.5","0.2","0.2","NaN","-1.58377066893562","-3.24369473102746","-1.43177666950264","-4.59646152248034","0.240105614425402","0.242129273626346","0","1896.52015803531","-929.418891500776","586"
"23","-3","-3","-8.75","-1.125","0.2","0.2","NaN","-1.56892432443725","-3.24315960320282","-1.11632915478112","-4.59796041276316","0.240674796627248","0.24084530837085","0","1896.78757813594","-929.552601551091","411"
"24","-1","-1","-8.75","-1.75","0.2","0.2","NaN","-2.28724147347582","-3.07895723921385","-1.36981447532167","-9.92247824682835","0.269609940799606","0.242019099995384","0","2023.40345874539","-992.860541855813","300"
"25","-3","-3","-10","-1.125","0.2","0.2","NaN","-1.56892432443725","-3.24315960320282","-1.11632915478112","-4.59796041276316","0.240674796627248","0.24084530837085","0","1896.78757813594","-929.552601551091","386"
"26","-2","-5","-7.5","-0.5","0.2","0.2","NaN","-1.64815089093563","-3.3384104756844","-9.3180519778762","-4.5944339271676","0.240713282084662","0.242068479354855","0","1899.2363457385","-930.776985352371","553"
"27","-3","-1","-7.5","-0.5","0.2","0.2","NaN","-1.58176139900116","-3.23939955756827","-1.39835795200348","-4.59826069027799","0.240151075203268","0.24205142885008","0","1896.52082685958","-929.419225912909","571"
"28","-1","-5","-6.25","-2.375","0.2","0.2","NaN","-1.5964054496757","-3.25924157545037","-1.57406118328471","-4.57935851026274","0.238763567399742","0.245508870217448","0","1896.87559935365","-929.596612159943","205"
"29","-1","-2","-8.75","-0.5","0.2","0.2","NaN","-2.27705723836287","-3.02631358015792","-0.954088792778654","-14.3509959956606","0.271103540872522","0.242080490744084","0","2026.24377365709","-994.280699311664","545"
"30","-2.5","-5","-10","-1.75","0.2","0.2","NaN","-1.64796316568935","-3.3377579288622","-16.3837836299976","-4.59311085911973","0.24075527488241","0.242041937611343","0","1899.23870810995","-930.778166538094","252"
"31","-1","-3","-10","-1.125","0.2","0.2","NaN","-1.6225004829754","-3.30098873934544","-2.10980456713225","-4.617463563886","0.240293663386243","0.242079676022379","0","1897.077876615","-929.697750790619","390"
"32","-2","-2","-7.5","-1.125","0.2","0.2","NaN","-1.6478626712401","-3.33700499141978","-5.71266228973644","-4.59446342231342","0.240844669074116","0.24199144701847","0","1899.14766783008","-930.732646398158","443"
