"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1.88888888888889","-3.66666666666667","-2.375","0.2","0.2","NaN","-2.2768500269149","-3.0243210858435","-0.947279970378931","0.271046894390858","0.242096231681711","0","2020.00210387009","-994.300062337645","136"
"2","-1.66666666666667","-3.22222222222222","-1.75","0.2","0.2","NaN","-2.27759153591008","-3.02562877094991","-0.948492551099496","0.271032928176941","0.242125623236313","0","2020.00208177509","-994.300051290147","247"
"3","-1.22222222222222","-1.88888888888889","-2.375","0.2","0.2","NaN","-2.27743706327664","-3.02625968356696","-0.948616132072825","0.271096305491492","0.242080481902169","0","2020.00205053702","-994.300035671112","179"
"4","-1.88888888888889","-2.33333333333333","-3","0.2","0.2","NaN","-2.27768191746347","-3.02598857607491","-0.950931709081655","0.271083859759012","0.242128405078271","0","2020.00202823389","-994.300024519545","66"
"5","-1.88888888888889","-3.22222222222222","-1.125","0.2","0.2","NaN","-2.2834666637897","-3.03451248004659","-1.04554169407141","0.271118647188916","0.242115309471207","0","2020.02212122423","-994.310071014714","346"
"6","-2.11111111111111","-5","-0.5","0.2","0.2","NaN","-2.27800890503656","-3.02582291855042","-0.950452251413219","0.271078312833076","0.242138331139989","0","2020.00209914152","-994.300059973361","405"
"7","-2.77777777777778","-2.77777777777778","-3","0.2","0.2","NaN","-2.27773714711142","-3.02600571602874","-0.951552162713874","0.271104754249116","0.242093722634708","0","2020.00203759375","-994.300029199472","52"
"8","-1.44444444444444","-1.44444444444444","-2.375","0.2","0.2","NaN","-2.38225614560319","-3.17946903460058","-8.67355361778545","0.272194769661039","0.2420600791078","0","2024.24301713349","-996.420518969344","188"
"9","-3","-1.88888888888889","-1.75","0.2","0.2","NaN","-2.27470341165014","-3.02050761843881","-0.916727407341906","0.27107899322155","0.24209340789035","0","2020.0046241184","-994.301322461801","271"
"10","-2.11111111111111","-4.55555555555556","-0.5","0.2","0.2","NaN","-2.2775668771903","-3.02550418195114","-0.948859947080257","0.271108389556356","0.242087029414393","0","2020.00204262602","-994.30003171561","415"
"11","-1.44444444444444","-4.55555555555556","-1.125","0.2","0.2","NaN","-2.27731609246146","-3.0250449201959","-0.952186130046339","0.271050879010292","0.242108725708049","0","2020.00207876052","-994.30004978286","318"
"12","-2.33333333333333","-5","-2.375","0.2","0.2","NaN","-2.37530436597728","-3.17799824024636","-3.75472186340373","0.272016536298477","0.242056129376228","0","2023.59044472979","-996.094232767494","104"
"13","-2.77777777777778","-2.77777777777778","-0.5","0.2","0.2","NaN","-2.27709040289461","-3.02461091069257","-0.944634094576175","0.271102807327351","0.242098902148382","0","2020.0020884513","-994.300054628247","452"
"14","-1.66666666666667","-3.22222222222222","-0.5","0.2","0.2","NaN","-2.27729997395597","-3.0247955624836","-0.954918556568644","0.271095885917712","0.242094274173387","0","2020.00214969346","-994.30008524933","447"
"15","-2.55555555555556","-1","-0.5","0.2","0.2","NaN","-2.27711302354967","-3.02544783133735","-0.944266045552188","0.271017742422533","0.2421115707612","0","2020.00215966108","-994.300090233142","493"
"16","-3","-1.88888888888889","-3","0.2","0.2","NaN","-2.27716961772416","-3.02554483785075","-0.947338390843082","0.271070005927836","0.242098526668278","0","2020.00204245791","-994.300031631554","71"
"17","-1.22222222222222","-3.22222222222222","-1.75","0.2","0.2","NaN","-2.26475661459883","-2.99722875978524","-0.831545988774224","0.271194493960781","0.2422106980455","0","2020.0434961745","-994.320758489852","249"
"18","-1","-4.55555555555556","-3","0.2","0.2","NaN","-2.27735487740679","-3.02418679964553","-0.953262539634576","0.271039415970973","0.242115399789588","0","2020.00217619477","-994.300098499983","20"
"19","-3","-3.22222222222222","-1.75","0.2","0.2","NaN","-2.2771756404976","-3.02514909157655","-0.947709700537975","0.271090307282211","0.242096697841348","0","2020.00203175221","-994.300026278703","241"
