"","r2_log","alpha11","alpha22","alpha12","alpha21","sigma","sigma2","error","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-3","0.001","0.001","5e-04","0.001","-1.6094379124341","-1.6094379124341","NaN","-5.86143476100401","0.000477965866864878","0.00173822668976999","0.161443839048295","-0.0251160920504866","-0.0251160920504866","-1.18286550886335","0","128.969174200361","-45.8540521731962","278"
"2","-1","0.005","0.001","0.001","0.005","-1.6094379124341","-1.6094379124341","NaN","-3.80547194839625","0.000477552955198344","0.00174159750244466","0.0225646857275552","-0.00256662424945089","-0.00256662424945089","-1.18170029098212","0","130.529505540081","-46.6342178430559","603"
"3","-1","0.001","0.001","5e-04","0.001","-1.6094379124341","-1.6094379124341","NaN","-9.83432132117786","0.000472428064607887","0.00177396675591586","9.12567441038611","-0.649000430027496","-0.649000430027496","-1.18371888233269","0","135.821377289398","-49.2801537177147","799"
"4","-5","0.005","0.001","5e-04","5e-04","-1.6094379124341","-1.6094379124341","NaN","-4.44398920137502","0.00048054864724379","0.00173590377226395","0.0403674842360501","-0.00593076793615617","-0.00593076793615617","-1.18425238225106","0","129.426123582877","-46.0825268644541","25"
"5","-5","0.005","0.001","5e-04","0.001","-1.6094379124341","-1.6094379124341","NaN","-5.1859652111551","0.000480140426053974","0.00170352691539072","0.0796787495203623","-0.0126363979506108","-0.0126363979506108","-1.18962803750369","0","129.093809494915","-45.9163698204732","825"
"6","-5","0.001","0.001","0.001","0.001","-1.6094379124341","-1.6094379124341","NaN","-6.21407450904945","0.000479354321750165","0.00172535319518439","0.222897933715919","-0.0365165620996798","-0.0365165620996798","-1.18202237907184","0","128.892420596786","-45.8156753714084","373"
"7","-0.5","0.001","0.001","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-3.17792699561712","0.000511021725500076","0.00121918741420412","0.00938865413422064","-5.89778751142131e-05","-5.89778751142131e-05","-1.17901863643264","0","144.731187184578","-53.7350586653045","88"
"8","-0.5","5e-04","0.001","0.005","0.001","-1.6094379124341","-1.6094379124341","NaN","-0.921123421230014","0.000491950155771501","0.00291173291653256","0.00519559846466221","0.000317666556793532","0.000317666556793532","-1.13944006884925","0","299.037954831085","-130.888442488558","948"
"9","-3","0.005","0.005","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-5.29459537613348","0.000480773977711114","0.00173328056552533","0.0883203624211463","-0.0146273834593674","-0.0146273834593674","-1.18402946644692","0","129.036356519451","-45.8876433327411","234"
"10","-5","0.005","0.001","0.001","0.005","-1.6094379124341","-1.6094379124341","NaN","-4.2815923819457","0.000481574340385733","0.00174432499999456","0.0348705138519504","-0.0049672670590942","-0.0049672670590942","-1.18629254999005","0","129.582950302548","-46.1609402242897","633"
