"","a_log","a12","h_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-3","-5e-05","-2","0.2","0.2","NaN","-1.85633551436085","-6.97938325329268e-05","-4.35336782439562","0.43079998505692","0.280224835751652","0","2873.00796145844","-1420.87904262357","91"
"2","-3","-2e-04","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","61"
"3","-2.5","-0.00035","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","32"
"4","-1","-5e-05","-4","0.2","0.2","NaN","-1.85714178568697","-6.9024724974658e-05","-4.35847266666578","0.430964018489934","0.280157749905036","0","2873.00818077877","-1420.87915228374","45"
"5","-3","-0.00035","-5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","6"
"6","-1","-5e-04","-2","0.2","0.2","NaN","-1.85572637490222","-7.02361796238302e-05","-4.35635772523197","0.430833561127266","0.280159684575884","0","2873.00775776046","-1420.87894077458","80"
"7","-1.5","-5e-05","-1","0.2","0.2","NaN","-1.8558967814176","-7.0069613685964e-05","-4.3537463127813","0.430983828470782","0.280249364598242","0","2873.00785166026","-1420.87898772448","119"
"8","-3","-0.00035","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","106"
"9","-3","-5e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","26"
"10","-1.5","-5e-05","-2","0.2","0.2","NaN","-1.85589856891726","-7.02160085009916e-05","-4.35360809508227","0.430961725803433","0.280272190938942","0","2873.00788051067","-1420.87900214969","94"
"11","-1","-5e-04","-5","0.2","0.2","NaN","-1.85599371676473","-7.01014097701494e-05","-4.35647082628758","0.430903626636327","0.280199813125928","0","2873.00767058278","-1420.87889718574","5"
"12","-2","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","103"
"13","-2","-5e-05","-1","0.2","0.2","NaN","-1.85601457876591","-6.9781600849992e-05","-4.35458883176655","0.430986574209004","0.28016968359391","0","2873.00786401156","-1420.87899390013","118"
"14","-2","-0.00035","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","83"
"15","-1.5","1e-04","-3","0.2","0.2","NaN","-1.85591841490759","-7.03910958749467e-05","-4.35460823693831","0.430965775819485","0.280233809846958","0","2873.00778334794","-1420.87895356832","74"
"16","-2.5","1e-04","-5","0.2","0.2","NaN","-1.8561442143976","-7.00689261211068e-05","-4.35576342879962","0.43093417763945","0.280234781841294","0","2873.00767532337","-1420.87889955604","22"
"17","-1.5","-5e-04","-1","0.2","0.2","NaN","-1.50142977834576","-0.000364646541082924","-0.99898525985317","0.539635098146835","0.279991506588188","0","3105.59523605825","-1537.17267992348","104"
"18","-2","1e-04","-3","0.2","0.2","NaN","-1.85569551560593","-7.06157933384009e-05","-4.35173837340118","0.431174223594841","0.280207959356406","0","2873.00863686303","-1420.87938032586","73"
"19","-1.5","1e-04","-5","0.2","0.2","NaN","-1.85609380217568","-7.06864879538368e-05","-4.35715383220386","0.430813215609783","0.280128914926496","0","2873.00800824952","-1420.87906601911","24"
"20","-2.5","-5e-05","-3","0.2","0.2","NaN","-1.85617410975683","-7.00753511183685e-05","-4.35542754541113","0.430942453912259","0.280255272113026","0","2873.00771247906","-1420.87891813388","67"
"21","-1.5","-5e-05","-3","0.2","0.2","NaN","-1.85581608318786","-7.03145069784898e-05","-4.35478142603619","0.430821077789427","0.280196036089385","0","2873.00773539091","-1420.87892958981","69"
"22","-2","-5e-04","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","53"
"23","-1.5","-2e-04","-3","0.2","0.2","NaN","-1.85628763473555","-6.97285775695583e-05","-4.35630754858602","0.430907006124334","0.280191564279739","0","2873.0077306629","-1420.8789272258","64"
"24","-1.5","1e-04","-1","0.2","0.2","NaN","-1.85615834898758","-7.00955760505913e-05","-4.356129255317","0.430882201901098","0.280167285159348","0","2873.0076679892","-1420.87889588895","124"
"25","-3","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","101"
"26","-1.5","-0.00035","-4","0.2","0.2","NaN","-1.85633887530313","-7.00015819165739e-05","-4.35668487516772","0.430872304806458","0.280225417499744","0","2873.0076580376","-1420.87889091315","34"
"27","-2","1e-04","-4","0.2","0.2","NaN","-1.85610016116907","-7.00972181054952e-05","-4.35661207464587","0.430915719461291","0.280210508560769","0","2873.00766010359","-1420.87889194615","48"
"28","-1","-0.00035","-3","0.2","0.2","NaN","-1.85598552311471","-7.04848281542344e-05","-4.37273211008637","0.431012536429029","0.280160531472715","0","2873.0147171578","-1420.88242047325","60"
"29","-2.5","-2e-04","-5","0.2","0.2","NaN","-1.85577257852152","-7.02547757034673e-05","-4.35571557975474","0.430885344305431","0.28022601375421","0","2873.0076885724","-1420.87890618055","12"
"30","-3","-2e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","111"
"31","-2.5","-5e-05","-2","0.2","0.2","NaN","-1.8562030376908","-7.00432288998795e-05","-4.35768340589099","0.431098012425183","0.280286170208921","0","2873.00801697923","-1420.87907038397","92"
"32","-2.5","-5e-05","-1","0.2","0.2","NaN","-1.85601197024153","-6.99872912153344e-05","-4.35390268947083","0.430927270555562","0.280181164173989","0","2873.00778996773","-1420.87895687822","117"
"33","-1","1e-04","-4","0.2","0.2","NaN","-1.85628039225434","-7.00236492887482e-05","-4.35736864960225","0.430888207791146","0.280201086750089","0","2873.00767148254","-1420.87889763562","50"
"34","-2.5","-0.00035","-5","0.2","0.2","NaN","-1.85592865135147","-7.02694270863709e-05","-4.3561023979019","0.430928890479168","0.280210664981431","0","2873.00767202926","-1420.87889790898","7"
