"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1.5","-2","-10","0.2","0.2","NaN","-1.89754953162079","-4.42825147053042","-8.31695149933892","0.431410891999423","0.280213364564319","0","2874.24525715625","-1421.49769047248","19"
"2","-2","-2","-6.25","0.2","0.2","NaN","-1.89697693923484","-4.4291168938906","-8.3029422555319","0.43131980839124","0.280237648368656","0","2874.24534735285","-1421.49773557077","93"
"3","-3","-3","-10","0.2","0.2","NaN","-1.91837909558984","-4.4327407789242","-9.07747227935022","0.431756992945757","0.280328906065637","0","2874.40090326755","-1421.57551352813","11"
"4","-2","-3","-6.25","0.2","0.2","NaN","-1.91712095641619","-4.43166508132536","-8.99618309086493","0.431364878557752","0.280182736704379","0","2874.37745684279","-1421.56379031575","88"
"5","-3","-2","-8.75","0.2","0.2","NaN","-1.90591312434836","-4.43114587722888","-8.5475712698847","0.431441608019606","0.280157507499332","0","2874.26826770172","-1421.50919574521","41"
"6","-3","-1","-5","0.2","0.2","NaN","-1.89580028129734","-4.41973104771682","-8.28742223069432","0.431411680690043","0.28004949783727","0","2874.24729350888","-1421.49870864879","121"
"7","-2","-2","-7.5","0.2","0.2","NaN","-1.89697693923484","-4.4291168938906","-8.3029422555319","0.43131980839124","0.280237648368656","0","2874.24534735285","-1421.49773557077","68"
"8","-1","-2","-5","0.2","0.2","NaN","-1.9327490940107","-4.42287248171611","-10.6911548294558","0.431598908534117","0.280158775660424","0","2874.71437797991","-1421.73225088431","120"
"9","-2","-3","-10","0.2","0.2","NaN","-1.91712095641619","-4.43166508132536","-8.99618309086493","0.431364878557752","0.280182736704379","0","2874.37745684279","-1421.56379031575","13"
"10","-2.5","-3","-8.75","0.2","0.2","NaN","-1.89873638631145","-4.42763392434035","-8.35960624488054","0.431867766581946","0.280391850939132","0","2874.24799283003","-1421.49905830937","37"
"11","-2.5","-1","-10","0.2","0.2","NaN","-1.89868969253377","-4.42798700733813","-8.32951834327921","0.43141256956688","0.280261347058278","0","2874.24565670649","-1421.49789024759","22"
"12","-1","-2","-6.25","0.2","0.2","NaN","-1.9327490940107","-4.42287248171611","-10.6911548294558","0.431598908534117","0.280158775660424","0","2874.71437797991","-1421.73225088431","95"
"13","-3","-3","-7.5","0.2","0.2","NaN","-1.91837909558984","-4.4327407789242","-9.07747227935022","0.431756992945757","0.280328906065637","0","2874.40090326755","-1421.57551352813","61"
"14","-1.5","-5","-10","0.2","0.2","NaN","-1.92532305062446","-4.43634253884011","-9.50297437047535","0.431435832726476","0.280164061364646","0","2874.51481357489","-1421.6324686818","4"
"15","-2.5","-4","-10","0.2","0.2","NaN","-1.89746226876893","-4.42896956872154","-8.31598184473538","0.431386531756445","0.280191815327799","0","2874.24527391655","-1421.49769885263","7"
"16","-1","-4","-5","0.2","0.2","NaN","-1.89757172577652","-4.42924380896943","-8.31595903671037","0.431432759208405","0.280248494526918","0","2874.24529869957","-1421.49771124413","110"
"17","-2.5","-2","-5","0.2","0.2","NaN","-1.89716609901312","-4.43158842029535","-8.3055131977902","0.431323674776818","0.280282374237396","0","2874.24561936012","-1421.49787157441","117"
"18","-2.5","-5","-8.75","0.2","0.2","NaN","-1.93612736642833","-4.42640313789754","-12.3354403803919","0.431583535144141","0.280252928160873","0","2874.80103423407","-1421.77557901139","27"
"19","-3","-5","-8.75","0.2","0.2","NaN","-1.93341007486141","-4.42576144686983","-10.8344808923045","0.431709400131394","0.280196393644976","0","2874.72813179647","-1421.73912779259","26"
"20","-2","-3","-5","0.2","0.2","NaN","-1.91712095641619","-4.43166508132536","-8.99618309086493","0.431364878557752","0.280182736704379","0","2874.37745684279","-1421.56379031575","113"
"21","-3","-2","-7.5","0.2","0.2","NaN","-1.90591312434836","-4.43114587722888","-8.5475712698847","0.431441608019606","0.280157507499332","0","2874.26826770172","-1421.50919574521","66"
"22","-1.5","-1","-7.5","0.2","0.2","NaN","-1.93648853959278","-4.42439915016748","-15.2105673680434","0.431661795624458","0.280229013977135","0","2874.82171106187","-1421.78591742529","74"
"23","-1","-2","-8.75","0.2","0.2","NaN","-1.9327490940107","-4.42287248171611","-10.6911548294558","0.431598908534117","0.280158775660424","0","2874.71437797991","-1421.73225088431","45"
"24","-3","-5","-5","0.2","0.2","NaN","-1.93341007486141","-4.42576144686983","-10.8344808923045","0.431709400131394","0.280196393644976","0","2874.72813179647","-1421.73912779259","101"
"25","-1.5","-4","-8.75","0.2","0.2","NaN","-1.92138755483629","-4.42755145500215","-9.31148009679834","0.431592727227433","0.280194930166913","0","2874.46372212867","-1421.60692295868","34"
"26","-1.5","-5","-5","0.2","0.2","NaN","-1.89772028738439","-4.42909456078558","-8.31717889243452","0.431318890233016","0.280193772513567","0","2874.24531867783","-1421.49772123326","104"
"27","-1","-4","-7.5","0.2","0.2","NaN","-1.89723054916365","-4.42797580332945","-8.3155898241211","0.431474612489528","0.280223873151335","0","2874.24529363503","-1421.49770871187","60"
"28","-1.5","-2","-7.5","0.2","0.2","NaN","-1.89736896647475","-4.4276263734952","-8.31215551228305","0.431467860715412","0.280203589041396","0","2874.24528210562","-1421.49770294716","69"
"29","-1","-5","-6.25","0.2","0.2","NaN","-1.89657848644177","-4.42826921971233","-8.30537839005101","0.431308906950823","0.280211505477913","0","2874.24539595806","-1421.49775987338","80"
"30","-2","-5","-8.75","0.2","0.2","NaN","-1.92729567947977","-4.43332497150727","-9.62631374321892","0.431640337914827","0.280258896327692","0","2874.543484199","-1421.64680399385","28"
"31","-2","-5","-5","0.2","0.2","NaN","-1.92729567947977","-4.43332497150727","-9.62631374321892","0.431640337914827","0.280258896327692","0","2874.543484199","-1421.64680399385","103"
"32","-1.5","-3","-10","0.2","0.2","NaN","-1.90921478380382","-4.42736251537262","-8.66729680597109","0.431273186079705","0.280215973384927","0","2874.2921573213","-1421.521140555","14"
"33","-3","-4","-8.75","0.2","0.2","NaN","-1.89724691467966","-4.42868186513598","-8.31111801488452","0.43152198579869","0.280217174412306","0","2874.24533891831","-1421.49773135351","31"
"34","-2","-5","-10","0.2","0.2","NaN","-1.92729567947977","-4.43332497150727","-9.62631374321892","0.431640337914827","0.280258896327692","0","2874.543484199","-1421.64680399385","3"
"35","-2.5","-5","-10","0.2","0.2","NaN","-1.89751967814787","-4.4286969606389","-8.31858938457592","0.431370297205355","0.280174072917602","0","2874.24529755704","-1421.49771067287","2"
"36","-1.5","-1","-10","0.2","0.2","NaN","-1.89809078330249","-4.4308481816995","-8.32161569352646","0.43118020541754","0.280210014195896","0","2874.24569400971","-1421.49790889921","24"
"37","-1.5","-1","-8.75","0.2","0.2","NaN","-1.89809078330249","-4.4308481816995","-8.32161569352646","0.43118020541754","0.280210014195896","0","2874.24569400971","-1421.49790889921","49"
"38","-2","-1","-8.75","0.2","0.2","NaN","-1.9324760744401","-4.4239413200896","-10.6094863309065","0.431449215331403","0.280105605165255","0","2874.70587176797","-1421.72799777834","48"
"39","-2","-1","-5","0.2","0.2","NaN","-1.9324760744401","-4.4239413200896","-10.6094863309065","0.431449215331403","0.280105605165255","0","2874.70587176797","-1421.72799777834","123"
"40","-3","-1","-10","0.2","0.2","NaN","-1.8963470038368","-4.42392190800838","-8.31719515104194","0.431165469819391","0.28019819721818","0","2874.2459915567","-1421.4980576727","21"
"41","-1.5","-5","-7.5","0.2","0.2","NaN","-1.89772028738439","-4.42909456078558","-8.31717889243452","0.431318890233016","0.280193772513567","0","2874.24531867783","-1421.49772123326","54"
"42","-1","-5","-7.5","0.2","0.2","NaN","-1.89657848644177","-4.42826921971233","-8.30537839005101","0.431308906950823","0.280211505477913","0","2874.24539595806","-1421.49775987338","55"
"43","-3","-1","-7.5","0.2","0.2","NaN","-1.8963470038368","-4.42392190800838","-8.31719515104194","0.431165469819391","0.28019819721818","0","2874.2459915567","-1421.4980576727","71"
"44","-2","-1","-7.5","0.2","0.2","NaN","-1.9324760744401","-4.4239413200896","-10.6094863309065","0.431449215331403","0.280105605165255","0","2874.70587176797","-1421.72799777834","73"
"45","-3","-2","-10","0.2","0.2","NaN","-1.8973098121142","-4.4294027218578","-8.30856276556258","0.431451141015363","0.280274632359784","0","2874.24534586426","-1421.49773482648","16"
"46","-2","-3","-8.75","0.2","0.2","NaN","-1.8945196097326","-4.42655683109598","-8.24356069205428","0.431362042678102","0.280247137057296","0","2874.2478078316","-1421.49896581015","38"
"47","-1","-3","-5","0.2","0.2","NaN","-1.89908529157388","-4.42377336854776","-8.35558154828711","0.431317396663083","0.280393269751728","0","2874.24717235869","-1421.4986480737","115"
"48","-1.5","-3","-5","0.2","0.2","NaN","-1.90921478380382","-4.42736251537262","-8.66729680597109","0.431273186079705","0.280215973384927","0","2874.2921573213","-1421.521140555","114"
"49","-1","-3","-7.5","0.2","0.2","NaN","-1.89908529157388","-4.42377336854776","-8.35558154828711","0.431317396663083","0.280393269751728","0","2874.24717235869","-1421.4986480737","65"
"50","-3","-3","-6.25","0.2","0.2","NaN","-1.88069103395917","-4.41721625323112","-7.97811708035204","0.431558787339428","0.280598587443365","0","2874.32482094356","-1421.53747236613","86"
"51","-2.5","-2","-6.25","0.2","0.2","NaN","-1.89732915274112","-4.42863430873864","-8.31391095286711","0.431493188916752","0.280199995983513","0","2874.24530694055","-1421.49771536463","92"
"52","-2","-4","-10","0.2","0.2","NaN","-1.89737892626237","-4.42707102424253","-8.3095501315671","0.431426407960019","0.280226093267135","0","2874.24530955591","-1421.49771667231","8"
"53","-3","-4","-5","0.2","0.2","NaN","-1.89550856306876","-4.42280920115459","-8.30722051876373","0.431583208271368","0.280411237410925","0","2874.24677441408","-1421.49844910139","106"
"54","-1.5","-3","-8.75","0.2","0.2","NaN","-1.89739481646912","-4.42814399610417","-8.31038092735651","0.431409555577361","0.280193314419544","0","2874.24525989116","-1421.49769183993","39"
"55","-3","-2","-5","0.2","0.2","NaN","-1.89724150909676","-4.42916613353251","-8.30471942108985","0.431366488042262","0.280249848329853","0","2874.24531535663","-1421.49771957266","116"
"56","-2.5","-4","-8.75","0.2","0.2","NaN","-1.89869419312086","-4.42542640534775","-8.34857912410512","0.431376313227311","0.280223557307871","0","2874.24607861373","-1421.49810120122","32"
"57","-2","-4","-8.75","0.2","0.2","NaN","-1.89737892626237","-4.42707102424253","-8.3095501315671","0.431426407960019","0.280226093267135","0","2874.24530955591","-1421.49771667231","33"
"58","-2","-4","-6.25","0.2","0.2","NaN","-1.89737892626237","-4.42707102424253","-8.3095501315671","0.431426407960019","0.280226093267135","0","2874.24530955591","-1421.49771667231","83"
"59","-1","-4","-8.75","0.2","0.2","NaN","-1.89725070326734","-4.42818741316379","-8.31419625025571","0.431364452077087","0.28018510131259","0","2874.24526633735","-1421.49769506303","35"
"60","-1.5","-5","-6.25","0.2","0.2","NaN","-1.89727455944992","-4.4290738986484","-8.29564166775922","0.431401749284047","0.280230020534899","0","2874.24548217122","-1421.49780297996","79"
"61","-3","-3","-5","0.2","0.2","NaN","-1.89738629911234","-4.42802625305594","-8.31065835620046","0.431356436654485","0.280213528009472","0","2874.2452620138","-1421.49769290125","111"
