"","a_log","h12","h_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-0.00035","-3","0.2","0.2","NaN","-1.92163921362167","-2.8409299351019","-0.000117341826411907","0.448015793056814","0.276868400698514","0","2910.35251659492","-1439.55132019181","58"
"2","-2.5","-2e-04","-5","0.2","0.2","NaN","-4.57362185459007","-4.69509714091091","-1.61313154767725","0.596325329918061","0.279929585181006","0","3205.70925874469","-1587.2296912667","12"
"3","-3","-5e-04","-3","0.2","0.2","NaN","-3.06449104836419","-3.16239872562032","-0.252810072172688","0.596715068477662","0.279826773867773","0","3202.4859231071","-1585.6180234479","51"
"4","-1.5","-5e-05","-3","0.2","0.2","NaN","-1.49989802996241","-3.38438246374079","-2.66183275220377e-05","0.457650144734754","0.280087955432663","0","2934.93018314381","-1451.84015346626","69"
"5","-2","-0.00035","-1","0.2","0.2","NaN","-2.24252233868195","-1.03409566726473","-0.29183725985936","0.602871798860157","0.279714635286189","0","3213.0108604643","-1590.8804921265","108"
"6","-2.5","-5e-05","-1","0.2","0.2","NaN","-2.43375643938539","-1.13158205847773","-0.256837910796914","0.599892653665783","0.279736882714952","0","3212.44776788934","-1590.59894583902","117"
"7","-2","-2e-04","-2","0.2","0.2","NaN","-2.05860964207033","-2.06216713012414","-0.000265513988990445","0.473102944909766","0.28071413354264","0","2973.17270200531","-1470.96141289701","88"
"8","-2.5","-5e-04","-1","0.2","0.2","NaN","-2.30405840365191","-0.826212059884629","-0.358208320630971","0.598226307235135","0.279778281269451","0","3211.3034637174","-1590.02679375305","102"
"9","-1.5","1e-04","-3","0.2","0.2","NaN","-1.49984930320833","-3.38507432059424","-2.66711660068051e-05","0.457623970112296","0.280044933830676","0","2934.94433303393","-1451.84722841132","74"
"10","-3","-2e-04","-2","0.2","0.2","NaN","-2.83606756989838","-2.31897202401163","-0.267625178948833","0.594882345420131","0.280084496593037","0","3204.70969989055","-1586.72991183963","86"
"11","-1.5","-2e-04","-2","0.2","0.2","NaN","-1.71183636403256","-2.00405949278456","-0.000269372292933323","0.477953007769946","0.283554986199432","0","2975.73454201338","-1472.24233290104","89"
"12","-2","1e-04","-3","0.2","0.2","NaN","-1.84577755957436","-3.00001623385784","-9.60398241287948e-05","0.442316223421927","0.280139048145689","0","2899.77124659586","-1434.26068519228","73"
"13","-2","-5e-04","-5","0.2","0.2","NaN","-1.98154403619789","-4.56185931691828","-1.22322636742901e-05","0.429911039030247","0.279743322054577","0","2873.99002640497","-1421.37007509684","3"
