"","a_log","h_log","h12","log_w","sigma","sigma2","error","a_log.est","h_log.est","h12.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2.5","-2","1e-04","-5","0.2","0.2","NaN","701.093608188968","-1110.50070435809","-275.375676961457","691.295500960764","0.596119866838151","0.280015637044668","0","3214.83237892507","-1588.66626373576","617"
"2","-2","-5","-5e-05","-6.25","0.2","0.2","NaN","-1.94077727121364","-4.26171368937954","-2.13180650646462e-05","-10.0763234644481","0.430038599089549","0.280790218325378","0","2877.76677037493","-1420.13345946069","453"
"3","-3","-5","-0.00035","-5","0.2","0.2","NaN","-2.11624467091529","-2.47120909624245","-0.000179446932770542","-10.3080897531997","0.486462417851696","0.298734215909242","0","2960.39663319681","-1461.44839087163","526"
"4","-2","-1","-5e-05","-10","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","98"
"5","-3","-1","-5e-04","-8.75","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","146"
"6","-2.5","-1","-5e-04","-6.25","0.2","0.2","NaN","-3.23593992848015","0.552406722276799","-2.24582439550214","-6.12573317320509","0.594053629643686","0.280090797175363","0","3211.8919005939","-1587.19602457017","397"
"7","-1","-1","-5e-05","-5","0.2","0.2","NaN","-1.51720642359739","-1.57283781447672","-0.000417568328188154","-8.21893773020204","0.519258833615457","0.29301353234725","0","3035.44879105002","-1498.97446979823","600"
"8","-1.5","-5","-5e-04","-7.5","0.2","0.2","NaN","-1.98117839663372","-4.4704631761784","-1.71004542800877e-05","-9.27223016084101","0.434496162692858","0.280046033290061","0","2878.8984940207","-1420.69932128357","254"
"9","-2","-5","-2e-04","-10","0.2","0.2","NaN","-1.9322658671307","-4.17489679939671","-2.44424502857633e-05","-9.92300291737346","0.430146556990843","0.280199544985441","0","2877.5140036703","-1420.00707610837","53"
"10","-3","-5","1e-04","-5","0.2","0.2","NaN","-2.45789128491092","-5.0864997117924","-2.46903422163778e-05","-9.79716269292154","0.451777390583013","0.270205365395989","0","2933.00911504869","-1447.75463179756","601"
