"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","-3","-7.5","0.2","0.2","NaN","-1.85847362145767","-4.36263787073751","-7.59784048337808","0.43093342166698","0.280170032919143","0","2873.17432084855","-1420.96222231863","65"
"2","-2","-2","-7.5","0.2","0.2","NaN","-1.85744559315929","-4.36313143922906","-7.58954549646907","0.430975289574647","0.28017865462477","0","2873.17443547327","-1420.96227963099","68"
"3","-2","-2","-8.75","0.2","0.2","NaN","-1.85744559315929","-4.36313143922906","-7.58954549646907","0.430975289574647","0.28017865462477","0","2873.17443547327","-1420.96227963099","43"
"4","-1","-5","-5","0.2","0.2","NaN","-1.85848879976299","-4.36358373533666","-7.59089027314905","0.431061960407417","0.28024672034543","0","2873.17445049198","-1420.96228714034","105"
"5","-2.5","-1","-5","0.2","0.2","NaN","-1.85873907282265","-4.36198642293752","-7.59398035293728","0.430984188373593","0.280255147650792","0","2873.17442620017","-1420.96227499444","122"
"6","-1.5","-2","-8.75","0.2","0.2","NaN","-1.85785586871963","-4.36205750442912","-7.59154963138848","0.43099213878615","0.280221369286982","0","2873.17425929081","-1420.96219153976","44"
"7","-1","-5","-7.5","0.2","0.2","NaN","-1.85848879976299","-4.36358373533666","-7.59089027314905","0.431061960407417","0.28024672034543","0","2873.17445049198","-1420.96228714034","55"
"8","-3","-4","-6.25","0.2","0.2","NaN","-1.92903999675111","-4.42410869290851","-9.9675137216233","0.431270621802167","0.280148160821187","0","2874.49522449187","-1421.62267414029","81"
"9","-2","-1","-10","0.2","0.2","NaN","-1.85732266296819","-4.36018262932521","-7.58556410881855","0.430973190147785","0.280151173101718","0","2873.17433987567","-1420.96223183219","23"
"10","-2","-4","-5","0.2","0.2","NaN","-1.85575428541253","-4.36122075672315","-7.58270039742436","0.431069723994133","0.280143058792454","0","2873.17540085028","-1420.96276231949","108"
"11","-2","-5","-7.5","0.2","0.2","NaN","-1.93416770351095","-4.43102379913375","-10.9145082814212","0.431432775624399","0.280168265751411","0","2874.69169357019","-1421.72090867945","53"
"12","-2.5","-4","-10","0.2","0.2","NaN","-1.85791961223353","-4.36013096502608","-7.59282403845526","0.430833008556675","0.280160143242882","0","2873.17440054798","-1420.96226216834","7"
"13","-2.5","-1","-8.75","0.2","0.2","NaN","-1.85873907282265","-4.36198642293752","-7.59398035293728","0.430984188373593","0.280255147650792","0","2873.17442620017","-1420.96227499444","47"
"14","-1.5","-4","-5","0.2","0.2","NaN","-1.92030742939632","-4.41131755032712","-9.31401987231903","0.431560759422731","0.280169314971094","0","2874.23044569245","-1421.49028474057","109"
"15","-2.5","-4","-8.75","0.2","0.2","NaN","-1.85791961223353","-4.36013096502608","-7.59282403845526","0.430833008556675","0.280160143242882","0","2873.17440054798","-1420.96226216834","32"
"16","-2","-1","-7.5","0.2","0.2","NaN","-1.85732266296819","-4.36018262932521","-7.58556410881855","0.430973190147785","0.280151173101718","0","2873.17433987567","-1420.96223183219","73"
"17","-1","-1","-5","0.2","0.2","NaN","-1.8571145516962","-4.36111273410931","-7.58795302211073","0.430964184688208","0.280207746833836","0","2873.17435892","-1420.96224135435","125"
"18","-2","-3","-5","0.2","0.2","NaN","-1.85833004135822","-4.3609191084434","-7.59875166209763","0.430978660758955","0.280192023431826","0","2873.1743216553","-1420.962222722","113"
"19","-2","-4","-6.25","0.2","0.2","NaN","-1.85575428541253","-4.36122075672315","-7.58270039742436","0.431069723994133","0.280143058792454","0","2873.17540085028","-1420.96276231949","83"
"20","-2","-5","-10","0.2","0.2","NaN","-1.93416770351095","-4.43102379913375","-10.9145082814212","0.431432775624399","0.280168265751411","0","2874.69169357019","-1421.72090867945","3"
"21","-3","-4","-8.75","0.2","0.2","NaN","-1.92903999675111","-4.42410869290851","-9.9675137216233","0.431270621802167","0.280148160821187","0","2874.49522449187","-1421.62267414029","31"
"22","-3","-5","-6.25","0.2","0.2","NaN","-1.93360406597784","-4.4250092271816","-10.835220613797","0.431705913134272","0.280213897594381","0","2874.6796479023","-1421.7148858455","76"
"23","-3","-1","-7.5","0.2","0.2","NaN","-1.85771430884235","-4.36077364278753","-7.58930306237099","0.430863985512307","0.280169856454564","0","2873.1743212927","-1420.9622225407","71"
"24","-1","-4","-5","0.2","0.2","NaN","-1.85765410066115","-4.36045254116399","-7.59131952394006","0.430962985687588","0.280168084270714","0","2873.17427748888","-1420.96220063879","110"
"25","-2.5","-3","-8.75","0.2","0.2","NaN","-1.8553853558414","-4.35942039975917","-7.57526636387141","0.43087838750961","0.280298760835284","0","2873.17534282888","-1420.96273330879","37"
"26","-1","-2","-8.75","0.2","0.2","NaN","-1.85840916403545","-4.3648212499686","-7.58173783017345","0.430836692080765","0.280147616715581","0","2873.17495559913","-1420.96253969391","45"
"27","-2","-1","-6.25","0.2","0.2","NaN","-1.85759079362157","-4.36072131437374","-7.59315740474055","0.430923272242424","0.280143223985195","0","2873.17434981097","-1420.96223679984","98"
"28","-1","-5","-6.25","0.2","0.2","NaN","-1.85894721211217","-4.36368838531742","-7.61168719636407","0.430676766052459","0.280320821143744","0","2873.175470446","-1420.96279711735","80"
"29","-1.5","-5","-5","0.2","0.2","NaN","-1.85929426690313","-4.36385851650328","-7.59978448504988","0.430941293793499","0.28019787969842","0","2873.17451723721","-1420.96232051296","104"
"30","-1","-1","-6.25","0.2","0.2","NaN","-1.84841452612053","-4.35118159146593","-7.46768697795195","0.431017954757327","0.280229287662534","0","2873.19559997395","-1420.97286188133","100"
"31","-2.5","-1","-10","0.2","0.2","NaN","-1.85774718103087","-4.36029427551158","-7.58974586598878","0.430956633231472","0.280178793528375","0","2873.17427608823","-1420.96219993846","22"
