"","a_log","h_log","sigma","sigma2","error","a_log.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2.11111111111111","-1.44444444444444","0.2","0.2","NaN","-1.93695821092889","-4.42475300534136","0.431613447505565","0.280185155673013","0","2868.57300658559","-1421.78655280827","85"
"2","-3","-1.88888888888889","0.2","0.2","NaN","-1.93635238047121","-4.42535700705082","0.431582475801767","0.280205015105342","0","2868.5730876148","-1421.78659332288","71"
"3","-2.33333333333333","-3.22222222222222","0.2","0.2","NaN","-1.93664850382526","-4.42474991189201","0.431567712243943","0.280253163951428","0","2868.57301037564","-1421.7865547033","44"
"4","-1","-5","0.2","0.2","NaN","-1.93637950168871","-4.4249798961183","0.431768076581243","0.280154814111773","0","2868.57320588967","-1421.78665246032","10"
"5","-1.22222222222222","-3.22222222222222","0.2","0.2","NaN","-1.93639019364645","-4.42292334678771","0.431709312103935","0.28019937022","0","2868.5730569379","-1421.78657798443","49"
"6","-2.33333333333333","-1.88888888888889","0.2","0.2","NaN","-1.93665190222496","-4.4214521020666","0.431962583893768","0.280466021380339","0","2868.57458651551","-1421.78734277324","74"
"7","-2.77777777777778","-3.66666666666667","0.2","0.2","NaN","-1.93693404676479","-4.42407006136655","0.431620928915521","0.280218245693033","0","2868.57300063978","-1421.78654983537","32"
"8","-2.11111111111111","-4.55555555555556","0.2","0.2","NaN","-1.93662241254824","-4.42416647154981","0.431643917854403","0.280201917518928","0","2868.57297839187","-1421.78653871142","15"
"9","-2.33333333333333","-1","0.2","0.2","NaN","-1.93632538654217","-4.42380330257901","0.431533116317654","0.280228624514579","0","2868.57306084849","-1421.78657993973","94"
"10","-2.11111111111111","-2.77777777777778","0.2","0.2","NaN","-1.93691848853016","-4.42538923861331","0.431649804240227","0.280219466969931","0","2868.57299427775","-1421.78654665436","55"
"11","-1.66666666666667","-1.88888888888889","0.2","0.2","NaN","-1.93690798885608","-4.4234312112173","0.431568335938149","0.280248563048406","0","2868.57305760754","-1421.78657831925","77"
