"","a_log","a12","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-5e-04","1e-04","-4","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","853"
"2","-1","-5e-04","1e-04","-2","-1.125","0.2","0.2","NaN","-0.879691148458108","-0.000607903104115796","-2.71773539250136","-0.000136777329142413","2.02380560162614","0.413254100337773","0.280713793142907","0","2841.33507933658","-1398.79262632038","2355"
"3","-2.5","-5e-04","1e-04","-4","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2102"
"4","-2.5","-5e-05","-5e-05","-2","-1.125","0.2","0.2","NaN","-2.46405051335571","-0.00293537762636218","-2.06230390547195","-0.143441248213471","-1.1839048663747","0.585228138062333","0.279208868274787","0","3174.6502131663","-1565.45019323524","2342"
"5","-1","-5e-04","-5e-04","-3","-1.125","0.2","0.2","NaN","-0.978372288943238","-0.00194077477954228","-3.65684904306447","0.070529480910443","-0.795884513236466","0.610149771453878","0.280363087167631","0","3188.7393142342","-1572.49474376919","2130"
"6","-3","1e-04","-2e-04","-2","-2.375","0.2","0.2","NaN","-2.91383912528824","-0.000576313195484727","-2.07066197126076","-0.187387761642113","-2.34127804855823","0.580317508640889","0.280887906975603","0","3197.60883805185","-1576.92950567802","1071"
"7","-3","-5e-04","-0.00035","-5","-0.5","0.2","0.2","NaN","-1.90168753195443","0.00013196926831752","-4.99293715053645","2.92131052100643e-05","1.64544307459409","0.433691648280979","0.271555926203053","0","2879.35483052609","-1417.80250191514","2526"
"8","-3","-5e-04","-2e-04","-4","-1.75","0.2","0.2","NaN","-1.94222769014029","-3.02854292887865e-05","-3.32635876269494","-7.45599883926383e-05","-2.16729981486396","0.465702470053999","0.347230825542738","0","2936.41820397019","-1446.33418863718","1426"
"9","-2","1e-04","1e-04","-2","-1.75","0.2","0.2","NaN","-2.23157706959144","9.5601637642022e-05","-2.35889318777576","-0.000191749811661945","-1.68665282087844","0.469620028985208","0.281482462067083","0","2969.12223046592","-1462.68620188505","1748"
"10","-3","-5e-04","-0.00035","-3","-3","0.2","0.2","NaN","-1.85958688994616","-9.0671598084998e-05","-4.25058631062827","-2.94462374127829e-05","-3.0744136372148","0.423142846582649","0.277773898542537","0","2875.49708366876","-1415.87362848647","276"
"11","-1","-5e-04","-2e-04","-4","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","180"
"12","-2","1e-04","-5e-05","-5","-2.375","0.2","0.2","NaN","-1.99279524149549","-1.67712572061034e-05","-4.79761540628752","-7.73327247877833e-06","-2.35160437444401","0.427189382234603","0.279200354537336","0","2881.60998509627","-1418.93007920023","723"
"13","-1.5","-2e-04","-2e-04","-5","-1.75","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","1314"
"14","-3","-5e-05","-5e-05","-1","-0.5","0.2","0.2","NaN","-2.85623907423782","-0.00202626311705791","-1.05703919914856","-0.253656287717636","-0.544574448223649","0.609642493588701","0.289001383792148","0","3176.55778832123","-1566.40398081271","3091"
"15","-2","-5e-04","1e-04","-1","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1228"
"16","-1","-5e-04","-2e-04","-2","-0.5","0.2","0.2","NaN","-1.40747163508683","-0.00025011651274461","-3.37114467723573","-6.94739190289475e-05","0.758408933122241","0.409136774658331","0.280048303921402","0","2831.85760524588","-1394.05388927503","2930"
"17","-2","-0.00035","1e-04","-4","-2.375","0.2","0.2","NaN","-1.75911335265967","-0.000134454410619492","-4.0073346514789","-4.00275246025814e-05","-2.36837456309167","0.423746926444523","0.280232270713202","0","2868.60414426994","-1412.42715878706","858"
"18","-3","-0.00035","-2e-04","-4","-1.125","0.2","0.2","NaN","-2.00462048813797","-0.000278470751924747","-3.95522640722612","0.0622580523382347","-2.01192828980336","0.604340105512499","0.266660440549987","0","3186.66910731984","-1571.45964031201","2056"
"19","-1","-5e-04","-5e-05","-2","-1.75","0.2","0.2","NaN","-1.00028675299048","-0.000783661878132047","-2.00048644016238","-0.000575927442379577","-1.74582947114963","0.396631542072728","0.201480335166342","0","3111.26942875966","-1533.75980103192","1705"
"20","-3","-5e-04","-5e-05","-1","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1201"
"21","-2.5","-5e-04","-2e-04","-2","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2302"
"22","-2.5","1e-04","1e-04","-5","-1.125","0.2","0.2","NaN","-1.74077838074655","-0.000133894474955176","-3.97802328003401","-3.96298793380936e-05","-1.87807282185549","0.421286506227537","0.27937090177353","0","2863.8540442619","-1410.05210878304","1997"
"23","-1","-0.00035","-2e-04","-4","-1.125","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","2060"
