"","a_log","a12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-5e-05","-1","-3","0.2","0.2","NaN","-1.51460372065169","-0.000109223759504525","-3.76069922737927","0.836856585643577","0.413536242894637","0.280092189995469","0","2836.53782993523","-1399.51898924084","118"
"2","-1.5","-5e-04","-3","-2.375","0.2","0.2","NaN","-1.51829023920174","-9.56212318568159e-05","-3.7608672718412","0.810600040848193","0.415471469488043","0.278460134740936","0","2836.66905482226","-1399.58460168435","179"
"3","-1.5","-5e-05","-5","-1.125","0.2","0.2","NaN","-1.51261687789554","-0.000108562736014305","-3.76345099005824","0.828143468279237","0.413522557740238","0.280454482285112","0","2836.54447181933","-1399.52231018289","394"
"4","-1","-0.00035","-1","-1.75","0.2","0.2","NaN","-1.0950322911313","-0.000684663640575914","-1.16239041508411","-1.920559734465","0.523071057787128","0.282541315360215","0","3093.6390179466","-1528.06958324652","360"
"5","-1.5","-2e-04","-5","-1.125","0.2","0.2","NaN","-1.51340173322941","-0.000110492548308964","-3.7645387450073","0.835753808180135","0.413610925222306","0.28011110670449","0","2836.53743774843","-1399.51879314744","389"
"6","-3","-0.00035","-3","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","306"
"7","-2.5","1e-04","-1","-3","0.2","0.2","NaN","-1.51207654971428","-0.000109292469287129","-3.75583473263067","0.844331149001516","0.413800791728491","0.280500306835242","0","2836.54140868335","-1399.5207786149","122"
"8","-1","-0.00035","-3","-1.75","0.2","0.2","NaN","-1.51429000590305","-0.000110089955269433","-3.76286224833786","0.834302650592659","0.413614469300831","0.280125879082564","0","2836.53711520446","-1399.51863187545","310"
"9","-2.5","-5e-04","-4","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","527"
"10","-2","-5e-04","-2","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","203"
"11","-1","-2e-04","-4","-3","0.2","0.2","NaN","-1.51622991999947","-0.000109480603750425","-3.7681455635578","0.833755315903056","0.413572517954408","0.280214341174958","0","2836.53788713293","-1399.51901783969","40"
"12","-2","-5e-04","-1","-1.125","0.2","0.2","NaN","-1.66389926248856","-7.69164555068182e-05","-4.0434251919612","-0.0611221196511002","0.415347108131431","0.279881107797928","0","2841.63914142153","-1402.06964498399","478"
"13","-3","-0.00035","-5","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","131"
"14","-1","-2e-04","-2","-1.125","0.2","0.2","NaN","-1.50284703106387","-0.000113845715822965","-3.76983145784522","1.01052312765098","0.405583791172483","0.272228296762336","0","2838.03035271176","-1400.2652506291","465"
"15","-1","-5e-05","-2","-1.125","0.2","0.2","NaN","-1.29948069327448","-0.000212660636552582","-3.46968685908063","1.53778758739667","0.424518524597727","0.272912036636421","0","2841.56915527653","-1402.03465191148","470"
"16","-2.5","1e-04","-1","-1.125","0.2","0.2","NaN","-1.51440957599822","-0.000110346973160372","-3.76255511013163","0.83185277044515","0.413704585252586","0.280041743581972","0","2836.5372808433","-1399.51871469487","497"
"17","-1.5","-5e-05","-3","-3","0.2","0.2","NaN","-1.51416533049251","-0.000110458623297473","-3.7632359376672","0.8350150050631","0.413582499058699","0.280104753581109","0","2836.53708568587","-1399.51861711616","69"
"18","-3","-2e-04","-5","-1.75","0.2","0.2","NaN","-1.79262120210937","-7.3398831713544e-05","-4.35476986919408","-1.76743997784095","0.425577277360714","0.2807602744209","0","2864.39246391118","-1413.44630622881","261"
"19","-1","-5e-05","-5","-1.75","0.2","0.2","NaN","-1.51324928697851","-0.00011086579030054","-3.76237670136901","0.834851576578385","0.413767619414755","0.280165770326414","0","2836.53728278982","-1399.51871566813","270"
"20","-1.5","-2e-04","-2","-3","0.2","0.2","NaN","-1.52243220475535","-9.87677779127451e-05","-3.76733943216087","0.820358159455993","0.413255421281906","0.279826840435727","0","2836.56773324922","-1399.53394089783","89"
"21","-1.5","1e-04","-2","-1.125","0.2","0.2","NaN","-1.3667086137316","-0.00015678986120157","-3.51311732291607","1.3450167941032","0.41522168237491","0.280733593770959","0","2838.65660387848","-1400.57837621246","474"
"22","-3","-2e-04","-3","-3","0.2","0.2","NaN","-2.97613603081284","0.000357103318309761","-4.88952591511707","0.236210721061595","0.46244646623842","0.280138562670649","0","2952.87844109066","-1457.68929481855","61"
