"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-2","-10","-0.5","0.2","0.2","NaN","-1.5625749550436","-3.8188037351511","0.844334169666994","-8.30373543739706","0.41431722277049","0.280065907886297","0","2838.35340597165","-1400.42677725904","518"
"2","-3","-3","-6.25","-3","0.2","0.2","NaN","-1.60647979594918","-3.83124947819733","0.83349201519793","-10.742864700994","0.414447646848028","0.280096380000417","0","2838.7024736014","-1400.60131107392","86"
"3","-2","-4","-10","-1.125","0.2","0.2","NaN","-1.60609600956647","-3.83036816710691","0.836539255230681","-10.8237553468751","0.414508462583637","0.280091876483689","0","2838.70992552873","-1400.60503703759","383"
"4","-2","-2","-8.75","-0.5","0.2","0.2","NaN","-1.5625749550436","-3.8188037351511","0.844334169666994","-8.30373543739706","0.41431722277049","0.280065907886297","0","2838.35340597165","-1400.42677725904","543"
"5","-1","-5","-7.5","-2.375","0.2","0.2","NaN","-1.60885696956762","-3.82725273269261","0.835011586640878","-13.1795052813599","0.414525037393692","0.280119759776763","0","2838.79624538395","-1400.6481969652","180"
"6","-1","-1","-10","-3","0.2","0.2","NaN","-1.60867058899874","-3.82658803343546","0.838751117731686","-13.5940860434429","0.414580891206924","0.280222446868134","0","2838.79961142891","-1400.64987998768","25"
"7","-1","-5","-6.25","-3","0.2","0.2","NaN","-1.61044922318849","-3.83064479099336","0.835559966984068","-13.8867858981215","0.414459846639471","0.28013323789132","0","2838.80145466673","-1400.65080160659","80"
"8","-2","-3","-7.5","-2.375","0.2","0.2","NaN","-1.57402927611484","-3.83063120818287","0.827925678440844","-8.4854417049036","0.414317571956048","0.280181061589086","0","2838.32529126366","-1400.41271990505","188"
"9","-1.5","-2","-10","-0.5","0.2","0.2","NaN","-1.57638518948815","-3.83149889627054","0.823498959547104","-8.54576527706105","0.414121402898507","0.279986066067442","0","2838.32564927813","-1400.41289891229","519"
"10","-2.5","-3","-5","-2.375","0.2","0.2","NaN","-1.57543491791918","-3.83125436122006","0.827625604426368","-8.52191009910102","0.414331021179574","0.280108810308972","0","2838.32470173598","-1400.41242514121","237"
"11","-3","-4","-5","-0.5","0.2","0.2","NaN","-1.60871492479091","-3.82709476327651","0.833083546244326","-12.58487086087","0.414446521397598","0.280073395703479","0","2838.78864796248","-1400.64439825446","606"
"12","-2.5","-2","-5","-1.125","0.2","0.2","NaN","-1.6036286781265","-3.82834049903873","0.831136249059813","-10.332454757716","0.4144084629244","0.280143224191303","0","2838.65497358808","-1400.57756106726","492"
"13","-1.5","-5","-6.25","-2.375","0.2","0.2","NaN","-1.6079219502327","-3.82810171206814","0.834530294244086","-11.7639188545701","0.414493836658161","0.280143750094044","0","2838.76693063943","-1400.63353959294","204"
"14","-1","-3","-8.75","-2.375","0.2","0.2","NaN","-1.6077552337452","-3.82863664301427","0.83923643037978","-12.0961935736074","0.415024899270188","0.280277089263605","0","2838.7798331889","-1400.63999086767","165"
"15","-2","-1","-5","-1.125","0.2","0.2","NaN","-1.57563306245916","-3.82460310722356","0.831178127581886","-8.57669571372041","0.414169780514867","0.280155915895402","0","2838.32714840792","-1400.41364847718","498"
"16","-1","-2","-8.75","-0.5","0.2","0.2","NaN","-1.59183159662336","-3.83757834436412","0.810309801661197","-9.02371754297198","0.414387098912911","0.280075511636679","0","2838.39783963417","-1400.44899409031","545"
"17","-3","-5","-7.5","-2.375","0.2","0.2","NaN","-1.60795288837994","-3.82843439303675","0.833806303508971","-11.5948105364787","0.414488223225278","0.280158636559679","0","2838.75998157492","-1400.63006506068","176"
"18","-1.5","-1","-8.75","-0.5","0.2","0.2","NaN","-1.57536915228805","-3.83308464247562","0.827755782190817","-8.51791226516508","0.414245594756724","0.280094230601986","0","2838.3248489288","-1400.41249873762","549"
"19","-1.5","-4","-6.25","-0.5","0.2","0.2","NaN","-1.60712355915273","-3.83089634279178","0.826314041101233","-10.6927914317485","0.414499981660627","0.280128219635892","0","2838.69797165612","-1400.59906010128","584"
"20","-1","-3","-5","-2.375","0.2","0.2","NaN","-1.6077552337452","-3.82863664301427","0.83923643037978","-12.0961935736074","0.415024899270188","0.280277089263605","0","2838.7798331889","-1400.63999086767","240"
"21","-1","-5","-7.5","-1.75","0.2","0.2","NaN","-1.60873401462233","-3.8269899568457","0.836376725874696","-14.0680480768092","0.414491082882953","0.280127384430713","0","2838.80188983862","-1400.65101919253","305"
"22","-2","-1","-10","-0.5","0.2","0.2","NaN","-1.57753526708986","-3.83052679367126","0.835480435735317","-8.61112571273303","0.414238735367252","0.280079122859317","0","2838.32823859785","-1400.41419357214","523"
"23","-3","-4","-6.25","-0.5","0.2","0.2","NaN","-1.60871492479091","-3.82709476327651","0.833083546244326","-12.58487086087","0.414446521397598","0.280073395703479","0","2838.78864796248","-1400.64439825446","581"
"24","-2.5","-3","-10","-1.75","0.2","0.2","NaN","-1.574533369946","-3.82998688225654","0.823968246177487","-8.48317241119872","0.414253514380119","0.280027320546625","0","2838.32576350924","-1400.41295602784","262"
"25","-2","-1","-10","-1.75","0.2","0.2","NaN","-1.60898557804359","-3.82691830256834","0.837060240834342","-19.7441647624386","0.414467240496791","0.280162236811571","0","2838.80584417721","-1400.65299636183","273"
"26","-3","-5","-6.25","-3","0.2","0.2","NaN","-1.6077302850445","-3.82927592711372","0.835734808856957","-11.5590489722554","0.414514805909038","0.280104533225254","0","2838.75837647821","-1400.62926251233","76"
"27","-2","-5","-7.5","-1.75","0.2","0.2","NaN","-1.59880930077722","-3.83530428746435","0.833818358598718","-9.63636088685125","0.414389448284509","0.280152188407924","0","2838.53485881442","-1400.51750368043","303"
"28","-2","-4","-10","-3","0.2","0.2","NaN","-1.57945146821474","-3.83401679214511","0.828510645762339","-8.63696148751788","0.4140543991467","0.280112327788973","0","2838.3306271924","-1400.41538786942","8"
"29","-1","-5","-10","-1.75","0.2","0.2","NaN","-1.60906278310899","-3.82617098986367","0.837234069021968","-22.0339035832369","0.414518538006114","0.280099509703286","0","2838.80586559981","-1400.65300707313","255"
"30","-1.5","-3","-7.5","-2.375","0.2","0.2","NaN","-1.6079901343657","-3.83482658669126","0.821155864352235","-10.5532146643961","0.414493330004587","0.280169199567182","0","2838.68426670798","-1400.59220762721","189"
