"","a_log","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","1e-04","-3","-0.5","0.2","0.2","NaN","-1.00347244769092","-3.11032322863022","-2.51621947552325e-05","2.76951586883003","0.421604097822305","0.280061336825446","0","2856.11434988443","-1409.30724921544","575"
"2","-3","-0.00035","-1","-2.375","0.2","0.2","NaN","-3.45941698737559","-0.740691311584966","-0.38338803269276","-2.10562225723581","0.594022576056211","0.28004128701189","0","3211.04550497007","-1586.77282675826","231"
"3","-2.5","-2e-04","-3","-1.75","0.2","0.2","NaN","-1.9382509409391","-4.15132763810553","-2.47178454285911e-05","-5.01463516367027","0.430354375996875","0.280127205855198","0","2877.34079771363","-1419.92047313004","312"
"4","-1.5","-0.00035","-3","-2.375","0.2","0.2","NaN","-1.60844586419067","-3.26033283223831","-5.61271975777093e-05","-1.74696037663383","0.424317343293637","0.275870103199225","0","2884.69846713565","-1423.59930784104","184"
"5","-2","-5e-04","-4","-3","0.2","0.2","NaN","-1.8817078602932","-4.03297739655914","-2.66176602408503e-05","-2.46321101711649","0.425283026509832","0.27971249761296","0","2869.51231998","-1416.00623426322","28"
"6","-3","-0.00035","-3","-1.125","0.2","0.2","NaN","-1.8259199030314","-3.72358524134186","-3.90041311789005e-05","-1.91038141257665","0.425948997172339","0.278926272576658","0","2866.46608023167","-1414.48311438905","431"
"7","-2.5","1e-04","-1","-1.75","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","372"
"8","-2.5","-5e-05","-2","-0.5","0.2","0.2","NaN","-1.79208655254469","-2.01778313536454","-0.000268979631626321","-1.90139900282371","0.467079239525036","0.279908633995081","0","2962.22889399577","-1462.36452127111","592"
"9","-1.5","-2e-04","-3","-3","0.2","0.2","NaN","-1.52959533141496","-3.65715374101563","-8.29288713544483e-06","-2.85208667811793","0.450317397910165","0.281652461242679","0","2917.35811848255","-1439.9291335145","64"
"10","-2","-5e-05","-4","-3","0.2","0.2","NaN","-1.99993924801763","-4.28124347779112","-2.33190892207871e-05","-0.0452711624641363","0.421992435276044","0.280278403339729","0","2857.88352866247","-1410.19183860445","43"
"11","-2.5","-5e-05","-1","-3","0.2","0.2","NaN","-2.39673795804343","-1.13611914676425","-0.000667530223022751","-3.02867993107835","0.50879828339469","0.291855008844223","0","3067.03371650633","-1514.76693252639","117"
"12","-2","-5e-05","-3","-1.75","0.2","0.2","NaN","-1.43185448337123","-3.00210759637955","-7.08722203209488e-05","1.24314271333969","0.418050632865405","0.280106289220397","0","2847.49936204114","-1404.99975529379","318"
"13","-3","-2e-04","-2","-1.75","0.2","0.2","NaN","-3.56161878948457","-1.03633105660721","-0.530718756654983","-1.00881457952958","0.591095216235989","0.279845538547361","0","3206.3953905025","-1584.44776952447","336"
"14","-2.5","1e-04","-1","-0.5","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","622"
"15","-3","1e-04","-2","-0.5","0.2","0.2","NaN","-2.85180075278196","-2.18117585040067","-0.000265878375672315","-0.715945175250588","0.535739857380785","0.294906011939391","0","3056.82959519711","-1509.66487187178","596"
"16","-2.5","-5e-05","-5","-2.375","0.2","0.2","NaN","-1.91302621119135","-4.0503499727295","-2.60600317602125e-05","-2.60951967802756","0.425926138248637","0.278845743499941","0","2870.70926640145","-1416.60470747395","142"
"17","-3","-2e-04","-1","-3","0.2","0.2","NaN","-2.92674300963452","-1.45307435978768","-0.000510945794856087","-3.66093424460459","0.513516690222979","0.279445399066854","0","3085.98513912303","-1524.24264383474","111"
"18","-2.5","-5e-04","-3","-3","0.2","0.2","NaN","-1.92659091473712","-4.26398769277102","-1.9567839281096e-05","-2.67351603628367","0.427127427539198","0.280058572196012","0","2871.3221347221","-1416.91114163427","52"
"19","-1","-2e-04","-5","-3","0.2","0.2","NaN","-1.78258985797709","-3.25943580739609","-6.85814335508585e-05","-3.53513323061852","0.460972890249018","0.282510192328282","0","2894.59567079712","-1428.54790967178","15"
"20","-1","-0.00035","-3","-0.5","0.2","0.2","NaN","-1.77367131099351","-4.1417180311021","-1.4943238649858e-05","0.150370238878083","0.426728383178433","0.278263865197383","0","2842.33637349667","-1402.41826102156","560"
"21","-1","1e-04","-3","-3","0.2","0.2","NaN","-1.00134530944757","-3.11657453282679","-2.42975824252367e-05","2.78004599955706","0.421725592193143","0.279989090094877","0","2856.1814491509","-1409.34079884867","75"
"22","-3","-5e-04","-1","-0.5","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","601"
"23","-3","-0.00035","-5","-1.125","0.2","0.2","NaN","-1.78489521092813","-4.76231149695209","1.14721105134545e-05","1.08952755150333","0.426169728855571","0.283315467354948","0","2857.01757630332","-1409.75886242488","381"
"24","-2","-5e-05","-4","-1.125","0.2","0.2","NaN","-2.00011392469354","-4.28187337166923","-2.33226984925672e-05","-0.0455455786764994","0.421979324057956","0.280216043633544","0","2857.90342395986","-1410.20178625315","418"
"25","-2","-5e-04","-2","-2.375","0.2","0.2","NaN","-0.885639053593402","-2.76542139536884","-5.32291736979661e-05","2.79190053865348","0.424551381457411","0.28001601839567","0","2863.38471836047","-1412.94243345346","203"
"26","-3","-5e-05","-3","-1.125","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","441"
"27","-2.5","-2e-04","-1","-0.5","0.2","0.2","NaN","-2.46820141833452","-0.9077154822643","-0.321213664786905","-0.499141671468034","0.595947229675681","0.279152357062318","0","3209.09880322846","-1585.79947588745","612"
"28","-1.5","-5e-05","-2","-1.75","0.2","0.2","NaN","-1.72807862898136","-3.93765451548226","-2.1536814124084e-05","0.141739673739642","0.414331234574219","0.280400597732708","0","2839.42442092877","-1400.96228473761","344"
"29","-1.5","1e-04","-5","-2.375","0.2","0.2","NaN","-1.50299957369132","-3.50609267140816","-3.0713955015354e-05","1.19817871300083","0.414077449899426","0.280064842612499","0","2837.99048829134","-1400.24531841889","149"
"30","-2","-0.00035","-1","-2.375","0.2","0.2","NaN","-1.92189100812089","-4.18238654423801","-2.26210980981332e-05","-2.17104964503589","0.427247608780062","0.278450832467657","0","2867.55006247049","-1415.02510550847","233"
"31","-3","1e-04","-3","-2.375","0.2","0.2","NaN","-2.9606750919123","-4.58501911779299","-6.21968357224235e-05","-2.87445292672366","0.514110458079347","0.284340244757457","0","3018.25880152118","-1490.37947503381","196"
"32","-1","-5e-04","-5","-1.125","0.2","0.2","NaN","-1.88053363177395","-4.67350169471312","-1.15521177165539e-06","-0.182247604579654","0.421510770028574","0.282039266453348","0","2853.68772739764","-1408.09393797204","380"
"33","-2","1e-04","-4","-2.375","0.2","0.2","NaN","-1.62529490410631","-3.67872676160891","-2.95310785802397e-05","0.817605286123089","0.413395843753607","0.280076971093684","0","2836.18458676478","-1399.34236765561","173"
"34","-2.5","-5e-04","-2","-1.125","0.2","0.2","NaN","-1.97755896515213","-4.86901990693286","-2.55183139877853e-06","0.352272083848667","0.425460187948394","0.275669426032032","0","2862.17134948197","-1412.3357490142","452"
"35","-1.5","-5e-04","-1","-0.5","0.2","0.2","NaN","-1.66304959324178","-0.908971566966389","-0.000817755875278222","-0.628353660169518","0.51053511902756","0.289178894011318","0","3055.10375275711","-1508.80195065178","604"
"36","-3","-5e-04","-3","-1.125","0.2","0.2","NaN","-2.42888919577418","-3.88008397020635","-5.71048208903463e-05","-0.980637324964815","0.381538648660132","0.297924767064163","0","2972.09326525719","-1467.29670690182","426"
"37","-2","-2e-04","-2","-2.375","0.2","0.2","NaN","-1.80859429684487","-4.19188976259407","-1.51813134335713e-05","-0.398537728893007","0.416936393781181","0.280072989076311","0","2846.66655348776","-1404.5833510171","213"
"38","-2","-2e-04","-5","-3","0.2","0.2","NaN","-1.9209615062765","-4.20842919460651","-2.13708773310362e-05","-3.05332428773478","0.427335616445051","0.280142499406175","0","2873.1085119958","-1417.80433027112","13"
"39","-1","-5e-04","-3","-1.75","0.2","0.2","NaN","-0.529859734162375","-2.56410516000471","-6.14288350249358e-05","3.37896082226609","0.464453636092244","0.300917821760016","0","2885.31661591795","-1423.9083822322","305"
"40","-1","-2e-04","-1","-1.75","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","365"
"41","-2","-2e-04","-5","-1.75","0.2","0.2","NaN","-1.95074186565025","-4.97020715147247","3.93267614911346e-06","-1.51931837049271","0.427889465379862","0.280350578680481","0","2871.54347611322","-1417.02181232983","263"
"42","-2.5","-0.00035","-2","-1.125","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","457"
"43","-2","-5e-04","-3","-1.125","0.2","0.2","NaN","-1.82589238163756","-4.06536927219428","-2.18367669639799e-05","-0.953285913946971","0.420385932072672","0.280337280966584","0","2852.46729157817","-1407.48372006231","428"
"44","-2.5","-2e-04","-5","-2.375","0.2","0.2","NaN","-1.9969199490569","-5.1163907055633","4.63367463917718e-06","-2.44138830475448","0.43092374917903","0.279075364259777","0","2881.13373362502","-1421.81694108573","137"
"45","-1","-5e-04","-4","-1.125","0.2","0.2","NaN","-1.75879282026154","-3.6508158960143","-3.94390604581677e-05","-0.995654614080597","0.424016996508006","0.290336595968243","0","2855.80911675281","-1409.15463264963","405"
"46","-1.5","-2e-04","-3","-1.75","0.2","0.2","NaN","-1.6315891348844","-3.21629363588477","-6.55329113532922e-05","0.912945508914682","0.4188315013458","0.278338020725589","0","2844.40508653517","-1403.45261754081","314"
"47","-1","-2e-04","-2","-0.5","0.2","0.2","NaN","-1.75767398076354","-3.87765803703642","-2.65157478914073e-05","-0.509182811490072","0.4166407443852","0.280261901746779","0","2845.93952122804","-1404.21983488724","590"
"48","-3","-0.00035","-5","-0.5","0.2","0.2","NaN","-3.26724980704047","-4.74715213870883","-0.272209028333396","-0.743139788051634","0.58934395063976","0.280330300637888","0","3204.27307217662","-1583.38661036153","506"
"49","-3","-0.00035","-3","-0.5","0.2","0.2","NaN","-1.664051801713","-2.93681738225392","-9.39863447766058e-05","-0.887963551659876","0.432663284203729","0.276813659400819","0","2875.18705416769","-1418.84360135707","556"
"50","-1","-0.00035","-1","-2.375","0.2","0.2","NaN","-1.81431721496103","-3.97432027062881","-2.49433698399761e-05","-4.07912602738952","0.419208519665948","0.255943654243669","0","2889.9165137056","-1426.20833112602","235"
"51","-2","1e-04","-4","-1.75","0.2","0.2","NaN","-1.62531052938964","-3.67862424736296","-2.94520082086044e-05","0.817258962102712","0.413417203172349","0.280193610684764","0","2836.18457673061","-1399.34236263853","298"
"52","-2","1e-04","-1","-1.125","0.2","0.2","NaN","-1.52977550414165","-3.1195421395597","-6.13705375698802e-05","-1.04980311299734","0.43050672339479","0.29081132239666","0","2879.87565930501","-1421.18790392573","498"
"53","-2","-5e-05","-4","-0.5","0.2","0.2","NaN","-1.99996781420709","-4.28381517885305","-2.32359748147066e-05","-0.0492310266478645","0.421892241669241","0.280215220733562","0","2857.88699100614","-1410.19356977629","543"
"54","-2","-0.00035","-1","-1.75","0.2","0.2","NaN","-1.9594388990871","-1.13922564962206","-0.260928300741488","0.948124280957376","0.575992476373978","0.285894229223914","0","3202.86258120966","-1582.68136487805","358"
"55","-1","-5e-04","-1","-2.375","0.2","0.2","NaN","-1.03836140951864","-3.25728942295312","8.21598232041123e-05","1.6097292130104","0.419317389422105","0.275892921547624","0","2874.30359177348","-1418.40187015996","230"
"56","-3","-2e-04","-1","-1.125","0.2","0.2","NaN","-2.94812786840337","-1.22648408317953","-0.000630884471025051","-1.22383046398624","0.651616688798069","0.312942051426114","0","3146.63499886294","-1554.56757370469","486"
"57","-3","-5e-04","-4","-2.375","0.2","0.2","NaN","-1.96722971208809","-2.92794360914019","-0.000108885881007604","-5.12296623015743","0.453024061419797","0.282350507451009","0","2913.40182376926","-1437.95098615785","151"
"58","-2","-0.00035","-5","-0.5","0.2","0.2","NaN","-1.76958011153623","-4.0136940771682","-2.25809437983886e-05","1.21485219452314","0.414647079325993","0.273628090701238","0","2845.00269288195","-1403.7514207142","508"
"59","-1","-5e-05","-1","-1.125","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","495"
"60","-1.5","-0.00035","-3","-1.125","0.2","0.2","NaN","-1.5572485931275","-3.57426478992055","-3.11188710907272e-05","1.07444496287341","0.415149784033848","0.280082608421503","0","2836.82230351864","-1399.66122603254","434"
"61","-2.5","-2e-04","-5","-1.125","0.2","0.2","NaN","-1.98329211983917","-5.23977265775764","9.95277072351393e-06","-1.30618848481746","0.426369698960966","0.277435459525558","0","2875.23683347645","-1418.86849101144","387"
"62","-2","-0.00035","-4","-1.125","0.2","0.2","NaN","-1.96020713204187","-4.64874518915367","-8.04389321136027e-06","-1.21448614527379","0.424976779645926","0.281723596838466","0","2863.78498500973","-1413.14256677809","408"
"63","-1.5","-5e-04","-4","-3","0.2","0.2","NaN","-1.87988587131074","-5.19675723983088","2.24214571643611e-05","-3.63138396215393","0.432999330474991","0.276256574939513","0","2893.36909959262","-1427.93462406953","29"
"64","-3","-5e-04","-1","-2.375","0.2","0.2","NaN","-2.98510709608006","-1.09592203224701","-0.0451384356140358","-2.36488049132857","0.599889990127491","0.275857274208875","0","3190.12128551888","-1576.31071703266","226"
"65","-2","-5e-05","-1","-3","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","118"
"66","-1.5","-0.00035","-5","-1.125","0.2","0.2","NaN","-1.939915995862","-5.23418139626884","1.50631255171035e-05","-1.78970199890786","0.439332395462306","0.268888929501661","0","2881.52974276912","-1422.01494565778","384"
"67","-3","-5e-04","-3","-2.375","0.2","0.2","NaN","-2.96645610932776","-2.99114804525885","-0.000144596297376649","-2.40792654521251","0.483137306250054","0.277913607311945","0","3043.20507613056","-1502.8526123385","176"
"68","-1.5","1e-04","-1","-1.75","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","374"
"69","-2","-2e-04","-2","-3","0.2","0.2","NaN","-1.85792563159156","-4.20871848242297","-1.5335277063336e-05","-1.04138956992393","0.41822216157822","0.280017430597413","0","2854.80089944416","-1408.6505239953","88"
"70","-2.5","-2e-04","-4","-1.125","0.2","0.2","NaN","-1.81798686875032","-3.92072582874599","-2.82158381704499e-05","-1.3413033123684","0.423850982652752","0.279516720544436","0","2857.62670662269","-1410.06342758457","412"
"71","-3","-0.00035","-4","-0.5","0.2","0.2","NaN","-3.03078780984919","-3.66234216543239","-9.9283932990771e-05","-0.662807153425657","0.568740480035826","0.286850357204635","0","3052.94717123653","-1507.72365989149","531"
"72","-3","-5e-04","-1","-1.75","0.2","0.2","NaN","-3.02765695801666","-1.10677268047153","-0.0464731028848058","-1.78578655077967","0.586511195393116","0.279869446961023","0","3185.8040903872","-1574.15211946682","351"
"73","-3","-2e-04","-3","-3","0.2","0.2","NaN","-1.87549455170831","-3.63758225849486","-4.65112744112031e-05","-4.92351184261522","0.429077820300376","0.28096541197046","0","2882.34100997657","-1422.42057926151","61"
