"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","-3","-5","-0.5","0.2","0.2","NaN","-1.60327352037322","-3.8452003552903","0.770734999721178","-9.28151827680136","0.41400076382331","0.279885009851713","0","2838.16018597788","-1400.33016726216","615"
"2","-1.5","-5","-5","-1.125","0.2","0.2","NaN","-1.52165812383562","-3.77397374447779","0.830557198917594","-7.51304001497429","0.413750771703672","0.280052806573126","0","2836.85776147881","-1399.67895501262","479"
"3","-2","-2","-7.5","-0.5","0.2","0.2","NaN","-1.52076488674487","-3.77023472527383","0.831008298919812","-7.51661918086247","0.4137016810386","0.280112177422819","0","2836.85784650248","-1399.67899752446","568"
"4","-1.5","-2","-10","-3","0.2","0.2","NaN","-1.60867290468767","-3.83098317926343","0.823850679418367","-11.0836185739066","0.414485465280989","0.280175618219746","0","2838.68281304255","-1400.5914807945","19"
"5","-2","-5","-6.25","-0.5","0.2","0.2","NaN","-1.60953533729774","-3.82870666747432","0.836726582630338","-14.4479783733492","0.414483019454335","0.280081548157518","0","2838.80153258848","-1400.65084056746","578"
"6","-2.5","-5","-7.5","-0.5","0.2","0.2","NaN","-1.52219866989659","-3.77421743506786","0.83141987792913","-7.51545482183543","0.413809965441101","0.28008680609397","0","2836.8577840217","-1399.67896628407","552"
"7","-3","-5","-10","-1.125","0.2","0.2","NaN","-1.60950195482915","-3.82898377465611","0.831394788406609","-13.5889928257817","0.414460617839567","0.28021643550116","0","2838.79590149592","-1400.64802502118","376"
"8","-1.5","-3","-6.25","-1.125","0.2","0.2","NaN","-1.6101108036964","-3.83275812305862","0.815612519036136","-11.0987093887298","0.414429483498009","0.280157540378608","0","2838.68633865033","-1400.59324359838","464"
"9","-1","-5","-10","-2.375","0.2","0.2","NaN","-1.60950007855898","-3.82856857884797","0.833458070907614","-12.4966061551759","0.414388856040257","0.280141930061559","0","2838.77533555166","-1400.63774204905","130"
"10","-3","-1","-6.25","-1.75","0.2","0.2","NaN","-1.61076816963209","-3.842985010868","0.78923169173686","-10.2973290243719","0.414308674984874","0.280113646859342","0","2838.55570766376","-1400.5279281051","346"
"11","-3","-1","-5","-1.75","0.2","0.2","NaN","-1.61076816963209","-3.842985010868","0.78923169173686","-10.2973290243719","0.414308674984874","0.280113646859342","0","2838.55570766376","-1400.5279281051","371"
"12","-2.5","-1","-6.25","-0.5","0.2","0.2","NaN","-1.5083384346526","-3.75296963147301","0.891194021581561","-7.46284010474238","0.413654685176338","0.280141019555977","0","2836.88223615551","-1399.69119235098","597"
"13","-3","-5","-7.5","-2.375","0.2","0.2","NaN","-1.60758646138539","-3.82777293689765","0.835281418654531","-11.6875821761684","0.414498748061291","0.280033432047877","0","2838.73750092059","-1400.61882473352","176"
"14","-3","-5","-6.25","-3","0.2","0.2","NaN","-1.60879281027297","-3.82732973562483","0.838397071773988","-13.6327614235655","0.414436037106458","0.280147285010859","0","2838.79596634792","-1400.64805744718","76"
"15","-2.5","-1","-10","-1.125","0.2","0.2","NaN","-1.59410713087511","-3.83657411612533","0.78430324204131","-8.82190971275923","0.41421782152388","0.280151393069167","0","2837.83259851973","-1400.16637353309","397"
"16","-1.5","-4","-6.25","-0.5","0.2","0.2","NaN","-1.60818890781234","-3.83115107067271","0.813274799705674","-10.5292716708937","0.414369184181323","0.280013155080458","0","2838.59631523127","-1400.54823188886","584"
"17","-1.5","-4","-8.75","-2.375","0.2","0.2","NaN","-1.6087519197446","-3.82856004438249","0.837282786859643","-12.6822830027555","0.414458135686873","0.280118136234404","0","2838.78037592698","-1400.64026223671","159"
"18","-3","-3","-5","-0.5","0.2","0.2","NaN","-1.61016308280499","-3.8331320790718","0.813622512457484","-11.2229592124483","0.414557724206381","0.280138026531755","0","2838.70092859242","-1400.60053856943","611"
"19","-3","-1","-10","-1.125","0.2","0.2","NaN","-1.6021579222859","-3.86789564511767","0.659267139973767","-8.51566554926514","0.414173735029878","0.27999573282969","0","2837.75343053208","-1400.12678953926","396"
"20","-3","-2","-7.5","-1.75","0.2","0.2","NaN","-1.60322753562978","-3.82964933592316","0.821959710220139","-9.90190443486239","0.414269282879911","0.28017643320479","0","2838.42118446392","-1400.46066650518","316"
"21","-2.5","-5","-5","-1.75","0.2","0.2","NaN","-1.60965521728715","-3.82958758404038","0.833903352788842","-13.0054289906239","0.414437797380404","0.280131283254957","0","2838.78752558331","-1400.64383706488","352"
"22","-3","-3","-6.25","-0.5","0.2","0.2","NaN","-1.61016308280499","-3.8331320790718","0.813622512457484","-11.2229592124483","0.414557724206381","0.280138026531755","0","2838.70092859242","-1400.60053856943","586"
"23","-3","-3","-8.75","-1.125","0.2","0.2","NaN","-1.60761303281588","-3.82504449791569","0.839108401539353","-12.8564560559178","0.414603854395553","0.280012630865819","0","2838.78469287566","-1400.64242071105","411"
"24","-1","-1","-8.75","-1.75","0.2","0.2","NaN","-1.60298145292506","-3.82675624542448","0.829625769716356","-10.1311322796793","0.414345446002536","0.280183022784199","0","2838.49470260071","-1400.49742557358","300"
"25","-3","-3","-10","-1.125","0.2","0.2","NaN","-1.60761303281588","-3.82504449791569","0.839108401539353","-12.8564560559178","0.414603854395553","0.280012630865819","0","2838.78469287566","-1400.64242071105","386"
"26","-2","-5","-7.5","-0.5","0.2","0.2","NaN","-1.60853629823576","-3.82989594853183","0.829545549541135","-11.3791743872973","0.414466143796337","0.28011022297188","0","2838.71335406522","-1400.60675130583","553"
"27","-3","-1","-7.5","-0.5","0.2","0.2","NaN","-1.51585017203631","-3.77244345713284","0.845220817601023","-7.43367104587943","0.413218994790562","0.280842448097768","0","2836.87854695781","-1399.68934775212","571"
"28","-1","-5","-6.25","-2.375","0.2","0.2","NaN","-1.60816383997369","-3.83087093711659","0.82406673796396","-10.7501518607933","0.414371601200005","0.280132728369477","0","2838.63512903841","-1400.56763879243","205"
"29","-1","-2","-8.75","-0.5","0.2","0.2","NaN","-1.53446259850515","-3.78734049675962","0.805522142949837","-7.63396507380858","0.413686250940162","0.280040341715624","0","2836.8816155439","-1399.69088204517","545"
"30","-2.5","-5","-10","-1.75","0.2","0.2","NaN","-1.51942487611606","-3.77125129674395","0.834479230127258","-7.51580354738017","0.413613599597029","0.280004549466083","0","2836.85877443041","-1399.67946148843","252"
"31","-1","-3","-10","-1.125","0.2","0.2","NaN","-1.61129262482452","-3.83431194825544","0.803818117411119","-11.1346172188034","0.414489311561215","0.280103644173914","0","2838.69417970642","-1400.59716412643","390"
"32","-2","-2","-7.5","-1.125","0.2","0.2","NaN","-1.52048687973576","-3.77195945145369","0.839178527042519","-7.5157940340293","0.413759271381358","0.280097410439893","0","2836.85793620464","-1399.67904237554","443"
"33","-1.5","-2","-6.25","-3","0.2","0.2","NaN","-1.60185668579479","-3.81331554489559","0.838094021822417","-10.4565841822546","0.414368142582393","0.279930903383334","0","2838.58085498615","-1400.5405017663","94"
"34","-2.5","-1","-8.75","-2.375","0.2","0.2","NaN","-1.51553905377574","-3.77030038810754","0.844091826320635","-7.47325313706072","0.413164729707976","0.280067531898979","0","2836.86389685191","-1399.68202269917","172"
