"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1.88888888888889","-3.66666666666667","-2.375","0.2","0.2","NaN","-1.60906588356515","-3.8263533363066","0.838725539460736","0.414517918378769","0.280113549540588","0","2832.55588442225","-1400.65300410548","136"
"2","-1.66666666666667","-3.22222222222222","-1.75","0.2","0.2","NaN","-1.60917666571888","-3.8267823494316","0.837683474776069","0.414501300601932","0.280115834419064","0","2832.55586222511","-1400.65299300691","247"
"3","-1.22222222222222","-1.88888888888889","-2.375","0.2","0.2","NaN","-1.60908591329502","-3.8273081526318","0.838666911925512","0.414540964590515","0.280096120023033","0","2832.55587063443","-1400.65299721157","179"
"4","-1.88888888888889","-2.33333333333333","-3","0.2","0.2","NaN","-1.60884706536032","-3.82716420133141","0.840053021267449","0.414597164820681","0.280185793624992","0","2832.55597110526","-1400.65304744698","66"
"5","-1.88888888888889","-3.22222222222222","-1.125","0.2","0.2","NaN","-1.60842375864379","-3.82693805443647","0.83858348851352","0.414650784704634","0.280217991256442","0","2832.55617998349","-1400.6531518861","346"
"6","-2.11111111111111","-5","-0.5","0.2","0.2","NaN","-1.60796617512053","-3.82598480070373","0.838550039128955","0.414220508490864","0.280491385488235","0","2832.55835378171","-1400.65423878521","405"
"7","-2.77777777777778","-2.77777777777778","-3","0.2","0.2","NaN","-1.6088831541167","-3.82671234304403","0.838693553180176","0.414531660664175","0.280132791144911","0","2832.55585213883","-1400.65298796377","52"
"8","-1.44444444444444","-1.44444444444444","-2.375","0.2","0.2","NaN","-1.60861838493082","-3.82734524763374","0.835455436285597","0.414569022130933","0.28019061098399","0","2832.55613116753","-1400.65312747812","188"
"9","-3","-1.88888888888889","-1.75","0.2","0.2","NaN","-1.6086848216246","-3.82605151418622","0.838601392253145","0.414515583401002","0.280154639689851","0","2832.55587622444","-1400.65300000657","271"
"10","-2.11111111111111","-4.55555555555556","-0.5","0.2","0.2","NaN","-1.60762855021627","-3.82626790111168","0.846734680514444","0.414596824808638","0.28011965584696","0","2832.55643596587","-1400.65327987728","415"
"11","-1.44444444444444","-4.55555555555556","-1.125","0.2","0.2","NaN","-1.6088716539315","-3.82733176360983","0.842764002140784","0.414657342387529","0.280215570505083","0","2832.55625899183","-1400.65319139027","318"
"12","-2.33333333333333","-5","-2.375","0.2","0.2","NaN","-1.60714672882051","-3.82601460480439","0.848070864503268","0.414801853627066","0.280144150603199","0","2832.55719242673","-1400.65365810771","104"
"13","-2.77777777777778","-2.77777777777778","-0.5","0.2","0.2","NaN","-1.61044835123403","-3.83002828744644","0.831168581696375","0.414501735895996","0.280158787897159","0","2832.55620675291","-1400.65316527081","452"
"14","-1.66666666666667","-3.22222222222222","-0.5","0.2","0.2","NaN","-1.60879448245207","-3.82628112426289","0.837001083354479","0.414558966391391","0.280101106967281","0","2832.55589478384","-1400.65300928627","447"
"15","-2.55555555555556","-1","-0.5","0.2","0.2","NaN","-1.60870142154207","-3.82600189117437","0.836430752437226","0.414480326404692","0.280073378356962","0","2832.55595070525","-1400.65303724698","493"
"16","-3","-1.88888888888889","-3","0.2","0.2","NaN","-1.60689114005531","-3.82126764308566","0.848475664609025","0.414804610843388","0.279901331564692","0","2832.55802440242","-1400.65407409556","71"
"17","-1.22222222222222","-3.22222222222222","-1.75","0.2","0.2","NaN","-1.60941517299243","-3.82717449741544","0.836439810565289","0.414494712612111","0.280110414397103","0","2832.5558817723","-1400.6530027805","249"
"18","-1","-4.55555555555556","-3","0.2","0.2","NaN","-1.60844795902073","-3.82560080232193","0.84402536767594","0.414387144490565","0.280137320501631","0","2832.55618514357","-1400.65315446614","20"
"19","-3","-3.22222222222222","-1.75","0.2","0.2","NaN","-1.60868604789988","-3.82643707976679","0.842072949149278","0.414462897558885","0.280117533032632","0","2832.55596787561","-1400.65304583216","241"
"20","-2.55555555555556","-3.66666666666667","-1.75","0.2","0.2","NaN","-1.60877913955292","-3.82518399778808","0.837557557338252","0.414364649825581","0.27996942899379","0","2832.55639401216","-1400.65325890043","233"
"21","-2.77777777777778","-1","-1.75","0.2","0.2","NaN","-1.60883084919101","-3.82939431374074","0.825115782432684","0.414503372402715","0.280290210156011","0","2832.55837835534","-1400.65425107202","292"
"22","-2.77777777777778","-3.22222222222222","-2.375","0.2","0.2","NaN","-1.60825636327803","-3.82485258979776","0.836483473882017","0.414538048000656","0.28008155667645","0","2832.55606930892","-1400.65309654881","142"
"23","-1.66666666666667","-1.44444444444444","-0.5","0.2","0.2","NaN","-1.60872649353632","-3.82680357778745","0.839331524067656","0.414515681088353","0.280125067380891","0","2832.55586286479","-1400.65299332675","487"
"24","-2.55555555555556","-3.66666666666667","-2.375","0.2","0.2","NaN","-1.60887872342376","-3.82603117623854","0.840594781168174","0.414375995245154","0.280247936220707","0","2832.55623944307","-1400.65318161589","133"
"25","-1.44444444444444","-1","-1.125","0.2","0.2","NaN","-1.6071843784933","-3.82710019776692","0.841756375629939","0.413881320148241","0.279894755787456","0","2832.55993825022","-1400.65503101946","398"
"26","-1","-3.66666666666667","-1.75","0.2","0.2","NaN","-1.60897732081568","-3.82702471135504","0.837522371583792","0.414547447026974","0.280131137874612","0","2832.555856399","-1400.65299009385","240"
"27","-2.55555555555556","-1","-2.375","0.2","0.2","NaN","-1.60930119204693","-3.82819693720099","0.838118238048055","0.414521139235911","0.280172085986529","0","2832.55591126881","-1400.65301752875","193"
