"","a_log","a12","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-1","-2e-04","-2e-04","-2","-2","-0.5","5e-04","0.005","0.001","0.001","-10","0.2","0.2","696065","NaN","-0.329758762655845","2.22813095867651","-3.98777477924148","0.679350649658785","-1.92207128139512","-1.65942828710562","0.00195156206655323","0.00237443771127991","0.00246267788368626","0.000855798581382762","-10.7460448361842","0.245957201384556","0.241328571910641","0","1962.84729067718","-940.601072385351"
"2","-3","-5e-04","-5e-04","-2","-1","-1","0.005","0.001","0.005","0.005","-15","0.2","0.2","436001","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","-1","1e-04","-5e-04","-1","-0.5","-0.5","0.005","0.001","5e-04","0.005","-10","0.2","0.2","793025","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","-1","-5e-05","-5e-04","-5","-1","-1","5e-04","5e-04","0.001","0.005","-15","0.2","0.2","356895","NaN","-0.959141969541876","0.319881594483893","-4.45868257385849","2.32577630605854","-2.02213077841304","-1.65339408783606","0.00200323193279417","0.00239134869549209","0.00246357194475552","0.000861158810870128","-15.0620802534379","0.247400580227564","0.241130149347318","0","1968.88830402557","-943.621579059545"
"5","-3","-2e-04","-2e-04","-4","-2","-0.5","0.005","5e-04","0.001","0.005","-10","0.2","0.2","825186","NaN","-2.99032145267495","-0.00935943350452707","-3.46880397631284","1.33370590545676","-1.99054653983789","-1.65588924535919","0.00200275663264621","0.00236325407705404","0.00245222480138914","0.000864242378839837","-10.5113678146018","0.247379181139123","0.241339219169976","0","1966.78752936188","-942.5711917277"
"6","-3","-5e-05","-5e-04","-3","-1","-1","0.005","0.001","5e-04","0.005","-10","0.2","0.2","790266","NaN","-3.00058577343829","-0.000108116781160735","-2.01482592756875","0.125628184901756","-1.46840838358624","-0.941356762249411","0.00199970534692108","0.00231608094223282","0.00286536316279812","0.00118503506041593","-10.0561110001736","0.243493229684515","0.272464384666862","0","2071.63043621645","-994.992645154985"
"7","-1","-5e-05","-5e-05","-3","-0.5","-1","0.001","5e-04","0.005","5e-04","-15","0.2","0.2","110345","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","-1.5","-5e-05","-2e-04","-2","-0.5","-1","0.005","0.005","5e-04","0.005","-5","0.2","0.2","1263569","NaN","-0.24011234284201","0.000952535484580846","-2.78468353028154","0.314199946982698","-1.6840188111356","-1.28104870479904","0.00185532053925733","0.00201523659560621","0.00249384271409515","0.00104832549200598","-1.88625163652389","0.250317367507764","0.247093624619569","0","2011.24805108004","-964.801452586779"
"9","-3","-2e-04","1e-04","-1","-2","-3","5e-04","0.001","0.001","5e-04","-10","0.2","0.2","523736","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","-1","1e-04","-2e-04","-2","-2","-1","5e-04","0.001","0.001","5e-04","-15","0.2","0.2","69825","NaN","-1.24390372016057","0.312493064050386","-2.48448659108245","0.657397019928588","-1.89149922189996","-1.64198829885385","0.00196399042036389","0.00237576060258175","0.0024737557591045","0.000848510047315711","-14.3667321211574","0.248023143174335","0.243106688343348","0","1963.22597338737","-940.790413740442"
"11","-2","-0.00035","-0.00035","-2","-1","-0.5","0.005","0.001","5e-04","0.005","-10","0.2","0.2","792283","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"12","-1","-0.00035","-2e-04","-2","-0.5","-1","5e-04","5e-04","5e-04","0.001","-10","0.2","0.2","611060","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"13","-1","-5e-04","-0.00035","-1","-2","-0.5","5e-04","0.005","0.001","5e-04","-5","0.2","0.2","999905","NaN","0.211456278605538","-0.0421799203678422","-0.763648674381628","0.58999696684226","-2.05407212229635","-1.70768950322501","0.00203747378974964","0.00255873067928337","0.00243170779101958","0.000725440194945128","-6.43851937274146","0.247672983934597","0.241315938295441","0","1962.00075094677","-940.177802520142"
"14","-2.5","-2e-04","-5e-05","-2","-0.5","-0.5","5e-04","0.005","5e-04","0.001","-15","0.2","0.2","191087","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"15","-3","-2e-04","-0.00035","-3","-0.5","-0.5","5e-04","0.005","0.005","5e-04","-10","0.2","0.2","595911","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"16","-1","1e-04","-5e-05","-1","-0.5","-0.5","0.001","5e-04","0.005","0.005","-10","0.2","0.2","871850","NaN","-2.73464252754057","1.42441934652574","-0.744307006905357","7.16988665414356","-2.01529515164945","-1.6641574595088","0.0019724272397443","0.00267820920874675","0.00248099084353762","0.000907106657960937","-15.1726567236561","0.244035667730524","0.239447433448144","0","1973.50778043464","-945.931317264076"
"17","-1.5","-5e-04","-2e-04","-3","-2","-3","0.001","0.001","5e-04","0.005","-15","0.2","0.2","326554","NaN","-2.53065890791039","1.44735805379015","-4.21056956346163","0.680037199724382","-1.92216417584967","-1.65973188216777","0.00194875105821244","0.00238798988825796","0.00246713482205424","0.000856819449153175","-13.9991390801905","0.246133736737542","0.241228067829315","0","1962.80473870851","-940.579796401016"
"18","-1.5","-5e-04","1e-04","-1","-1","-3","0.001","0.001","0.005","5e-04","-10","0.2","0.2","580604","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19","-1.5","-2e-04","-0.00035","-5","-2","-0.5","0.005","5e-04","0.001","5e-04","-5","0.2","0.2","976914","NaN","2.0846181450487","-3.79076514878521","-5.0041882250869","0.685126339846089","-1.91946788805542","-1.66301596439387","0.00195453407477643","0.00236302173788768","0.00246316966790167","0.000854448664255417","-4.50680065854893","0.24607685496015","0.24126297026656","0","1962.58186481437","-940.468359453943"
"20","-1","-5e-04","-2e-04","-2","-2","-1","5e-04","0.005","0.005","5e-04","-15","0.2","0.2","137305","NaN","0.262445344547766","-0.0434156268697632","-3.83793585226063","0.801993579509196","-1.97032030464525","-1.64490058649385","0.00204219604429989","0.00232564106149582","0.00245060033804623","0.000901416140220948","-13.8376591848746","0.244632314619702","0.240332293536144","0","1959.42030408956","-938.887579091537"
"21","-1.5","-0.00035","-5e-04","-3","-1","-1","0.001","5e-04","5e-04","5e-04","-5","0.2","0.2","919634","NaN","-1.4922606608223","-0.00169975005021169","-3.84131642589067","0.654579363045813","-1.9298689991957","-1.67431307913711","0.00195183244484611","0.00226598177996924","0.00240117315414883","0.000867441296804384","-3.52905817654111","0.244653803387409","0.240504103722203","0","1961.27090403068","-939.812879062101"
"22","-1","-2e-04","1e-04","-3","-0.5","-0.5","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","168490","NaN","0.933686318672436","-0.585391635396288","-1.72930322481151","0.655156478296413","-1.92824240484413","-1.65960868686898","0.00195746560551539","0.00238102820902914","0.00246187808623156","0.000857509215511636","-15.7967773237923","0.246040717783892","0.241306387113275","0","1963.4023536173","-940.878603855411"
"23","-2","-0.00035","-0.00035","-1","-2","-3","0.005","0.005","5e-04","0.001","-15","0.2","0.2","197408","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"24","-1","-5e-05","1e-04","-3","-1","-3","0.001","0.005","0.005","0.005","-15","0.2","0.2","445370","NaN","-6.13408015180916","1.60435790801023","-5.29765252449944","0.685529572507756","-1.92219979568659","-1.6601248355783","0.00194984055490893","0.00237770661537309","0.00246841539508225","0.000852642378800462","-9.41573459900386","0.245992439277984","0.241323563926024","0","1962.77740841804","-940.566131255779"
"25","-3","-0.00035","-5e-04","-1","-2","-1","5e-04","0.005","5e-04","5e-04","-5","0.2","0.2","947381","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26","-3","-2e-04","-5e-04","-4","-0.5","-3","0.001","0.001","0.001","0.005","-10","0.2","0.2","833886","NaN","-1.7431968897909","-0.000358549979247546","-4.17332869089045","0.00085204533115623","-0.827598943013197","-2.89173984874084","0.00138742856665811","0.00218625931998317","0.00198964512896151","-0.00109133374692266","-9.97065277037105","0.280563460715641","0.255776226205045","0","1993.20170019107","-955.778277142294"
"27","-3","-5e-04","-2e-04","-2","-2","-1","0.001","5e-04","0.001","5e-04","-10","0.2","0.2","514176","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"28","-2.5","-0.00035","-2e-04","-3","-0.5","-0.5","0.001","5e-04","0.001","0.005","-10","0.2","0.2","820932","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"29","-3","1e-04","-0.00035","-2","-0.5","-1","0.005","0.001","0.001","0.001","-5","0.2","0.2","1145421","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"30","-2","-5e-04","-5e-04","-4","-1","-1","0.001","0.005","5e-04","0.005","-15","0.2","0.2","345753","NaN","-2.00339731078788","-0.000277982543008743","-4.60562701021684","0.119892041204801","-1.5616598137929","-1.84845624496693","0.00175539301170213","0.00235928894045679","0.00237064569508202","0.000846092402368839","-13.7442385246895","0.249307611894609","0.23562286468317","0","1963.28901732071","-940.821935707115"
"31","-3","-2e-04","-5e-04","-1","-2","-0.5","0.001","0.005","0.001","0.005","-5","0.2","0.2","1309261","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"32","-1","-5e-05","-5e-04","-3","-1","-1","0.005","0.001","5e-04","5e-04","-15","0.2","0.2","30895","NaN","0.58256274555065","-1.79574980158985","-2.24694543640905","1.43550641136657","-2.01989999447649","-1.62716609810871","0.0018150061606546","0.0023789462696982","0.00279068552559666","0.000738070842835899","-14.5466551775845","0.250461834357367","0.246362610195861","0","1960.62221208412","-939.488533088818"
"33","-2","1e-04","-2e-04","-1","-1","-1","5e-04","0.001","0.005","5e-04","-15","0.2","0.2","121198","NaN","-0.902303231480236","1.81352744636936","-2.32228984429819","0.667923143917392","-1.9282548129832","-1.66317637155942","0.00195557513443882","0.00237308995276291","0.00246117909388627","0.000853781890801959","-15.5887112128562","0.246064537740887","0.241301661615049","0","1963.0853267301","-940.720090411809"
"34","-1.5","-5e-04","-0.00035","-4","-0.5","-1","0.001","0.005","0.001","0.005","-15","0.2","0.2","397029","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35","-1.5","-5e-04","-5e-04","-3","-2","-0.5","0.005","0.005","5e-04","0.005","-10","0.2","0.2","808379","NaN","-1.4918399911428","-0.00170579551423225","-3.81882635241332","0.638692939846974","-1.9515046127854","-1.66572600024758","0.00198486328222595","0.00220962437719027","0.00243253928310722","0.000891363124370924","-7.55198734525642","0.246747132005122","0.241478091869527","0","1961.8022754765","-940.078564785008"
