"","a_log","a12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-3","1e-04","-2","-1","-0.5","5e-04","0.001","5e-04","0.005","-10","0.2","0.2","156221","NaN","-2.43517303762699","-0.000204165274572446","-1.50051331678404","-0.96354593007644","-0.973482055320798","0.00164235589435701","0.00240525803844086","0.00266019327782444","0.00123754266619019","-9.89325790701792","0.242043504757167","0.255439451564585","0","1996.44669815145","-960.540974041966"
"2","-2","-5e-05","-5","-2","-3","0.005","5e-04","0.001","5e-04","-10","0.2","0.2","103518","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","-2","-2e-04","-3","-0.5","-1","0.001","5e-04","0.005","0.005","-5","0.2","0.2","265063","NaN","-1.71553850857838","-0.000419880908708537","-2.94220610965193","-0.805896089827574","-1.00372948711395","0.00123557529750702","0.00208493310155216","0.00270443854973656","0.00119584808595892","-4.73768663599431","0.263054246121445","0.262821546536617","0","2001.13981220184","-962.88753106716"
"4","-2.5","1e-04","-5","-1","-0.5","0.001","0.005","0.005","5e-04","-10","0.2","0.2","120147","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"5","-1","-2e-04","-2","-0.5","-0.5","0.005","0.001","0.001","0.005","-15","0.2","0.2","77590","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","-1","-5e-05","-4","-1","-0.5","5e-04","5e-04","5e-04","5e-04","-15","0.2","0.2","920","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"7","-2.5","-5e-05","-2","-0.5","-1","0.005","0.005","0.001","0.005","-10","0.2","0.2","171717","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","-1.5","-5e-05","-1","-2","-0.5","5e-04","0.001","5e-04","0.001","-10","0.2","0.2","125744","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"9","-1.5","-2e-04","-1","-0.5","-0.5","0.001","0.001","0.001","0.001","-5","0.2","0.2","228364","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"10","-3","-5e-05","-5","-0.5","-3","0.001","0.005","0.005","5e-04","-10","0.2","0.2","119516","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"11","-3","-5e-04","-2","-2","-1","0.001","0.001","0.001","0.005","-15","0.2","0.2","75826","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12","-2.5","-0.00035","-5","-0.5","-0.5","0.005","0.005","0.001","0.001","-5","0.2","0.2","232757","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"13","-1","-2e-04","-3","-0.5","-0.5","0.001","0.001","5e-04","0.001","-10","0.2","0.2","127065","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"14","-3","-0.00035","-1","-1","-0.5","0.001","0.001","5e-04","5e-04","-15","0.2","0.2","5481","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15","-2","1e-04","-2","-2","-3","5e-04","0.001","5e-04","0.001","-15","0.2","0.2","33848","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"16","-1.5","-5e-04","-5","-2","-0.5","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","233629","NaN","-2.72449470328858","-0.000251298746379246","-4.83236545369808","-1.15494580861723","-1.30450349482609","0.00101250613359979","0.00345239514493779","0.00235953513353461","0.00120487343946608","-4.14260828971028","0.459678614239916","0.223620595190893","0","2312.48147917153","-1118.55836455201"
"17","-1","-5e-04","-5","-0.5","-0.5","5e-04","5e-04","0.005","5e-04","-5","0.2","0.2","203505","NaN","-1.67571405949097","-0.000656429345125743","-5.39964916371878","-0.20180156725137","-0.390397571777372","0.00081129447610428","0.0032568284880134","0.0034580936962764","0.00122429090062862","-4.84412965005892","0.295321209222164","0.305607488725405","0","2719.28452739431","-1321.95988866339"
"18","-1","1e-04","-2","-2","-3","5e-04","5e-04","0.001","5e-04","-10","0.2","0.2","101350","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"19","-3","-5e-04","-5","-1","-0.5","5e-04","0.005","5e-04","0.005","-10","0.2","0.2","159501","NaN","-2.598563785113","-0.000155494172356101","-4.93966536592127","-0.646970618995947","-0.924259624448223","0.00125273482959885","0.00234890173807891","0.00277082732206158","0.00126090738614952","-10.2866969272798","0.253649639660145","0.262793912570271","0","2053.39400336507","-989.014626648774"
"20","-2","-0.00035","-2","-2","-3","5e-04","0.001","5e-04","5e-04","-15","0.2","0.2","3458","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21","-1","-5e-05","-1","-0.5","-0.5","0.001","5e-04","0.005","5e-04","-5","0.2","0.2","204745","NaN","-1.01358546188421","-0.000794033019497847","-0.969227401942863","-0.50082878967733","-0.517420151313744","0.0020744696390398","0.00164629578153288","0.0029302735789725","0.00148864601760491","-4.99931562710936","0.495581416077434","0.390857755264009","0","2754.07320787209","-1339.35422890229"
"22","-1.5","-5e-05","-1","-2","-3","5e-04","0.005","0.005","0.001","-10","0.2","0.2","148619","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"23","-1.5","-2e-04","-1","-2","-0.5","5e-04","5e-04","0.001","0.001","-10","0.2","0.2","132489","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"24","-3","-5e-04","-1","-2","-0.5","0.001","5e-04","5e-04","5e-04","-15","0.2","0.2","1976","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"25","-2.5","-5e-04","-3","-0.5","-1","5e-04","5e-04","0.001","5e-04","-5","0.2","0.2","193052","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26","-2","-5e-04","-2","-1","-1","0.001","0.005","0.005","0.001","-5","0.2","0.2","241328","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27","-1","-2e-04","-1","-2","-1","0.001","0.001","5e-04","0.005","-5","0.2","0.2","247990","NaN","-1.28269087527663","-0.000583544999323067","-0.846840352464614","-2.03576155767648","-0.840259362823231","0.00193967324298018","2.2841181908687e-05","0.00273714821481752","0.00121291486670651","-4.92755384024484","0.303843374486263","0.273873526381899","0","2288.49855806554","-1106.56690399901"
"28","-3","-5e-05","-1","-2","-0.5","0.005","5e-04","0.001","0.005","-10","0.2","0.2","165116","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"29","-1","-5e-05","-5","-2","-0.5","5e-04","5e-04","0.001","0.005","-15","0.2","0.2","71645","NaN","-0.798337026834167","-0.000784807172059179","-3.97185282116242","-0.710624785156993","-1.37936030732909","0.00116145273768696","-0.000225172369836756","0.00259688114367239","0.00112302724658154","-15.0449414389139","1.27218665745484","0.246832416378516","0","3312.71777678271","-1618.67651335759"
"30","-1","-0.00035","-4","-2","-3","0.001","0.005","5e-04","0.005","-5","0.2","0.2","250910","NaN","-3.89190982550462","-3.89820440274586e-05","-1.06990054328603","-8.25269785131134","-1.81601180052316","0.0815124435367268","-0.191372363524324","0.00241683772594531","0.000729083344134511","-2.19338074441971","0.255172533894173","0.241287643006151","0","2052.6564689153","-988.64585942389"
"31","-1.5","-5e-05","-2","-2","-1","0.005","5e-04","0.005","0.001","-15","0.2","0.2","53344","NaN","-1.59130627635168","-0.000432567299499315","-0.82004236290777","-1.53341458284445","-0.933821776623834","0.00164506940600031","0.00188576539931073","0.00323889268957479","0.00134717662787288","-15.3148040214703","0.240036775703174","0.273442708778514","0","2104.63203697622","-1014.63364345435"
"32","-2.5","-2e-04","-4","-0.5","-0.5","0.001","5e-04","5e-04","0.001","-15","0.2","0.2","32537","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"33","-1.5","-5e-04","-1","-0.5","-0.5","0.005","0.001","5e-04","0.001","-5","0.2","0.2","219354","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"34","-2","-5e-05","-3","-2","-1","0.005","5e-04","0.005","5e-04","-5","0.2","0.2","205193","NaN","-2.00858601470182","-0.000305822354123011","-2.7699019962546","-1.1384836834654","-1.055951106245","0.00146788568155804","0.00196964799272764","0.00255562703271721","0.00144160085031955","-5.32939594467289","0.218892948955921","0.230550814114604","0","1937.07377703269","-930.854513482583"
"35","-2","-0.00035","-3","-1","-3","0.005","0.001","0.001","0.005","-5","0.2","0.2","258933","NaN","-1.97147835426965","-0.000286731159641031","-2.73575828582704","-0.984999985534336","-3.00515144174197","0.00137152743217339","0.00182213754912244","0.00236405082572528","-0.00119691944173194","-4.9928842807334","0.21758698186666","0.254768420528495","0","1896.07801393551","-910.356631933995"
"36","-2","-2e-04","-5","-2","-1","5e-04","0.005","5e-04","5e-04","-5","0.2","0.2","189388","NaN","-3.2191378659672","-5.51477627486717e-06","-4.16075413263573","-2.22651730627125","-1.50183726363323","0.0011692181500946","-0.000966778426565573","0.00243983499635642","0.000924123524363491","-7.95212505914497","0.23258348101364","0.243982648048901","0","1902.62540604276","-913.630327987618"
"37","-3","-2e-04","-2","-2","-0.5","5e-04","5e-04","5e-04","0.001","-10","0.2","0.2","122336","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"38","-1","-2e-04","-4","-1","-1","5e-04","0.005","0.005","0.005","-10","0.2","0.2","179415","NaN","-1.66392698018687","-0.000442955456095248","-3.27568860248368","-0.683774452412184","-0.533926754058091","0.00132067518460316","0.00200084576713302","0.00300820853064269","0.0013661535973088","-9.51819061797428","0.238100772580213","0.310240943918736","0","2218.54510817425","-1071.59017905337"
"39","-2.5","-5e-04","-3","-0.5","-0.5","5e-04","0.001","5e-04","0.005","-5","0.2","0.2","247427","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"40","-3","-0.00035","-4","-0.5","-0.5","0.001","0.001","0.005","5e-04","-5","0.2","0.2","208031","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41","-2","-5e-05","-4","-0.5","-3","0.005","0.005","0.001","0.001","-5","0.2","0.2","232043","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"42","-1.5","-5e-04","-2","-2","-3","5e-04","0.001","0.001","0.005","-5","0.2","0.2","256579","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"43","-1.5","-2e-04","-5","-0.5","-3","0.001","0.001","5e-04","0.005","-5","0.2","0.2","247764","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"44","-2.5","-0.00035","-4","-1","-3","0.005","5e-04","0.001","0.001","-10","0.2","0.2","134032","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"45","-2.5","-2e-04","-2","-1","-3","0.001","0.001","0.005","0.005","-15","0.2","0.2","85712","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"46","-1","-0.00035","-3","-1","-3","0.001","0.005","0.005","5e-04","-15","0.2","0.2","28310","NaN","-0.819558841431467","-0.000956788095422174","-2.46652128914586","-0.218988226612272","-2.94745063826448","0.00174187081925168","0.00165016669155411","0.0115044759145051","-0.000643517354515113","-15.5343713105227","0.405723181628659","0.296461821438156","0","2516.46150905101","-1220.54837949174"
"47","-1.5","-5e-05","-2","-0.5","-0.5","0.001","0.005","0.005","0.005","-10","0.2","0.2","181094","NaN","-1.49678151045848","-0.000544960155756428","-1.87223916663062","-0.504433871701866","-0.467624996288214","0.00164679087391807","0.00264107826744891","0.00498648022956398","0.00097211870212069","-9.98316639096381","0.419074965583146","0.802865663382602","0","3060.0479160002","-1492.34158296634"
"48","-3","-2e-04","-1","-0.5","-1","0.005","5e-04","0.005","0.001","-15","0.2","0.2","53611","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"49","-1","-2e-04","-4","-1","-1","0.001","5e-04","0.001","0.005","-10","0.2","0.2","163665","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"50","-2","-0.00035","-3","-1","-3","5e-04","5e-04","5e-04","5e-04","-5","0.2","0.2","182433","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"51","-3","-0.00035","-3","-2","-3","0.005","0.001","0.005","0.005","-15","0.2","0.2","86681","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52","-2","1e-04","-2","-0.5","-1","0.005","0.005","0.005","5e-04","-15","0.2","0.2","29973","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"53","-2.5","-0.00035","-2","-1","-3","5e-04","0.001","5e-04","5e-04","-15","0.2","0.2","3582","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"54","-2.5","-5e-05","-2","-0.5","-0.5","5e-04","0.005","0.005","5e-04","-15","0.2","0.2","28092","NaN","-1.87182271219078","-0.000370872006256312","-2.08559174210238","-0.968393492124211","-0.518533420366524","0.00149391698907599","0.00259525509117361","0.00341319535392382","0.00145413566431949","-14.7833851338648","0.221026636822685","0.356281028756712","0","2199.78517856948","-1062.21021425098"
"55","-1.5","1e-04","-2","-0.5","-3","5e-04","0.001","0.001","0.005","-15","0.2","0.2","74599","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"56","-1.5","1e-04","-2","-2","-0.5","5e-04","5e-04","0.001","5e-04","-15","0.2","0.2","10974","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"57","-1","1e-04","-2","-2","-1","5e-04","0.001","0.005","0.001","-10","0.2","0.2","145600","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"58","-2","-5e-05","-1","-2","-0.5","0.001","5e-04","5e-04","0.001","-15","0.2","0.2","32368","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"59","-2.5","-5e-05","-1","-1","-0.5","0.001","5e-04","5e-04","5e-04","-15","0.2","0.2","2117","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"60","-2.5","1e-04","-4","-2","-1","0.001","5e-04","0.005","5e-04","-15","0.2","0.2","21797","NaN","-2.23515241383256","-0.000222998457679843","-2.79114966231335","-1.05233720884547","-1.54537982571202","0.00139823802030279","0.0019315201986626","0.00243165613784832","0.000945546826366436","-15.2500816015053","0.21240381808497","0.241986522027783","0","1802.86992124162","-863.752585587046"
"61","-3","1e-04","-5","-2","-0.5","0.001","5e-04","0.005","5e-04","-10","0.2","0.2","113271","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"62","-1","-5e-04","-2","-2","-1","0.001","0.005","5e-04","5e-04","-10","0.2","0.2","99455","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
