"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-3","-1","-7.5","-0.5","-0.5","5e-04","0.005","0.001","0.005","-10","0.2","0.2","169821","NaN","-3.08477212620027","3.31880000068992","-10.2555101617794","-1.97007393824341","-1.64910339319497","0.0020190749115114","0.00222894222335691","0.00245672154182425","0.000863680942017492","-6.07462779598166","0.247698875822495","0.241256962372963","0","1963.09699732861","-943.866123630541"
"2","-3","-4","-7.5","-0.5","-1","0.005","0.001","0.005","0.001","-10","0.2","0.2","148056","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","-2.5","-5","-5","-2","-3","0.001","0.005","5e-04","5e-04","-15","0.2","0.2","7977","NaN","-2.4933158169154","-2.97669523581053","-7.07785656735079","-1.17189359564143","-1.81416450952067","0.00151595394599108","0.00101225488162676","0.00299152708093022","0.000189853946175582","-16.9066731566709","0.219659949173537","0.239028002774586","0","1827.82454673574","-876.229898334107"
"4","-1.5","-1","-7.5","-2","-1","0.005","5e-04","0.001","0.001","-5","0.2","0.2","225449","NaN","-2.89296316869719","-1.61857529874906","-8.38568542969686","-1.80095600887618","-1.64180512508168","0.00171280936718633","0.000277225476604915","0.00272759522260083","0.000859738809468066","-3.87652817244432","0.227790693498012","0.242169846250567","0","1891.19547782515","-907.915363878816"
"5","-2.5","-2","-10","-0.5","-3","0.005","5e-04","0.005","0.005","-15","0.2","0.2","83517","NaN","-2.93316195543455","-5.91849824855435","-10.6525229211223","-1.28705550283383","-1.66127417325243","0.00101721858011486","0.000953459695451399","0.00245645058568555","0.00084862278264949","-8.9426620173043","0.219842590811491","0.240971061384044","0","1836.51716510774","-880.576207520108"
"6","-2.5","-4","-6.25","-0.5","-1","0.001","0.001","5e-04","0.001","-10","0.2","0.2","126707","NaN","-2.73386605455453","-3.55216615693679","-10.6412991943475","-1.24474863444659","-1.65476085474199","0.00132874087606632","0.000878929811928285","0.00243372548414729","0.000889345372911778","-8.65255259157989","0.216727978166185","0.241863279792457","0","1825.45887906768","-875.04706450008"
"7","-2","-5","-10","-0.5","-0.5","0.001","0.005","5e-04","0.001","-10","0.2","0.2","130378","NaN","-2.80711244570351","-3.76142245584023","-12.2263632970914","-1.2797900826457","-1.66398153481155","0.00125276682965446","0.000898078351405874","0.00250996759322175","0.000839040621596554","-9.96523134097677","0.217610047941256","0.240830734910259","0","1826.28049762575","-875.457873779113"
"8","-2","-2","-5","-1","-1","5e-04","0.005","0.005","0.001","-5","0.2","0.2","240243","NaN","-2.89316648483898","-3.27975189126694","-12.2798405869624","-1.27681553416919","-1.7959542039314","0.00132207747132753","0.00124174056081246","0.0024644648730608","0.000879313236639383","-7.6450212702642","0.218845512314504","0.245994454385204","0","1834.41447995021","-879.524864941342"
"9","-2.5","-2","-10","-2","-1","0.005","0.005","5e-04","0.005","-5","0.2","0.2","252392","NaN","-2.67080602102491","-1.94176176631269","-12.7645310551514","-1.33566309783743","-1.55877018954325","0.00175283171610126","0.00101445900821829","0.00246833111861056","0.00102977359274225","-3.90748847937792","0.224183471655424","0.242514174685589","0","1867.60867038205","-896.121960157262"
"10","-1.5","-5","-6.25","-0.5","-3","0.005","0.001","0.005","0.001","-15","0.2","0.2","56579","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"11","-2.5","-5","-8.75","-2","-0.5","5e-04","5e-04","0.005","5e-04","-10","0.2","0.2","112152","NaN","-2.87129566937895","-4.58916315163025","-10.2344713947515","-1.2929780718365","-1.66247175818174","0.00112210159285018","0.000906991211804578","0.00245230036364727","0.000857755206775737","-8.25158048045617","0.218625253494461","0.241333661099301","0","1830.0737738711","-877.35451190179"
"12","-2","-5","-5","-0.5","-1","0.001","0.001","5e-04","5e-04","-15","0.2","0.2","5228","NaN","-2.45529786545949","-3.76653088437658","-5.96562623684466","-1.10399676963042","-1.79599962060267","0.00124342433216048","0.00149992310503929","0.00265168322621395","0.000690527794194925","-15.3852917022385","0.213595448023113","0.239923389307967","0","1806.08715065095","-865.361200291714"
"13","-2.5","-1","-10","-0.5","-3","0.001","5e-04","0.005","5e-04","-5","0.2","0.2","203897","NaN","-2.58265644863023","-2.09166447988314","-10.3275087616092","-1.27429490196405","-1.62314425313295","0.00178885041310718","0.000933571449724104","0.00232194405673611","0.000984724368968214","-3.94672034338921","0.221559528840855","0.242405679834832","0","1864.9248907042","-894.780070318338"
"14","-3","-1","-8.75","-0.5","-0.5","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","233921","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"15","-1","-1","-8.75","-1","-1","5e-04","0.005","5e-04","0.005","-15","0.2","0.2","68050","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"16","-2","-3","-5","-0.5","-3","0.005","0.001","0.005","0.001","-15","0.2","0.2","56613","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"17","-2.5","-1","-8.75","-0.5","-0.5","5e-04","5e-04","5e-04","0.005","-10","0.2","0.2","152922","NaN","-6.67517120844764","2.18588361637332","15.7652143580741","-4.67281969925327","-1.67195202306739","0.0118284830650282","-0.0094624970456346","0.00244470112193665","0.000854979790388715","-27.2006208748392","0.259018116238798","0.241367336924069","0","2011.35756229402","-967.996406113248"
"18","-3","-5","-7.5","-0.5","-1","0.001","0.001","0.001","0.001","-15","0.2","0.2","45676","NaN","-2.80034177965371","-4.15730122404417","-11.9989565119729","-1.25792432820167","-1.73194020560274","0.00118182012654534","0.000916767614886833","0.00246652582889842","0.000752190458235395","-15.8841771011718","0.218089035351206","0.241248281137022","0","1828.77995558973","-876.707602761105"
"19","-2.5","-2","-10","-2","-3","0.005","0.005","0.001","0.001","-15","0.2","0.2","49517","NaN","-2.71319968575031","-8.18016720238377","-5.65039772747702","-1.27195481342415","-1.66495428162492","0.000888818765942725","0.00164403205957217","0.00246314215514732","0.000848888701367637","-14.6828203002334","0.216981728445488","0.238450464898791","0","1822.81147028601","-873.723360109242"
"20","-1","-2","-6.25","-1","-1","0.005","5e-04","5e-04","5e-04","-5","0.2","0.2","185095","NaN","-2.43729373547573","-2.83573381745513","-8.69332041900598","-1.06406963247543","-1.95055239127917","0.00151938315504648","0.000975911946556072","0.00209118341323371","0.000852913683102487","-5.01638663234917","0.219260874785698","0.241030980177941","0","1851.70050229612","-888.1678761143"
