"","a_log","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-1.5","-2e-04","-2","-1","-1","0.005","5e-04","5e-04","5e-04","-10","0.2","0.2","93964","NaN","-5.56527174572212","-0.00830770949647233","1.27468773347193","-2.04598979498981","-1.66687079302076","0.00205773521127402","0.00223884392262741","0.00241885125778528","0.000849608311112019","-7.0117842279261","0.248049121563317","0.241323603120995","0","1965.33571502145","-944.985482476962"
"2","-2.5","-5e-05","-5","-1","-0.5","0.005","0.001","0.001","0.005","-10","0.2","0.2","168517","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","-1","-5e-04","-5","-1","-1","5e-04","0.005","0.001","0.001","-5","0.2","0.2","230005","NaN","-0.396528721186211","-4.9589428087219","0.636163692523193","-1.91168444714792","-1.6605489702623","0.00195163616654979","0.00238051594470275","0.00246031452016575","0.000854643957276612","-5.32134186974331","0.246232919573627","0.241398770809992","0","1955.87653580301","-940.255892867746"
"4","-2.5","-0.00035","-5","-0.5","-0.5","0.001","0.001","5e-04","5e-04","-15","0.2","0.2","5507","NaN","-0.370173665997458","-2.63210592456907","0.670120589583664","-1.90636946976346","-1.67315731126445","0.00195555532469415","0.00244358699648562","0.00246786438127456","0.000848703771610568","-16.1312307007813","0.246565667316955","0.241537773207004","0","1956.43767587587","-940.536462904172"
"5","-1","-0.00035","-1","-1","-1","0.005","0.005","5e-04","5e-04","-15","0.2","0.2","9610","NaN","-0.0146874042838287","2.05600378891783","0.544332804772078","-1.97307849716546","-1.65625314693668","0.00198819729313239","0.00234985336728154","0.00246560241143155","0.000849531576374706","-18.3667461861597","0.246966168503712","0.241157434561382","0","1962.44061554231","-943.537932737396"
"6","-2","1e-04","-5","-0.5","-0.5","5e-04","5e-04","0.005","0.005","-10","0.2","0.2","173148","NaN","-2.16418294381646","-4.48951578548827","0.000462371495811022","-0.737187549773758","-0.308951737823492","0.00147960642045544","0.00152263990169588","0.00295025076951689","0.00137768477904267","-9.65972362450539","0.232802650969474","0.40316100031572","0","2372.21881464581","-1148.42703228915"
"7","-1","1e-04","-5","-0.5","-0.5","0.001","0.001","5e-04","5e-04","-5","0.2","0.2","187775","NaN","-1.24405048411805","-1.65000118701177","0.494415024939493","-1.89552143331753","-1.65362890912726","0.00195920620032553","0.00234111103929547","0.00246640912730956","0.000855246068103268","-3.16399045345289","0.246225017698378","0.241214942656494","0","1955.16743410289","-939.901342017683"
"8","-1","1e-04","-4","-2","-0.5","0.001","0.005","0.001","5e-04","-10","0.2","0.2","109925","NaN","0.555647789649807","-4.0559872967627","0.669782308818531","-1.91351484169671","-1.65321351316959","0.00193844336341253","0.00237390740884995","0.00248766177978603","0.000849929076555858","-9.84188700299697","0.246568005163603","0.241071262217375","0","1956.41337012092","-940.524310026698"
"9","-2","-0.00035","-5","-2","-3","0.005","5e-04","0.001","5e-04","-10","0.2","0.2","103508","NaN","-1.79319622758441","-5.42264807448905","1.47247486555251","-2.00072860102001","-1.66855854034992","0.00200570279554282","0.00237616008311105","0.00245983407265336","0.000853333374324817","-11.539235911136","0.246702599343703","0.241803211161651","0","1960.42444755086","-942.52984874167"
"10","-1","1e-04","-3","-1","-0.5","0.005","0.005","0.001","5e-04","-10","0.2","0.2","111200","NaN","-0.626387272709507","-2.59128752333495","0.583417448229284","-1.91353067412375","-1.66068094868896","0.001948534383002","0.00235318865856922","0.00246218108174413","0.000853464175886332","-8.42984232409288","0.245804371342755","0.241280812681643","0","1956.03948920196","-940.337369567217"
