"","a_log","h_log","h12","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-1","-4","1e-04","-6.25","-0.5","-1","5e-04","0.001","0.005","5e-04","-10","0.2","0.2","577360","NaN","2.41154387237606","-4.11833944061591","5.33611257825957","-12.5915049958418","-2.04643293581957","-1.66506909931766","0.00200994272965217","0.00240666190152403","0.00245862923393928","0.000853942660940875","-12.4801322768009","0.248095038301286","0.241270688530764","0","1971.75318477996","-945.054019436737"
"2","-2","-3","-5e-04","-6.25","-1","-1","5e-04","0.005","0.005","0.001","-15","0.2","0.2","289763","NaN","-2.63879277582982","-0.292117806439411","-0.00326402500921428","-9.99872096997499","-1.0030935428117","-1.61326413527732","0.00160588254657426","0.00230614479855935","0.00250208935667615","0.00080255431930602","-16.3735583557982","0.260705013717189","0.249882629202571","0","1997.36962314581","-957.862238619664"
"3","-2","-2","-2e-04","-7.5","-2","-3","0.001","5e-04","0.005","0.001","-5","0.2","0.2","1170318","NaN","-1.85422802579803","-1.66180054085088","0.337017025403725","-10.0148163056219","-1.85083128762669","-1.6595168714414","0.00193412283697041","0.00239685436161488","0.00247319724972557","0.000855489971735973","-5.01707369307639","0.246251187494721","0.241521629741827","0","1960.48127834683","-939.418066220172"
"4","-3","-4","-5e-04","-8.75","-0.5","-0.5","0.005","5e-04","0.001","0.001","-15","0.2","0.2","218881","NaN","-2.80571595811107","-1.98563153832987","1.51502456868428","-23.627288356744","-2.01504959381833","-1.64921068218445","0.00195067913285783","0.00235805124051035","0.00245208972973823","0.00085418219074742","-1.80225126386074","0.247880666508536","0.240976431835021","0","1966.8791345584","-942.616994325961"
"5","-3","-3","-5e-04","-10","-2","-0.5","0.005","0.005","0.005","5e-04","-5","0.2","0.2","1061261","NaN","-1.93478462872025","-2.99323360511902","0.305305679743141","-9.76318788838859","-1.83955313319986","-1.64433606089378","0.00189328050430341","0.00237326915116174","0.0024771697586512","0.000880625468242167","-7.28084165121472","0.245474044040081","0.24137908733246","0","1959.15045563325","-938.752654863386"
"6","-1","-5","1e-04","-7.5","-0.5","-0.5","0.001","0.001","5e-04","0.005","-5","0.2","0.2","1242855","NaN","-0.02340042927775","-4.74012202090594","2.2604180124673","-9.61888106072925","-2.00890348722966","-1.6595761683626","0.0019846562086113","0.00241693729965208","0.00246565984727799","0.000852673007090143","-5.77128467660653","0.24728416966298","0.241261460866931","0","1968.74794489951","-943.551399496513"
"7","-1.5","-4","1e-04","-7.5","-2","-3","0.005","5e-04","0.005","0.005","-5","0.2","0.2","1327859","NaN","-1.38124261923028","-5.56700726637055","0.495949610447602","-8.37284321601582","-1.82023184222928","-1.6713376907916","0.00190886836911352","0.00237288537977108","0.0024702104039787","0.000847501011006383","-7.57954507937424","0.245900063726125","0.241250458047894","0","1961.46208911266","-939.908471603089"
"8","-1.5","-1","1e-04","-6.25","-1","-1","0.005","5e-04","0.001","0.001","-15","0.2","0.2","216749","NaN","-5.18403353586956","-1.08299949781994","-0.00478353482917541","-6.80513957432041","-1.90713803978736","-1.56712408741604","0.00222808488490531","0.00223355581543555","0.00234399433349023","0.00101278547880122","-11.920681723252","0.251306269611908","0.240872841750343","0","1956.57922915267","-937.467041623093"
"9","-2","-2","-5e-05","-5","-2","-0.5","5e-04","0.001","0.005","5e-04","-5","0.2","0.2","1033718","NaN","-1.40365199613442","-2.1458825805682","0.975402785514358","-9.2363415319005","-1.90707685149326","-1.64643080680525","0.00199859876283828","0.00236941470156051","0.00247144288690959","0.00084571874976336","-5.15591282287354","0.246668583678081","0.241759169706877","0","1964.8420505523","-941.598452322911"
"10","-3","-2","1e-04","-7.5","-0.5","-1","0.001","5e-04","5e-04","0.001","-15","0.2","0.2","160991","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
