"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-3","-5","-6.25","-1","-1","0.001","0.005","0.005","0.001","-15","0.2","0.2","59076","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","-2.5","-3","-10","-0.5","-1","0.001","0.005","0.001","0.001","-10","0.2","0.2","140137","NaN","-2.30615220986988","-2.68588385990907","-8.70142922783832","-1.00573960032724","-1.61573647708989","0.00161997337981185","0.00100778190969228","0.00264802792520689","0.00213876172889098","-8.4182903563256","0.228433074141297","0.253443947564781","0","1912.0802392358","-918.357744584138"
"3","-2","-2","-7.5","-0.5","-1","0.001","0.005","0.001","0.001","-15","0.2","0.2","49068","NaN","-2.31474872645987","-3.84610221524997","-5.26895430695581","-1.09869954774405","-1.57297881224582","0.0011445847399165","0.00167166068326463","0.00240376159218822","0.000942849283432716","-14.9089558339711","0.211604773942329","0.244282566407221","0","1803.72606461397","-864.180657273226"
"4","-3","-3","-5","-0.5","-0.5","5e-04","0.005","0.005","0.005","-5","0.2","0.2","271111","NaN","-3.61952057627448","2.48647134199906","-10.4324005646556","-5.40948291277906","-1.66709048347314","0.0192849036613176","-0.0183479792495029","0.00244593523253826","0.000842571197795899","-1.92524484668842","0.259038162588657","0.241506841826875","0","2014.41446845336","-969.52485919292"
"5","-2.5","-2","-5","-0.5","-1","5e-04","0.001","0.005","5e-04","-15","0.2","0.2","24367","NaN","-2.42512940376573","-3.1955707465121","-6.28372985401702","-1.08799445112461","-2.06845712067468","0.00140062718698263","0.00118496894563849","0.0020434778251867","0.000566054214621764","-16.0378411854278","0.213122915158853","0.249761008964821","0","1823.8665026319","-874.250876282188"
"6","-1","-3","-6.25","-0.5","-3","0.005","0.001","0.005","0.001","-10","0.2","0.2","147715","NaN","-2.67703368051251","-2.97778317767737","-9.05564796362949","-1.25117439513431","-1.63206317568097","0.00147831494098422","0.000911233970915269","0.002442510654852","0.000874445496727843","-8.66766310471064","0.217539321723476","0.241416795969274","0","1826.29668378","-875.465966856239"
"7","-1","-5","-5","-0.5","-1","0.005","0.005","5e-04","0.005","-15","0.2","0.2","70480","NaN","-2.67488221008247","-3.87357623221178","-16.136062446261","-1.18150333659895","-3.20119538998189","0.0012673434919262","0.00080001336048468","0.00242177252163224","-0.00358890076059973","-16.3243819514066","0.218238022613018","0.259389569964862","0","1903.45454922278","-914.044899577627"
"8","-2.5","-4","-10","-1","-1","0.001","0.001","0.001","0.001","-5","0.2","0.2","227757","NaN","-2.68935329859122","-2.78804106683431","-9.7332237106736","-1.25246998814179","-1.58700552530153","0.00157140199915333","0.000906114118223878","0.0024358497483365","0.000945996982056089","-4.84672608011153","0.217756637934628","0.241329776760456","0","1837.0726003144","-880.853925123437"
"9","-1.5","-3","-6.25","-2","-0.5","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","233714","NaN","-2.4172921060086","-3.01347296185518","-8.22657183294094","-1.00878721753931","-1.54047810622172","0.00146222676512849","0.000976024654239635","0.00250296635997721","0.000858242625569721","-4.3755493170366","0.219612466570927","0.24297973191955","0","1863.7864661611","-894.21085804679"
"10","-2","-1","-7.5","-1","-0.5","5e-04","0.005","5e-04","0.005","-10","0.2","0.2","159573","NaN","-8.02833305478566","3.59266667804817","-12.9505432228379","-2.0579003095718","-1.65277729019171","0.00200062842847833","0.0023897561204811","0.00246230402715715","0.000863113024942428","-3.02739443686243","0.248327742507472","0.241177104313667","0","1967.28107861999","-945.958164276231"
"11","-1","-4","-7.5","-0.5","-0.5","5e-04","0.001","0.001","5e-04","-15","0.2","0.2","14560","NaN","-3.6928637390504","-3.57739873104925","-11.2387419304791","-4.41412016671709","-1.62995772015188","0.000269793906382112","-0.0171381272294911","0.00246080649005948","0.000854631675027428","-10.5504291634908","0.252256738898756","0.241188301814133","0","1983.60329345277","-954.119271692623"
