"","a_log","a12","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-2","-2e-04","-0.00035","-3","-2.375","-0.5","-3","0.001","0.005","5e-04","0.001","-15","0.2","0.2","963413","NaN","-1.5801081168284","-0.00210590148775532","-2.64882577963807","0.51790734654118","-2.21845048084738","-2.08552909394057","-1.66705763596886","0.00247543790305886","0.00313583935043307","0.0024456620318905","0.000835488038760613","-14.7477457686124","0.246811122933486","0.243404265857429","0","1975.61686873429","-943.845663494423"
"2","-2.5","-5e-05","-5e-04","-2","-2.375","-2","-1","0.001","5e-04","0.001","0.001","-10","0.2","0.2","3329142","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","-3","-5e-05","1e-04","-1","-2.375","-2","-1","0.005","0.005","0.001","0.001","-10","0.2","0.2","3526241","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","-2.5","-5e-04","-0.00035","-3","-2.375","-1","-1","0.001","0.005","5e-04","5e-04","-10","0.2","0.2","2488402","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"5","-3","-0.00035","-5e-04","-1","-2.375","-0.5","-0.5","5e-04","5e-04","5e-04","0.001","-10","0.2","0.2","3063631","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","-1.5","-5e-04","-5e-04","-5","-0.5","-2","-1","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","6115004","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","-1","-2e-04","-2e-04","-3","-1.125","-2","-0.5","0.001","0.001","0.001","0.001","-15","0.2","0.2","1145940","NaN","-0.0727831980758911","0.116130758916483","-2.44692880901483","0.653136882793184","-1.08449525403463","-1.92465165727995","-1.66006318746682","0.00195808689032915","0.00236787701356507","0.00246298825440577","0.00085516138264821","-15.7758781505006","0.246043592866407","0.241265581863477","0","1969.2020812532","-940.638269753879"
"8","-2.5","-0.00035","-0.00035","-5","-2.375","-0.5","-1","0.005","0.001","5e-04","0.001","-5","0.2","0.2","5472532","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","-3","-2e-04","1e-04","-1","-2.375","-0.5","-3","0.001","0.001","0.005","0.005","-5","0.2","0.2","6701236","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","-1.5","-5e-05","-5e-05","-2","-1.125","-0.5","-1","0.005","5e-04","5e-04","0.001","-5","0.2","0.2","5389844","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"11","-2","-2e-04","-0.00035","-3","-2.375","-0.5","-1","0.005","0.001","0.005","0.005","-15","0.2","0.2","2182163","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12","-3","-5e-04","1e-04","-3","-3","-2","-3","0.001","0.001","0.001","5e-04","-5","0.2","0.2","4922226","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13","-1","-2e-04","1e-04","-4","-1.125","-1","-3","0.001","5e-04","0.005","0.001","-5","0.2","0.2","5855240","NaN","-0.204852871493266","-0.00862622359652204","-4.39318212285703","0.419502561640284","-0.599263585404185","-1.85292597956098","-2.67612707871632","0.00195951544173735","0.00217931554932005","0.00282879812883065","-0.000855837756214612","-5.73795629393274","0.245635602220305","0.24689014676639","0","2016.1451642286","-964.109811241579"
"14","-2.5","1e-04","-2e-04","-4","-1.125","-1","-0.5","0.001","0.001","0.001","5e-04","-10","0.2","0.2","2667697","NaN","-2.26483876639624","0.0470746072204824","-3.84498009792418","0.533868081663843","0.189013115133023","-1.90053725498753","-1.66776768862757","0.00194435975532296","0.00234729302137172","0.00247126184121653","0.000849812379954892","-9.90424602682228","0.245912435806051","0.241414630073974","0","1968.30534944551","-940.189903850033"
