"","a_log","a12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-3","-5e-04","-5","-0.5","-2","-1","5e-04","0.001","5e-04","0.001","-15","0.2","0.2","171126","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","-2.5","1e-04","-1","-1.125","-0.5","-0.5","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","1226122","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","-3","-5e-05","-5","-1.125","-0.5","-1","5e-04","5e-04","5e-04","5e-04","-10","0.2","0.2","459141","NaN","-2.23173752485928","-0.000217046117340889","-3.70781843094753","-1.76488672454881","-0.968319623036963","-1.88658312012493","0.00119022897532995","0.00180200886414776","0.0027925800972754","0.000626711136646744","-10.2282515271016","0.212107723832129","0.246587016985472","0","1810.59295535133","-864.473904722426"
"4","-1","-5e-04","-3","-2.375","-2","-1","0.005","0.001","0.001","0.001","-5","0.2","0.2","1143930","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"5","-2","1e-04","-5","-0.5","-0.5","-0.5","0.005","0.005","0.001","0.001","-10","0.2","0.2","708648","NaN","-2.52050313911843","-0.000157082985567367","-4.37446124632995","-0.0536147428270393","-1.15345543629851","-1.6644494055763","0.000975731490985037","0.00199067703838616","0.0025051605129847","0.000844913911224721","-7.86036339261928","0.215215744539251","0.241782734363525","0","1812.30138767694","-865.328120885226"
"6","-1","-5e-04","-4","-1.125","-2","-3","0.005","5e-04","0.005","0.001","-5","0.2","0.2","1176030","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"7","-1","-2e-04","-5","-1.75","-0.5","-1","5e-04","0.001","5e-04","0.001","-5","0.2","0.2","1083390","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","-2","-5e-04","-1","-3","-0.5","-1","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","166353","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","-2","-5e-05","-3","-1.75","-1","-1","5e-04","0.001","5e-04","0.005","-15","0.2","0.2","323443","NaN","-2.47447533324127","-0.000160861047299154","-3.68100800353867","-2.71582742138603","-1.1436294529641","-4.67070623914804","0.0010454297306066","0.00196681648140039","-0.00800635241667311","0.00535151858152948","-15.0966619644734","0.211898629366839","0.27051645876564","0","1925.49732783858","-921.926090966049"
"10","-2","-5e-05","-1","-3","-2","-3","0.001","5e-04","0.001","0.001","-5","0.2","0.2","1119493","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"11","-3","-5e-05","-1","-1.75","-0.5","-0.5","0.005","5e-04","0.005","0.005","-10","0.2","0.2","877241","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"12","-2","-2e-04","-4","-2.375","-0.5","-3","0.005","0.005","5e-04","0.005","-5","0.2","0.2","1261413","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"13","-2","-5e-04","-4","-1.75","-1","-3","0.001","0.001","5e-04","5e-04","-15","0.2","0.2","23403","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14","-1.5","-5e-04","-3","-1.125","-2","-1","0.001","5e-04","0.005","5e-04","-5","0.2","0.2","1020429","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15","-2","-0.00035","-5","-1.125","-0.5","-3","0.001","5e-04","0.005","5e-04","-15","0.2","0.2","108508","NaN","-2.29352843265514","-0.000171970918975984","-3.10824652952523","-0.614924463723768","-1.12236115673061","-1.79543277243661","0.00137342021579182","0.00142965175017108","0.00199099930330136","0.000727353733283929","-14.6281321935454","0.211787874687249","0.239836418803843","0","1805.52634804676","-861.94060107014"
"16","-3","-5e-05","-5","-0.5","-1","-0.5","0.005","0.001","5e-04","0.001","-10","0.2","0.2","640516","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"17","-3","1e-04","-1","-1.75","-0.5","-0.5","0.005","0.005","5e-04","5e-04","-15","0.2","0.2","50371","NaN","-2.79003160489289","-0.000209423935494868","0.930797622520246","-3.06833394388653","-1.89157310167829","-1.63872626679374","0.00193210842172374","0.00216432168938711","0.00257270449841063","0.000881734078443116","-13.2907491169866","0.244266036912167","0.241938739180145","0","1956.33096266888","-937.342908381198"
"18","-2.5","-5e-04","-5","-2.375","-0.5","-3","0.005","0.005","0.005","0.005","-15","0.2","0.2","451377","NaN","-2.40243154421443","-0.000169391919551122","-3.48335898452876","-2.32097196891969","-1.0979224157958","-4.72237802472276","0.00121007460884519","0.00181960420309526","-0.0101379558549047","0.00431092244958343","-13.5749332293543","0.211395958756057","0.269524335883135","0","1919.94499497421","-919.149924533864"
"19","-1.5","-5e-05","-4","-1.125","-1","-0.5","0.001","0.001","5e-04","5e-04","-10","0.2","0.2","482919","NaN","-2.26832487857587","-0.000217904825112158","-3.27216979283212","-0.0381415297144025","-1.06974913861358","-1.68829421970531","0.00116584554003981","0.0020594258520884","0.00293676206248285","0.000564388468894737","-8.19154800892212","0.212378937698757","0.242829629004836","0","1803.95967750163","-861.157265797571"
