"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-1","-2","-6.25","-1.75","-0.5","-0.5","5e-04","0.005","5e-04","0.005","-15","0.2","0.2","342845","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","-2","-5","-7.5","-3","-0.5","-3","5e-04","0.001","0.001","0.005","-5","0.2","0.2","1283803","NaN","-2.65965862930848","-6.21079879696966","-9.46333830751091","2.87947657186759","-1.29216094432547","-1.57069123643505","0.000663771630935573","0.00139871300221482","0.00242336737687665","0.000930625745027842","-7.62140738767037","0.233900047526345","0.244414775734363","0","1890.43813202803","-904.396493060771"
"3","-1.5","-2","-5","-3","-2","-0.5","0.005","0.005","0.005","0.005","-15","0.2","0.2","453869","NaN","-17.2495707451009","0.916415088846859","-6.60301293422867","-8.22670795043949","-9.57617012276146","-1.67678586371474","-0.0128474848170739","0.0739118761884709","0.00243718146748415","0.000819204589594382","-15.8677127619627","0.260565640428714","0.241305676550978","0","2024.46766183784","-971.411257965679"
"4","-1","-2","-7.5","-0.5","-0.5","-1","0.001","0.005","0.005","0.001","-10","0.2","0.2","751820","NaN","-1.70915163896223","-2.7289707182614","-5.82580422616731","3.37272676996977","-1.24406404012924","-9.96432244596657","0.00139900973365607","0.00148835043763959","0.0375517343627779","-0.00286941889582703","-9.33698315880089","0.217717225784614","0.271335751716111","0","1958.57872773006","-938.46679091179"
"5","-2.5","-4","-5","-2.375","-0.5","-3","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","1165857","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","-1","-4","-8.75","-1.125","-0.5","-3","0.005","0.001","0.005","0.001","-5","0.2","0.2","1194160","NaN","-2.64864405745736","-3.3709386817686","-10.085856623375","-0.800742709689202","-1.22405969780929","-1.65172313375034","0.00129611420565965","0.000890593020510413","0.00244603322766926","0.000868028007471084","-5.83649357266954","0.215244230383292","0.245343118792076","0","1832.09369692152","-875.224275507519"
"7","-3","-3","-6.25","-2.375","-0.5","-1","5e-04","5e-04","5e-04","0.005","-15","0.2","0.2","307086","NaN","-2.6204348468535","-3.22682782550053","-8.66252862443514","-0.580997271594899","-1.2466677556848","-1.66842842307664","0.00138656938869075","0.00092241134851547","0.0024403316528976","0.000854204589677679","-15.2287440903178","0.216578904260859","0.241321325876929","0","1826.3880580577","-872.371456075611"
"8","-2.5","-3","-7.5","-1.75","-0.5","-1","5e-04","0.001","5e-04","5e-04","-10","0.2","0.2","475937","NaN","-2.65183685350699","-3.31963184285614","-10.1019959692823","-0.90583728267844","-1.24267641445313","-1.68693312339577","0.00137808132261179","0.000838671553354592","0.00242334931462009","0.000794380495859429","-7.92627464634204","0.216656701096676","0.240962729846967","0","1828.99358909997","-873.674221596745"
"9","-3","-2","-7.5","-2.375","-0.5","-0.5","5e-04","0.001","5e-04","0.001","-5","0.2","0.2","1085191","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"10","-2","-3","-5","-2.375","-2","-0.5","0.001","0.001","0.001","0.001","-10","0.2","0.2","684613","NaN","-2.5939529903986","-3.21401008792852","-8.22600244265584","-0.886763434646152","-1.21906572629095","-1.67978566950639","0.00139966456611759","0.000969214070291554","0.00243413492926366","0.00085943259083212","-12.2376025364067","0.21619318378023","0.240961654031215","0","1824.33334750933","-871.344100801422"
