"","a_log","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-3","-0.00035","-3","-3","-0.5","-1","5e-04","0.005","0.001","0.005","-5","0.2","0.2","1302556","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","-3","-5e-05","-3","-0.5","-2","-3","5e-04","0.001","0.001","5e-04","-5","0.2","0.2","979316","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","-1.5","-2e-04","-2","-3","-1","-1","0.001","5e-04","0.005","5e-04","-5","0.2","0.2","1020714","NaN","-1.4039312684297","-1.83641262384471","0.444313859264975","-2.99226659609049","-1.89747295341773","-1.6627378987448","0.00194724123694105","0.00234776088659372","0.00246231911859689","0.000853491252103098","-4.83087398791642","0.245717969246672","0.241375610541543","0","1961.37703266019","-939.865943376853"
"4","-1.5","-5e-05","-1","-2.375","-2","-1","0.005","0.001","0.005","0.005","-5","0.2","0.2","1346494","NaN","-1.8155535481292","-1.15613316178084","0.433717874611385","-1.43330053601747","-1.88567409133605","-1.64379900846326","0.00195260548950297","0.00235156178569272","0.00246707499089558","0.000863248526242607","-4.57923783007345","0.245355490475045","0.241207197843782","0","1961.34862424115","-939.851739167332"
"5","-2.5","-0.00035","-5","-1.75","-0.5","-0.5","0.005","0.005","5e-04","0.005","-5","0.2","0.2","1265257","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","-3","-5e-04","-4","-3","-2","-0.5","0.001","5e-04","0.005","0.005","-10","0.2","0.2","870026","NaN","-2.96003550088283","-3.76179706442378","1.08082583537315","-2.33431171970523","-2.00809194065508","-1.65733152395214","0.00198331369275113","0.00239374254815613","0.00245738265780897","0.000853505236431637","-10.0653383064752","0.246694541262376","0.241275763051047","0","1965.78944407409","-942.072149083805"
"7","-2","-0.00035","-2","-1.75","-2","-3","0.005","0.005","0.001","5e-04","-15","0.2","0.2","95958","NaN","-1.87352726422096","-0.8790299266051","-0.000111530356088134","0.425381319015938","-1.91176128369831","-1.86567115331017","0.00210423556190635","-0.000577159717535937","0.00222856354881998","0.000858312898121117","-17.0964174219068","0.234288926870368","0.246095566834635","0","1926.98199736705","-922.668425730286"
"8","-1","-0.00035","-3","-0.5","-0.5","-0.5","0.001","5e-04","0.001","0.005","-10","0.2","0.2","821185","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","-2.5","-2e-04","-5","-2.375","-0.5","-1","5e-04","0.001","0.001","5e-04","-5","0.2","0.2","982012","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"10","-1","-2e-04","-1","-0.5","-2","-3","0.001","0.005","0.001","0.005","-5","0.2","0.2","1305615","NaN","-2.83879805091491","-0.58040440908033","-0.000564055612449982","-0.136366616853137","-2.20617613895199","-1.78672344725455","0.00172361533682155","0.000558761438463154","0.0022438134073827","0.000816147410144852","-5.48975021785417","0.231993115161138","0.242486697144937","0","1928.18626846655","-923.270561280034"
"11","-1","-0.00035","-1","-0.5","-0.5","-1","0.005","0.001","0.005","5e-04","-5","0.2","0.2","1044360","NaN","-2.10109309157023","-0.649284928780911","0.000750817004584687","-0.391922723956773","-1.33069023008917","-2.78204234626259","0.00188266795586906","0.00166120271049261","0.00395220467850716","-0.00289789134059297","-2.92304335692735","0.23539186780262","0.256392372502065","0","1994.87156347195","-956.613208782734"
"12","-1","-0.00035","-2","-1.125","-0.5","-0.5","0.001","5e-04","0.005","0.001","-10","0.2","0.2","719835","NaN","-0.40228347569335","-0.646660365527551","0.50446811244248","0.0380593596591336","-1.92511706465329","-1.65318744435693","0.00195597680281571","0.00234882713990697","0.00245896693933958","0.000856101318151179","-11.0175204479755","0.246283488953552","0.241191746879552","0","1963.67845901907","-941.016656556294"
"13","-1","-0.00035","-1","-3","-2","-3","5e-04","0.001","5e-04","5e-04","-15","0.2","0.2","16985","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"14","-2","-0.00035","-3","-1.75","-2","-0.5","5e-04","0.001","0.001","5e-04","-15","0.2","0.2","71558","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"15","-3","-5e-04","-5","-1.125","-0.5","-1","5e-04","0.005","5e-04","0.005","-10","0.2","0.2","796626","NaN","-2.96297500364257","-5.01345277002745","0.000169783577386315","-4.1037967895843","-0.777648283128287","-0.969275953250208","0.00145451513824155","0.00182005786716345","0.00303806062486581","0.00111376709735794","-8.64559958239916","0.251450648024372","0.258978851344288","0","2053.3110388026","-985.83294644806"
"16","-2","-2e-04","-4","-1.125","-1","-3","5e-04","0.005","0.001","0.001","-10","0.2","0.2","692913","NaN","-2.10714430743929","-4.22892538647338","0.000902036510515945","-0.360666994844868","-1.01577560258513","-2.71363395652951","0.0013645553356303","0.00148696535214818","0.00463305195397921","-0.0015769453427091","-11.302442774172","0.215791686494764","0.252378801316406","0","1897.41167212358","-907.88326310855"
"17","-2","-2e-04","-3","-0.5","-0.5","-3","0.001","0.005","5e-04","0.001","-5","0.2","0.2","1104313","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"18","-1","-0.00035","-5","-3","-2","-1","0.005","5e-04","0.005","0.005","-5","0.2","0.2","1329385","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19","-1.5","1e-04","-3","-1.75","-0.5","-0.5","0.001","0.005","0.001","0.005","-15","0.2","0.2","399074","NaN","5.55694482814031","6.19668656517009","0.0654397847181667","6.90421398359228","-20.8333239637889","-1.67679803293767","-0.00298338477716088","-0.0719689276909382","0.00243678032398572","0.000820060473674893","-26.0845680509833","0.26058202579914","0.241268129361085","0","2024.4309620641","-971.392908078809"
"20","-1.5","1e-04","-2","-2.375","-0.5","-3","0.005","5e-04","0.001","0.005","-10","0.2","0.2","822724","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"21","-2","1e-04","-1","-2.375","-2","-0.5","5e-04","5e-04","0.001","0.001","-10","0.2","0.2","662123","NaN","-1.1652965252402","-2.31852136383899","0.499336585811844","-1.61552604029905","-1.90608120642798","-1.65618682545399","0.00194584959200786","0.00236848956834684","0.00246361203008211","0.000856830261550707","-9.63829585967009","0.245512082424621","0.241073931838501","0","1961.55361505024","-939.954234571881"
"22","-1","-0.00035","-3","-2.375","-1","-0.5","0.001","5e-04","5e-04","0.001","-10","0.2","0.2","617685","NaN","-1.56238611180918","1.58862415977562","0.730319187728859","-6.25531312688398","-1.99028022965629","-1.6437027089665","0.00199866042759497","0.00236794836034474","0.0024591346330395","0.000873308590905553","-9.66229704414311","0.247090180792862","0.241295786455562","0","1968.4305575055","-943.392705799507"
"23","-3","-5e-04","-3","-0.5","-0.5","-0.5","0.005","0.005","0.001","0.001","-5","0.2","0.2","1164301","NaN","-3.20928479114867","-57.1277520336627","0.00107442862866632","-0.211578599085538","-0.870912237764073","-0.417281906058208","0.00155725427118121","0.00244169824660161","0.00308155960848159","0.00135976402869862","-3.9186947190221","0.244137776568501","0.351837082074555","0","2384.29371990393","-1151.32428699873"
"24","-2.5","1e-04","-2","-1.75","-0.5","-1","0.005","0.005","0.001","0.005","-5","0.2","0.2","1314097","NaN","-2.80573762901988","-2.98946349445598","0.000417830716759918","-0.0562967214324012","-1.37802327613583","-1.6189707236044","0.00158316608203021","0.00139456558618741","0.00233126527571991","0.00112961048383705","-4.54473729178746","0.21809536324637","0.252251766689085","0","1847.81869910424","-883.086776598878"
"25","-2","-0.00035","-2","-2.375","-0.5","-1","0.005","5e-04","0.001","0.005","-10","0.2","0.2","824583","NaN","-1.51789216451351","-1.71780180281524","0.361598836815679","-2.3363566064469","-1.82702999411302","-1.00200450069211","0.00196660491329056","0.00244767091951951","0.00265154290703294","0.00119473572518642","-9.23862481410357","0.245304069608881","0.262314738019313","0","2049.80273883297","-984.078796463242"
"26","-3","-0.00035","-1","-0.5","-0.5","-3","0.001","5e-04","5e-04","0.005","-10","0.2","0.2","766856","NaN","-3.16033370384421","-1.13509914563316","-0.264368222367751","0.474176131471677","-1.81822284745838","-1.63853579190435","0.00190814756903779","0.00219508579650901","0.00259116046051671","0.000752129010549543","-10.4174320478169","0.247251324395633","0.24203332148843","0","1970.22380129941","-944.289327696464"
"27","-2.5","-2e-04","-3","-2.375","-0.5","-0.5","0.005","0.005","0.001","5e-04","-10","0.2","0.2","556437","NaN","-0.580358993478704","-2.5419612060214","0.579165684100709","-2.36728485944831","-1.90952358567095","-1.65614654928682","0.00194641508524968","0.00237538877579269","0.00246935137342062","0.000860018439236899","-10.3800331307622","0.245829385626322","0.241368984101353","0","1962.31359214311","-940.334223118315"
"28","-2","-5e-04","-4","-2.375","-1","-1","5e-04","5e-04","0.001","0.001","-10","0.2","0.2","660778","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"29","-2","-0.00035","-3","-1.75","-2","-1","0.005","5e-04","0.001","0.001","-5","0.2","0.2","1127183","NaN","-2.56189247266874","-3.00499393613257","0.000776674060927447","-1.71426392806085","-1.31567862768677","-1.60537170171755","0.00145298362019472","0.0017867448143336","0.00276197265546949","0.00083468527483679","-6.0528454735622","0.265229035941967","0.242477180373259","0","1876.08337330025","-897.219113696883"
"30","-3","-5e-05","-1","-3","-0.5","-0.5","0.001","0.001","5e-04","0.005","-15","0.2","0.2","331366","NaN","0.35586574417324","-2.45448733496429","2.3643029576947","5.0984714661833","-15.5045112050371","-1.67679100409295","-0.0279697520065023","-0.00525046569376799","0.00243764341419211","0.000816207926276078","-13.6163891368575","0.260499119006231","0.241236553540289","0","2023.38262189083","-970.868737992176"
"31","-2.5","-0.00035","-1","-1.125","-1","-1","0.001","5e-04","0.001","0.005","-15","0.2","0.2","362982","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"32","-2","-5e-05","-2","-0.5","-1","-0.5","0.001","0.001","5e-04","5e-04","-5","0.2","0.2","938718","NaN","-2.54859596452467","-3.62261185288658","6.72230350284785e-05","2.14497147033348","-1.39945778311711","-1.87529758443509","0.00113213698099255","0.000496877354635302","0.00146838425239061","0.000480795904166282","-5.95165960027862","0.22258115720317","0.244392398322088","0","1871.81702250192","-895.085938297719"
"33","-1.5","-2e-04","-1","-1.75","-0.5","-0.5","0.001","5e-04","0.001","0.001","-5","0.2","0.2","1124739","NaN","-1.23118611571658","-0.569109384524515","0.465021678373139","-1.10553964042307","-1.92530220007368","-1.65062707302572","0.00197129205159135","0.00240037973090131","0.00248009485975346","0.000861666915686503","-5.2911072571542","0.24608524490391","0.241301334031387","0","1963.33553116314","-940.845192628331"
"34","-1","-5e-04","-3","-0.5","-0.5","-0.5","0.005","0.001","0.005","0.005","-15","0.2","0.2","438680","NaN","-1.01080945071459","-1.90469103167298","0.000616175990966258","-0.496172695126092","-0.494028482031148","-0.500642658369678","0.00194012768423532","0.00170651491977325","0.00304454637003761","0.0014571594235171","-14.9919276546521","0.291122251451294","0.336847737148542","0","2466.67009131275","-1192.51247270313"
"35","-2.5","-5e-05","-3","-1.125","-1","-0.5","0.001","0.001","0.001","5e-04","-15","0.2","0.2","77942","NaN","-2.69974123257922","-4.90853262382096","0.000180860836177735","-0.861467201128544","-1.27146997284266","-1.91026028355005","0.000892054480640981","0.00114745400391831","0.0014483040824345","0.000465178433083365","-16.1345333458372","0.218511019270158","0.245412994560404","0","1850.00931198999","-884.182083041752"
"36","-2","-0.00035","-5","-3","-0.5","-3","0.001","5e-04","0.005","0.001","-15","0.2","0.2","260008","NaN","-0.979793733637916","-6.43911400346006","2.29673653802709","-2.53737078285882","-2.01155785572691","-1.66489919247214","0.0020141514171159","0.00238462399108883","0.00245913150981372","0.000855688870082664","-16.191986478448","0.247227588247577","0.241287105302347","0","1968.89812765124","-943.62649087238"
"37","-2","-0.00035","-2","-3","-0.5","-0.5","0.005","5e-04","5e-04","5e-04","-10","0.2","0.2","471958","NaN","-2.33159731330613","-2.7641454982891","0.00060388581438923","2.81598942813946","-1.38763053619743","-0.488679440969016","0.00174300860926655","0.0016388480371127","0.00315199015910516","0.00122512241223865","-11.2047896385995","0.228020440259695","0.323444333896245","0","2216.14617777063","-1067.25051593207"
"38","-2.5","-5e-04","-4","-1.75","-1","-0.5","5e-04","0.005","0.001","5e-04","-5","0.2","0.2","1000277","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"39","-1","-5e-05","-1","-3","-0.5","-3","0.001","5e-04","0.005","0.005","-10","0.2","0.2","867620","NaN","-2.86530524992069","-1.00872520085267","-0.000204783961655784","-4.09378111365309","-1.65400989080033","-1.85312852195305","0.00165175779022099","0.00129452135902992","0.00189110728669294","0.000479255505253685","-7.64530598812133","0.228903810015876","0.247726045771447","0","1905.66860748386","-912.011730788689"
"40","-3","-5e-04","-1","-3","-1","-1","5e-04","5e-04","0.001","0.005","-5","0.2","0.2","1268226","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
