"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-2.5","-2","-7.5","-2.375","-2","-0.5","0.001","0.005","0.005","0.005","-15","0.2","0.2","448317","NaN","-2.63358239534805","-3.05452643589243","-8.21640407745599","-0.623379299490488","-1.25256111197847","-1.65315254395728","0.00142512327902649","0.00100692026821826","0.00244593046609434","0.000870560913786884","-19.9138374374281","0.215640429319806","0.240578969235555","0","1826.02944930328","-872.192151698398"
"2","-2","-3","-5","-1.75","-0.5","-3","0.005","0.001","5e-04","0.005","-5","0.2","0.2","1244738","NaN","-2.79771084037861","-3.78893916957418","-11.3106392369119","-0.550989188156331","-1.3002404270092","-1.72445091125339","0.00116082506307172","0.000873206198249409","0.0024008484904104","0.000831185032148292","-5.13503924914461","0.215330588911561","0.245452016113289","0","1843.32298426959","-880.838919181552"
"3","-1.5","-1","-7.5","-3","-0.5","-0.5","0.005","0.001","5e-04","5e-04","-10","0.2","0.2","488824","NaN","-2.61659141305384","-2.91666771269244","-7.70074201346641","-3.80462615232932","-1.27808989427422","-1.74678879386475","0.0014985855980834","0.000804504025138492","0.00236894806392052","0.000854419911168035","-5.6829870438841","0.217119022347289","0.242124149230321","0","1831.12465393846","-874.739754015987"
"4","-2","-4","-8.75","-0.5","-0.5","-0.5","0.001","0.001","0.005","0.005","-15","0.2","0.2","433033","NaN","-2.16091746210701","-3.85779123887652","-5.09287448846356","-0.75368343015964","-1.03151908846831","-1.64134060852092","0.00113432385189416","0.00168754027994699","0.00240911174412199","0.000884107495388793","-15.9010551318995","0.213164662806182","0.241277240641512","0","1811.67683167883","-865.015842886174"
"5","-3","-4","-10","-1.75","-2","-1","5e-04","0.001","5e-04","5e-04","-5","0.2","0.2","930256","NaN","-2.63351587668859","-3.02063686742069","-10.6365458548712","-1.45064926867755","-1.2395621225132","-1.64346092989955","0.00146110300062121","0.000861764431045363","0.00245267035099313","0.000857678664267679","-5.90115832312802","0.217143055661702","0.241527835467356","0","1831.90902482633","-875.131939459924"
"6","-1.5","-5","-7.5","-2.375","-1","-0.5","0.001","0.005","0.001","5e-04","-15","0.2","0.2","94554","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"7","-2.5","-4","-7.5","-1.125","-1","-3","0.005","0.001","0.005","0.001","-5","0.2","0.2","1193557","NaN","-2.56160053942751","-3.41798032387276","-9.03777153724281","-1.93685374506303","-1.11176306588478","-1.66079663621268","0.00136013035034453","0.00091817792839143","0.00241838017154516","0.000895646554681365","-5.46613199705343","0.216870502561059","0.240965352497302","0","1836.96353759491","-877.659195844214"
"8","-2","-1","-8.75","-3","-1","-1","0.001","5e-04","0.005","5e-04","-5","0.2","0.2","1020673","NaN","-0.879920692985118","-2.55703256202508","-15.1687885520496","5.10983464804905","-1.19776885019133","-1.55028795329659","0.00139334925816053","0.00104524130384058","0.00243535708194657","0.000959692519226052","-7.95510529354367","0.224996651227907","0.24342758579575","0","1869.56246697163","-893.958660532576"
"9","-1","-4","-5","-0.5","-2","-3","5e-04","0.005","0.001","0.005","-10","0.2","0.2","844360","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"10","-2.5","-2","-8.75","-0.5","-1","-1","0.001","0.005","5e-04","0.001","-5","0.2","0.2","1105542","NaN","-2.5022721092655","-2.44186216054386","-8.53393684130879","-0.00399405450455704","-1.275715436268","-1.62543385528069","0.00158942844681681","0.000975986506049312","0.00246225470982797","0.000919378647481779","-4.53571901606554","0.216648714743188","0.239703808655964","0","1843.75563080213","-881.055242447825"
