"","a_log","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-2.55555555555556","-5","-2.375","-1","-1","0.001","0.001","5e-04","0.001","-10","0.2","0.2","506103","NaN","-2.56707261381017","-3.10589792608533","-2.55660302949462","-1.1721491371123","-1.65740656134346","0.00145346461985846","0.000839638014156642","0.00245282397525228","0.000788120040541883","-9.20084520893497","0.219198019369974","0.239458112254231","0","1828.15392737516","-876.394588653819"
"2","-1.22222222222222","-3.66666666666667","-1.75","-1","-1","5e-04","5e-04","5e-04","0.005","-5","0.2","0.2","974239","NaN","-2.20793961631851","-1.98460718867971","0.439947343658098","-1.25911421061338","-4.25834844654875","0.00173330712134386","0.000872635596071593","0.00583557256163884","-0.0127987323163707","-4.43522446581159","0.2263987859996","0.269275120129705","0","1952.1691510861","-938.402200509288"
"3","-3","-4.55555555555556","-0.5","-0.5","-1","0.005","5e-04","5e-04","0.005","-15","0.2","0.2","254911","NaN","-2.74726795524583","-3.89916789635911","0.478423753564559","-1.30326333864526","-1.64819067035068","0.00117354129722283","0.000945435277601576","0.00253972586425506","0.000874083723249063","-14.5745518577296","0.219437944098603","0.242667581135395","0","1833.03193778942","-878.83359386095"
"4","-1.88888888888889","-3.22222222222222","-3","-2","-3","0.005","5e-04","5e-04","0.005","-15","0.2","0.2","252046","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"5","-1.66666666666667","-1.44444444444444","-3","-0.5","-0.5","5e-04","0.001","5e-04","0.005","-10","0.2","0.2","625087","NaN","-0.296351201833281","1.8798152844575","3.20699249958634","-4.97688923481183","-1.6744737970095","0.00670494887170052","-0.0147497205299509","0.00243861756523647","0.000827413520361453","-15.5034578196929","0.259102450648079","0.241162027394948","0","2012.06748674738","-968.351368339928"
"6","-2.33333333333333","-2.77777777777778","-1.75","-1","-0.5","5e-04","0.005","0.001","0.005","-15","0.2","0.2","314254","NaN","-2.49318282875183","-2.00538604945982","-0.493377672056828","-1.28984198571055","-1.55898594882767","0.00169038057744835","0.00104826924809004","0.00246419237652537","0.000938092210463186","-14.1473790510851","0.218872241734559","0.242677546342238","0","1843.31396990889","-883.974609920686"
"7","-1.66666666666667","-3.66666666666667","-0.5","-2","-1","0.001","0.001","5e-04","0.005","-5","0.2","0.2","991937","NaN","-3.29942030049787","-2.11802636352117","-1.40927191603998","-3.5556543568468","-1.63223442617094","0.0030052790585068","-0.00899516544952629","0.00245044571783453","0.000819202370070513","-4.47779877017795","0.250110337030514","0.241680681836719","0","1980.49586839668","-952.565559164576"
"8","-2.33333333333333","-1.88888888888889","-1.125","-2","-0.5","0.001","0.001","5e-04","5e-04","-5","0.2","0.2","750374","NaN","-2.51272334785986","-2.64424521960446","-0.336022681576253","-1.23406828015813","-1.64673555116216","0.00153092875799009","0.000859039222549355","0.00240991414366459","0.000877305555299981","-4.75089988531441","0.218647431291069","0.240912287627144","0","1835.92911327807","-880.282181605274"
"9","-1","-1.88888888888889","-2.375","-2","-0.5","5e-04","0.005","5e-04","0.001","-10","0.2","0.2","516180","NaN","-2.70564338346543","-3.50527974497576","-2.98604609376549","-1.21389273982946","-1.67002447199325","0.00134231119884009","0.000876126675969794","0.00228494781512695","0.000974999732909666","-8.49096441464799","0.218388859402721","0.242253494147972","0","1826.00721250447","-875.321231218476"
"10","-2.11111111111111","-3.66666666666667","-3","-2","-3","0.005","5e-04","0.001","0.005","-15","0.2","0.2","292535","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
