"","a_log","a12","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-1","-2e-04","-2e-04","-2","-2","-0.5","5e-04","0.005","0.001","0.001","-10","0.2","0.2","696065","NaN","-1065.99652409891","3.98688417026536","769.853522427755","83.3592616280102","-8.33455554344838","-10.61544587713","0.253626385145664","2.96955109395655","12.9270374140417","-3.9695533486121","708.164309820165","0.52643692806675","0.280831224108386","0","3132.77004078678","-1525.7601813187"
"2","-3","-5e-04","-5e-04","-2","-1","-1","0.005","0.001","0.005","0.005","-15","0.2","0.2","436001","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","-1","1e-04","-5e-04","-1","-0.5","-0.5","0.005","0.001","5e-04","0.005","-10","0.2","0.2","793025","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","-1","-5e-05","-5e-04","-5","-1","-1","5e-04","5e-04","0.001","0.005","-15","0.2","0.2","356895","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","-3","-2e-04","-2e-04","-4","-2","-0.5","0.005","5e-04","0.001","0.005","-10","0.2","0.2","825186","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","-3","-5e-05","-5e-04","-3","-1","-1","0.005","0.001","5e-04","0.005","-10","0.2","0.2","790266","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"7","-1","-5e-05","-5e-05","-3","-0.5","-1","0.001","5e-04","0.005","5e-04","-15","0.2","0.2","110345","NaN","-3.04108610207099","-22.8705937737651","-2.04158713192133","0.688131194139202","-2.73487367119008","-5.05007363894804","0.00115520071623194","0.0142796015650622","0.0714433297316256","-0.0124398340178765","-5.22210435119351","0.523985194331651","0.280218520402447","0","3126.19704270466","-1522.47368227764"
"8","-1.5","-5e-05","-2e-04","-2","-0.5","-1","0.005","0.005","5e-04","0.005","-5","0.2","0.2","1263569","NaN","-1.43696309791894","-0.00066332032039341","-2.05570245080975","0.0162281143613603","-0.515706500036095","-1.0162375456812","0.000617441952510278","0.00395147766081675","0.00486997890775401","0.000288419616556711","-5.00681491117819","0.56140416875843","0.33376594685806","0","3483.46816129938","-1701.109241575"
"9","-3","-2e-04","1e-04","-1","-2","-3","5e-04","0.001","0.001","5e-04","-10","0.2","0.2","523736","NaN","-3.04953505287387","3.27870878587072","-1.11808195657241","0.768733885838617","-3.85232019515549","-4.71559312605652","0.00252112809060173","0.0384798385343422","0.0494768579717487","-0.00910017426078813","-9.42002908070323","0.525586765668635","0.280244348181647","0","3126.81833601452","-1522.78432893257"
"10","-1","1e-04","-2e-04","-2","-2","-1","5e-04","0.001","0.001","5e-04","-15","0.2","0.2","69825","NaN","-19.6593274174106","-3.23825565475107","-9.53529139454332","12.6489337967322","-3.51126378051558","-4.82580436382226","0.00192050262946445","0.0285450312893113","0.0547429912656301","-0.0102947480194793","-4.23452218357426","0.525652003134207","0.28014316166116","0","3128.7608941825","-1523.75560801656"
