"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-3","-1","-7.5","-0.5","-0.5","5e-04","0.005","0.001","0.005","-10","0.2","0.2","169821","NaN","9.47557970693398","5.70980868379476","-25.1999465745335","-6.32050774425069","-6.12808660462982","0.00114874172221621","0.453254175475192","0.177330120885839","-0.0393256124807708","-0.991745272957908","0.527541416343013","0.280255818376503","0","3126.93338051114","-1525.96683880201"
"2","-3","-4","-7.5","-0.5","-1","0.005","0.001","0.005","0.001","-10","0.2","0.2","148056","NaN","-1.79860157576813","-3.64576890247887","-12.2734405053789","-1.15353713305966","-3.92230184324599","0.000607993023323804","0.00207385014358583","0.0266227801162395","-0.000411387140621391","-8.73005059059502","0.436242628255667","0.291697512777163","0","2954.41722333072","-1439.7087602118"
"3","-2.5","-5","-5","-2","-3","0.001","0.005","5e-04","5e-04","-15","0.2","0.2","7977","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","-1.5","-1","-7.5","-2","-1","0.005","5e-04","0.001","0.001","-5","0.2","0.2","225449","NaN","-39.0612391440749","10.68369758762","-6.42271672885636","-5.2944613074215","-6.00170471728867","0.0092160835561439","0.154943418477614","0.170227170735577","-0.0346520671438578","9.00181713068557","0.525834545025974","0.279966098741702","0","3122.84238465372","-1523.9213408733"
"5","-2.5","-2","-10","-0.5","-3","0.005","5e-04","0.005","0.005","-15","0.2","0.2","83517","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","-2.5","-4","-6.25","-0.5","-1","0.001","0.001","5e-04","0.001","-10","0.2","0.2","126707","NaN","-1.73604641013171","-4.57708818497422","-9.36205215909786","-0.813156133980031","-4.1414305284486","0.000511440191355011","0.00166401768317926","0.0263546984251606","-0.00527298504680794","-8.9448461620431","0.423747666064388","0.280715936433466","0","2900.75811200424","-1412.87920454856"
"7","-2","-5","-10","-0.5","-0.5","0.001","0.005","5e-04","0.001","-10","0.2","0.2","130378","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","-2","-2","-5","-1","-1","5e-04","0.005","0.005","0.001","-5","0.2","0.2","240243","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"9","-2.5","-2","-10","-2","-1","0.005","0.005","5e-04","0.005","-5","0.2","0.2","252392","NaN","-3.5861611828892","-0.417077309587447","-11.6592937540075","-2.06266393040016","-2.76289213591905","0.000854003998810458","0.00819060827634711","0.00980722373777717","-0.000917371736513724","-3.77029759592492","0.512050571383973","0.283743564285247","0","3112.13395651348","-1518.56712680318"
"10","-1.5","-5","-6.25","-0.5","-3","0.005","0.001","0.005","0.001","-15","0.2","0.2","56579","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
