"","a_log","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-1.5","-2e-04","-2","-1","-1","0.005","5e-04","5e-04","5e-04","-10","0.2","0.2","93964","NaN","-271.505426535054","-74.9353043581898","455.099698520208","-416.114370433322","-7.77713832540122","-0.214209598339103","-0.0617461572152513","0.994555365780497","-0.193631820237934","-39.8117270803227","0.552707132020665","0.279992686838685","0","3173.70049956712","-1549.35039833"
"2","-2.5","-5e-05","-5","-1","-0.5","0.005","0.001","0.001","0.005","-10","0.2","0.2","168517","NaN","-2.23671430823643","-4.8548995928784","4.36593649286657e-07","-1.04785610927552","-0.751172943133664","0.000531595985714105","0.00292752761749215","0.00354154503914892","0.000432963332887732","-9.69368361360099","0.430376805450462","0.794289644208823","0","3632.97797450188","-1778.98913579738"
"3","-1","-5e-04","-5","-1","-1","5e-04","0.005","0.001","0.001","-5","0.2","0.2","230005","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4","-2.5","-0.00035","-5","-0.5","-0.5","0.001","0.001","5e-04","5e-04","-15","0.2","0.2","5507","NaN","-2.37165700528899","-4.46673230981695","-2.71886808377097e-05","-0.505217940210732","-0.0633257197519893","0.000514927697146972","0.00394892985899536","0.00531239359490732","0.000389006312059633","-15.284691848064","0.57462416830551","0.655191949059427","0","3810.12718272419","-1867.56373990854"
"5","-1","-0.00035","-1","-1","-1","0.005","0.005","5e-04","5e-04","-15","0.2","0.2","9610","NaN","15.0213060592298","-3.51486451666418","0.674221951487139","-3.32699062625409","-5.30505830170051","0.0016599858589334","0.0240308044337895","0.0892955641504545","-0.0165318217706453","-42.3725254433813","0.523909729237528","0.28017283006935","0","3118.75544542761","-1521.87787126025"
"6","-2","1e-04","-5","-0.5","-0.5","5e-04","5e-04","0.005","0.005","-10","0.2","0.2","173148","NaN","-2.00014076681135","-5.03076534777357","2.57636646588972e-06","-0.0603066057147426","-1.11910019149786","0.000559928541539819","0.00265571936450726","0.00490019581898485","0.000293375158018337","-9.88072298242413","0.665060180218764","0.362828591765124","0","3404.98872422999","-1664.99451066144"
"7","-1","1e-04","-5","-0.5","-0.5","0.001","0.001","5e-04","5e-04","-5","0.2","0.2","187775","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","-1","1e-04","-4","-2","-0.5","0.001","0.005","0.001","5e-04","-10","0.2","0.2","109925","NaN","2.02724962359116","-3.49490155866851","1.26063881446285","-3.30049662102063","-4.5165147310654","0.00171671838260456","0.0234118638691589","0.0412880362976105","-0.00738982859751146","-9.80310164995207","0.524056202118298","0.280385500336564","0","3120.18788455511","-1522.594090824"
"9","-2","-0.00035","-5","-2","-3","0.005","5e-04","0.001","5e-04","-10","0.2","0.2","103508","NaN","0.756156625233244","-0.671321026414032","2.64471683263637","-3.10516501842716","-4.72036911111601","0.00146843235812577","0.0200292322748978","0.0487273218114182","-0.00936221287848424","-9.86572769264931","0.527255867936442","0.280739428108317","0","3121.69207934587","-1523.34618821938"
"10","-1","1e-04","-3","-1","-0.5","0.005","0.005","0.001","5e-04","-10","0.2","0.2","111200","NaN","-4.82157813561512","-7.13510182701388","-0.00027937691007423","-3.05458401214764","-5.61604126778398","0.0010475651307456","0.0166399590686348","0.119284127928822","-0.0204392045530739","-9.28180708871302","0.527353405596234","0.279335793388015","0","3102.9756458556","-1513.98797147425"
"11","-2","-0.00035","-5","-1","-3","0.005","0.005","0.005","0.005","-10","0.2","0.2","181258","NaN","-2.05630592383149","-4.44301827083482","-1.93180423973184e-05","-1.14057962908118","-2.83348268036369","0.000499759791770081","0.00188959451927358","0.00961658231473277","-0.000960767143330526","-9.99467792868413","0.431760070311373","0.2820647216528","0","2927.20701684086","-1426.10365696687"
"12","-1.5","-5e-05","-3","-2","-0.5","5e-04","5e-04","0.001","0.005","-10","0.2","0.2","162819","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"13","-3","-5e-04","-5","-0.5","-0.5","5e-04","0.005","5e-04","0.005","-15","0.2","0.2","68501","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"14","-1","1e-04","-2","-1","-3","0.005","0.001","0.005","0.001","-10","0.2","0.2","147600","NaN","-6.40559220974604","4.28647837376957","-0.154394635594328","-4.00027071719913","-5.57755928329107","0.00240008158735754","0.0449623193519828","0.116427462994127","-0.0217198104446449","-8.40833021399639","0.525827792199514","0.27863551399622","0","3119.4357850035","-1522.21804104819"
"15","-2","-0.00035","-1","-2","-0.5","5e-04","5e-04","0.001","0.001","-15","0.2","0.2","41358","NaN","-1.99621856460056","-0.99073987277004","-0.000785987432730361","-1.99546046548836","-0.499568664887654","0.00149311369209581","0.002193178966491","0.00456207113892966","0.000390130375591943","-15.0016009544075","0.57272186953506","0.946084985760814","0","3936.27800516466","-1930.63915112878"
"16","-1","-2e-04","-5","-1","-0.5","0.001","0.001","5e-04","0.005","-5","0.2","0.2","248390","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17","-1.5","-5e-05","-1","-1","-1","0.001","0.001","0.001","0.001","-5","0.2","0.2","227869","NaN","-1.61661982689008","-0.859187573453024","-0.000861322330328102","-1.01147786329306","-1.06797077198437","0.000988791602787755","0.00147544741543262","0.00306399554465413","0.000294309869409364","-4.96799606141189","0.577110377468633","0.345661933581533","0","3391.91090409305","-1658.45560059297"
"18","-2.5","-0.00035","-2","-1","-3","0.001","0.001","5e-04","0.005","-5","0.2","0.2","247707","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19","-3","-0.00035","-2","-0.5","-0.5","0.005","0.001","0.005","0.005","-5","0.2","0.2","269956","NaN","-2.99048109097253","-1.96828587468099","-0.000345119899025548","-0.53021429065637","-0.6280699787417","0.000805474385020223","0.00362666418718179","0.00506389723805822","0.000316322448408951","-4.94522433560481","0.541187580227869","0.37382565050333","0","3587.32926611923","-1756.16478160606"
"20","-1.5","-0.00035","-5","-0.5","-0.5","0.001","0.005","5e-04","5e-04","-15","0.2","0.2","8884","NaN","-1.50372892787827","-5.00115177870592","0.000212047206581826","-0.500601973073631","-2.06063849440508","0.000507622152226368","0.00343128983857715","0.00526849788268832","-9.70497029475025e-05","-13.2515811187673","0.486679455452567","0.299252026343893","0","3041.60396124706","-1483.30212916997"
