"","a_log","h_log","h12","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-1","-4","1e-04","-6.25","-0.5","-1","5e-04","0.001","0.005","5e-04","-10","0.2","0.2","577360","NaN","0.687703107501853","-8.50221510341938","9.66129707719216","-14.7507962882591","-4.60281428959645","-5.484922517801","0.00494250230058563","0.0791470802060119","0.10253737488891","-0.0205762761436152","-3.76543227204969","0.525645884752383","0.279948453344942","0","3128.6856599519","-1523.71799090126"
"2","-2","-3","-5e-04","-6.25","-1","-1","5e-04","0.005","0.005","0.001","-15","0.2","0.2","289763","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","-2","-2","-2e-04","-7.5","-2","-3","0.001","5e-04","0.005","0.001","-5","0.2","0.2","1170318","NaN","-1.65004782381963","-1.44873298527723","5.71326923786524","-10.8781923828851","-3.4611667013707","-5.17288316372512","0.00186550365252725","0.0272292153800361","0.0760056506860016","-0.0149875669950775","-2.87074253487832","0.525305294635808","0.280106177303338","0","3128.45597381475","-1523.60314783269"
"4","-3","-4","-5e-04","-8.75","-0.5","-0.5","0.005","5e-04","0.001","0.001","-15","0.2","0.2","218881","NaN","15.43965373348","-7.5661714909551","0.727781632901817","-20.152211699079","-4.35495878701513","-6.20973075761244","0.00383942992002672","0.0620345572380759","0.204204526030782","-0.0437218430250683","-14.7179109136805","0.524246860438725","0.27986084590756","0","3125.45899511253","-1522.10465848158"
"5","-3","-3","-5e-04","-10","-2","-0.5","0.005","0.005","0.005","5e-04","-5","0.2","0.2","1061261","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","-1","-5","1e-04","-7.5","-0.5","-0.5","0.001","0.001","5e-04","0.005","-5","0.2","0.2","1242855","NaN","-1.56876473182449","-4.73387426966762","0.000202603030295547","-9.83523612844336","-0.36912632978297","-0.424384897694226","0.000527544760142357","0.00317373745459174","0.00505136115471563","0.000330059402672096","-5.01651711385511","0.458658294322951","0.47448499085457","0","3566.24268371133","-1742.49650278098"
"7","-1.5","-4","1e-04","-7.5","-2","-3","0.005","5e-04","0.005","0.005","-5","0.2","0.2","1327859","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","-1.5","-1","1e-04","-6.25","-1","-1","0.005","5e-04","0.001","0.001","-15","0.2","0.2","216749","NaN","3.24442158152066","3.34560917117749","3.51812428142295","-7.09586726382101","-2.83808161781096","-3.72509031797982","0.00129868492964016","0.0152085173837305","0.0176649557219019","-0.00302258982838279","-22.7007772936842","0.525137927795887","0.281616986068521","0","3132.62538031937","-1525.687851085"
"9","-2","-2","-5e-05","-5","-2","-0.5","5e-04","0.001","0.005","5e-04","-5","0.2","0.2","1033718","NaN","-1.51741226777193","-1.53325882394945","-0.000447597514773172","-9.77396162670418","-1.12166680014011","-1.40440930793539","0.000638158693394644","0.00216890152163453","0.00688844739421446","-0.000149020341478478","-5.29131299604028","0.54424331419172","0.349177517431899","0","3241.20531809812","-1579.97781997437"
"10","-3","-2","1e-04","-7.5","-0.5","-1","0.001","5e-04","5e-04","0.001","-15","0.2","0.2","160991","NaN","2.71343491671434","-1.9252223028367","2.21814789014878","-16.0965886117499","-3.42695114383293","-5.10939888425553","0.00183905768154115","0.0264040415049994","0.0708699882849294","-0.0140908403399506","-14.193023259447","0.524812200185827","0.280199290431982","0","3127.13590532964","-1522.94311359013"
