"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-3","-5","-6.25","-1","-1","0.001","0.005","0.005","0.001","-15","0.2","0.2","59076","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","-2.5","-3","-10","-0.5","-1","0.001","0.005","0.001","0.001","-10","0.2","0.2","140137","NaN","-1.43521311969012","-4.29585760223608","-5.942163071805","-0.666091077103275","-3.36004187917834","0.000502932658945048","0.00241656894885587","0.0152925551729666","-0.0015987794778315","-8.74530631139692","0.41759368039716","0.28068442605871","0","2894.53519624024","-1409.76774666656"
"3","-2","-2","-7.5","-0.5","-1","0.001","0.005","0.001","0.001","-15","0.2","0.2","49068","NaN","-1.46186493775121","-3.87549521975185","-5.53558188038804","-0.830188764058477","-2.93395343719807","0.000538500558742658","0.00284021044422968","0.0104178826945191","-0.00110692420142202","-16.7169899471453","0.418379142292957","0.285273109512824","0","2907.5329303194","-1416.26661370614"
"4","-3","-3","-5","-0.5","-0.5","5e-04","0.005","0.005","0.005","-5","0.2","0.2","271111","NaN","-5.15720052673948","7.91161770173707","-12.2043217973483","-2.76532938997739","-3.69748275840457","0.00112319877106813","0.0147857559266865","0.0190450553254455","-0.00269096875738592","-8.86460846103769","0.527391747260327","0.281728013065627","0","3126.45346534083","-1525.72688121686"
"5","-2.5","-2","-5","-0.5","-1","5e-04","0.001","0.005","5e-04","-15","0.2","0.2","24367","NaN","-47.334725390136","263.480428349894","-24.4414678176488","-139.900225658648","-6.97082529362841","0.172376610301939","-0.191989106273234","0.448445467939907","-0.0858877969557371","-59.9899029964479","0.552724389097514","0.279956136894817","0","3173.72798332008","-1549.36414020648"
"6","-1","-3","-6.25","-0.5","-3","0.005","0.001","0.005","0.001","-10","0.2","0.2","147715","NaN","-1.728931964667","-4.5836224473886","-9.44368555741026","-0.794138453335633","-3.81097164085417","0.000500258314268124","0.0016837746033896","0.0209057062729741","-0.00362599314630592","-7.88663047859914","0.423936830301823","0.27969422735856","0","2901.95416510963","-1413.47723110126"
"7","-1","-5","-5","-0.5","-1","0.005","0.005","5e-04","0.005","-15","0.2","0.2","70480","NaN","-1.69653584502546","-6.97082156105322","-5.97775300435569","-0.673584580708325","-4.15654258319796","0.000240877902990026","0.00253215239073827","0.0277664892617264","-0.00523646595517677","-12.451475737659","0.442147022878441","0.281881636275053","0","2944.2952150539","-1434.6477560734"
"8","-2.5","-4","-10","-1","-1","0.001","0.001","0.001","0.001","-5","0.2","0.2","227757","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"9","-1.5","-3","-6.25","-2","-0.5","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","233714","NaN","-1.71408029761487","-2.50552663849561","-8.55018437661289","-1.1175695111018","-3.07795856016256","0.000702791522126275","0.00291405071639506","0.0116747934365102","-0.00154535822828205","-4.46779381739367","0.458831552874533","0.281703036059199","0","3009.450536857","-1467.22541697495"
"10","-2","-1","-7.5","-1","-0.5","5e-04","0.005","5e-04","0.005","-10","0.2","0.2","159573","NaN","-2.30750522171686","0.546825076140039","-8.54101751767175","-1.98439637182736","-3.30378096194723","0.0008735163853885","0.00741955796389991","0.0143914550171833","-0.00190609279452878","-10.4902847890143","0.528081107659839","0.281152204069055","0","3124.96189312504","-1524.98109510896"
"11","-1","-4","-7.5","-0.5","-0.5","5e-04","0.001","0.001","5e-04","-15","0.2","0.2","14560","NaN","-2.31805736672718","-3.36557761784583","-6.65386171099022","-5.84984110865968","-5.40197107420193","-0.0203835646667422","0.00497362382487617","0.0921805001318929","-0.0136913528729361","-6.85062007291134","0.487381166444807","0.279233650076697","0","3056.37166412534","-1490.68598060911"
"12","-2.5","-1","-10","-1","-1","0.001","5e-04","0.005","0.005","-15","0.2","0.2","82647","NaN","-2.19059418525451","-3.38885131269091","-6.99691725499251","-4.15144802547758","-3.12503509968361","0.00306211949468251","0.0125823410242982","0.0123718540587142","-0.00152027947300296","-12.3316771436539","0.47349345324571","0.28124964368615","0","3018.84838719628","-1471.92434214458"
"13","-1.5","-5","-6.25","-1","-3","0.005","0.005","0.005","0.005","-5","0.2","0.2","272454","NaN","-1.68016688457922","-3.80320529826539","-9.70666897807554","-0.826147822489389","-2.84151760436343","0.000598706912984626","0.001898032923001","0.010647872310331","-0.0010935100252442","-5.58401355500501","0.429743974131658","0.283429121373139","0","2938.32465110997","-1431.66247410143"
"14","-2.5","-4","-8.75","-1","-0.5","5e-04","0.005","0.001","0.005","-15","0.2","0.2","78532","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"15","-1.5","-2","-5","-2","-3","0.001","5e-04","0.001","5e-04","-5","0.2","0.2","193619","NaN","-1.75893145678713","-4.54508071688264","-9.84549024433229","-0.818132477885721","-3.17602332931028","0.000509709551982158","0.00170213571955038","0.0138606182469729","-0.0014772379477321","-10.3683239265838","0.425021826316664","0.283417084291692","0","2906.45454844225","-1415.72742276757"
"16","-1.5","-2","-8.75","-0.5","-3","0.005","0.005","5e-04","0.005","-5","0.2","0.2","252294","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"17","-2","-2","-6.25","-0.5","-1","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","33343","NaN","-1.40559606345309","-4.29085690521818","-5.58850579097106","-0.665584485504039","-2.615486809467","0.000491173350483695","0.00276358619608084","0.00966851424647752","1.7548614935081e-05","-15.865939614647","0.416886016203081","0.286226018320175","0","2925.20991213833","-1425.10510461561"
"18","-2","-2","-7.5","-2","-1","0.001","0.001","5e-04","5e-04","-15","0.2","0.2","4943","NaN","-2.85211049503037","-1.32348461052784","-8.53402802838405","-2.36094260392351","-2.74588198538322","0.00107513669696208","0.0073140077083403","0.00912385954819594","-0.00075658517096705","-14.0055449899799","0.494241190993562","0.283321708218475","0","3073.74945392778","-1499.37487551033"
"19","-2.5","-1","-5","-0.5","-3","5e-04","0.001","0.001","0.001","-15","0.2","0.2","44247","NaN","-2.33311253384629","-3.51630960010114","-9.77104152276018","-5.03753096557468","-4.5418316312546","0.00388304579363749","0.0327542665748564","0.043078095963335","-0.00739490919608293","-7.44227539658787","0.474710518882493","0.280151689335278","0","3016.6143049434","-1470.80730101814"
