"","a_log","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-3","-2.77777777777778","-0.5","-0.5","0.001","5e-04","0.001","0.001","-15","0.2","0.2","34151","NaN","-4.35864754511087","-1.24247200496293","-3.91834918754784","-3.24210018236064","0.00382956107681587","0.0358625903632791","0.0141807839830404","-0.00170498586409171","-12.1511363102069","0.515605974352116","0.282292856624168","0","3100.37208479268","-1515.81117856391"
"2","-2.77777777777778","-2.77777777777778","-2","-1","0.001","0.001","0.005","0.001","-5","0.2","0.2","190252","NaN","-1.77578855686902","-2.80857658138162","-1.39358115736299","-2.44616024285938","0.000746084716708618","0.00213083386642916","0.00720674928049415","-0.000432968830679544","-5.07656813431454","0.45199621439456","0.29129676563162","0","2992.77973297015","-1462.01500265265"
"3","-1.22222222222222","-3.22222222222222","-1","-0.5","0.005","0.001","5e-04","0.001","-10","0.2","0.2","102449","NaN","-1.51518211793232","-5.44901361661273","-0.357707567436106","-1.22455821211841","0.000415297317931774","0.00166847300155084","0.00498160058703432","0.000142004263250128","-7.77701990224785","0.43495946725272","0.336528560863801","0","3132.90089056294","-1532.07558144904"
"4","-1.44444444444444","-1.88888888888889","-1","-1","5e-04","0.005","0.001","0.001","-10","0.2","0.2","111178","NaN","-24.8848032636045","8.48793248345315","-4.09146182043882","-6.03478341645795","0.00306441354106192","0.0488839669821954","0.17757854814293","-0.0357085225121785","10.4276987789415","0.525836504957903","0.280024223263545","0","3116.28282219488","-1523.76654726501"
"5","-1.88888888888889","-3.66666666666667","-2","-0.5","0.005","0.005","0.001","0.005","-5","0.2","0.2","210336","NaN","-2.08637928362305","-1.77881294435648","-1.72478418252716","-1.98953844776346","0.000697784710172742","0.00469355641926568","0.00631243827968161","-0.000149645018914134","-5.50079342177995","0.499402936480613","0.290604898425594","0","3073.38728565044","-1502.31877899279"
"6","-3","-2.77777777777778","-1","-1","0.005","0.005","0.001","5e-04","-5","0.2","0.2","161551","NaN","-2.36092230589136","-3.8764514016415","-6.0793933495016","-3.68591123425217","0.0110611917401601","0.0392627176097251","0.0189621411252491","-0.00284083812607717","-7.59420643229134","0.474142208203492","0.280787512476401","0","3012.77313493767","-1472.01170363641"
"7","-1.88888888888889","-4.55555555555556","-0.5","-0.5","0.001","5e-04","5e-04","0.005","-15","0.2","0.2","50316","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","-1.66666666666667","-1","-1","-1","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","195797","NaN","-25.772081767586","35.1237005644261","-2.99271284923422","-4.90643985105481","0.00119789852904816","0.017956376386206","0.0574673130493024","-0.0113213796698733","-2.20958662206612","0.526839394591437","0.280033259318733","0","3117.03941637899","-1524.14484435707"
"9","-1.22222222222222","-2.33333333333333","-2","-3","0.001","0.005","0.005","0.005","-15","0.2","0.2","71169","NaN","-1.51336643056193","-3.70405170210076","-0.859007850968699","-2.28978314975031","0.000637339734341587","0.00143918419401332","0.00733123025157562","-0.000402853436580889","-14.2853765008736","0.427882589004857","0.285597072205933","0","2955.84949537803","-1443.54988385659"
"10","-2.33333333333333","-1","-0.5","-1","0.005","0.001","0.001","5e-04","-15","0.2","0.2","13194","NaN","-5.12334222703604","7.1471144157108","-3.37495865588139","-4.88176873087592","0.00175057627893232","0.025118655945452","0.0575132364713753","-0.0109408611255094","-0.674844236565996","0.525862981914815","0.280197673641167","0","3116.68079686519","-1523.96553460017"
"11","-2.11111111111111","-4.55555555555556","-0.5","-0.5","5e-04","0.001","5e-04","0.005","-10","0.2","0.2","125015","NaN","-5.33189103659334","-4.44616372615008","-0.931078794280087","-1.88637665763966","0.000609691046802455","0.00487676030027166","0.00611504182991996","-6.98074041831669e-05","-8.88312910729198","0.448019278860274","0.282267438849882","0","3309.56467943447","-1620.40747588481"
"12","-2.77777777777778","-4.11111111111111","-1","-3","0.005","5e-04","0.005","0.001","-15","0.2","0.2","42422","NaN","-1.78972353247429","-4.9044930202178","-0.801681631881312","-4.9284480406373","0.000451070011399668","0.00167275996090586","0.0627841094338858","-0.00662672439417614","-14.6694047481574","0.425322323241027","0.28481171305772","0","2904.68812561862","-1417.96919897688"
"13","-2.77777777777778","-5","-0.5","-0.5","0.005","5e-04","0.005","0.005","-15","0.2","0.2","67402","NaN","-1.96630031982794","-3.13995168395736","-1.8318234094997","-2.32677753348105","0.000795219784059811","0.00238826568298524","0.00738947029495745","-0.00044154346329697","-14.2093043324432","0.455840696109845","0.287560567468346","0","2985.33820784522","-1458.29424009018"
"14","-2.33333333333333","-3.66666666666667","-1","-1","0.005","0.005","5e-04","0.001","-15","0.2","0.2","31934","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"15","-2.77777777777778","-1","-0.5","-3","0.001","0.005","5e-04","5e-04","-10","0.2","0.2","79492","NaN","-2.86418134375827","-1.78381430595298","-1.87677889922801","-3.98973067975607","0.000879618469427169","0.00591102129231752","0.0287124574028109","-0.0030621279308825","-5.31480508095698","0.485317502400886","0.282500698041479","0","3048.85497968364","-1490.05262600939"
"16","-1","-3.66666666666667","-0.5","-1","0.001","0.005","5e-04","0.001","-10","0.2","0.2","104040","NaN","-1.80153227554836","-3.91610826543587","-1.08816176517315","-2.80713757150793","0.000604614789501497","0.00172936391460153","0.00783496175456663","-0.00107452032993828","-9.60463938702593","0.422247654285358","0.28629565504423","0","2922.91097131757","-1427.08062182636"
"17","-2.77777777777778","-3.22222222222222","-0.5","-1","0.001","0.005","5e-04","0.001","-10","0.2","0.2","104042","NaN","-1.75850687930215","-4.57617281551255","-0.8369630663189","-5.69348839896639","0.000522419180838261","0.00153713948686649","0.0224694932510735","0.00272238352141348","-9.70762977288245","0.424413786285426","0.2967625195977","0","2954.82524995572","-1443.03776114543"
