"","a_log","a12","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-2","-2e-04","-0.00035","-3","-2.375","-0.5","-3","0.001","0.005","5e-04","0.001","-15","0.2","0.2","963413","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","-2.5","-5e-05","-5e-04","-2","-2.375","-2","-1","0.001","5e-04","0.001","0.001","-10","0.2","0.2","3329142","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","-3","-5e-05","1e-04","-1","-2.375","-2","-1","0.005","0.005","0.001","0.001","-10","0.2","0.2","3526241","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","-2.5","-5e-04","-0.00035","-3","-2.375","-1","-1","0.001","0.005","5e-04","5e-04","-10","0.2","0.2","2488402","NaN","-2.28357861674843","-0.000187648796123147","-3.00030615775801","-0.000554042826966394","-2.32559337119144","-1.00393565213164","-1.04741281139816","0.00120815480044202","0.000497052820790311","0.00531274955908087","0.000527006546848059","-9.99356853680571","0.703313076413232","0.443017693862418","0","3506.53168498969","-1709.51601579903"
"5","-3","-0.00035","-5e-04","-1","-2.375","-0.5","-0.5","5e-04","5e-04","5e-04","0.001","-10","0.2","0.2","3063631","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","-1.5","-5e-04","-5e-04","-5","-0.5","-2","-1","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","6115004","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","-1","-2e-04","-2e-04","-3","-1.125","-2","-0.5","0.001","0.001","0.001","0.001","-15","0.2","0.2","1145940","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","-2.5","-0.00035","-0.00035","-5","-2.375","-0.5","-1","0.005","0.001","5e-04","0.001","-5","0.2","0.2","5472532","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"9","-3","-2e-04","1e-04","-1","-2.375","-0.5","-3","0.001","0.001","0.005","0.005","-5","0.2","0.2","6701236","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","-1.5","-5e-05","-5e-05","-2","-1.125","-0.5","-1","0.005","5e-04","5e-04","0.001","-5","0.2","0.2","5389844","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
