"","a_log","a12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-3","-5e-04","-5","-0.5","-2","-1","5e-04","0.001","5e-04","0.001","-15","0.2","0.2","171126","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","-2.5","1e-04","-1","-1.125","-0.5","-0.5","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","1226122","NaN","-3.04841794166773","0.000409550175954308","-3.64533698749337","-0.145883367998158","-0.596586707252252","-1.88304791770614","0.000590374270222234","0.0026942806630657","0.00783240168084649","-0.000161238886698124","-4.4303499425313","0.469590268984924","0.438032378101257","0","3387.51444386754","-1653.13238285909"
"3","-3","-5e-05","-5","-1.125","-0.5","-1","5e-04","5e-04","5e-04","5e-04","-10","0.2","0.2","459141","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","-1","-5e-04","-3","-2.375","-2","-1","0.005","0.001","0.001","0.001","-5","0.2","0.2","1143930","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"5","-2","1e-04","-5","-0.5","-0.5","-0.5","0.005","0.005","0.001","0.001","-10","0.2","0.2","708648","NaN","0.551862961859953","-0.000916579517577716","-2.09990799236215","4.88157028212277","-9.824372079273","-4.25040124908832","-0.0206986156929963","-0.0122280387450632","0.0321514696986486","-0.0052250102551224","-10.21448085228","0.46686998214132","0.280036960421387","0","3006.36206626408","-1462.55619405735"
"6","-1","-5e-04","-4","-1.125","-2","-3","0.005","5e-04","0.005","0.001","-5","0.2","0.2","1176030","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"7","-1","-2e-04","-5","-1.75","-0.5","-1","5e-04","0.001","5e-04","0.001","-5","0.2","0.2","1083390","NaN","-1.3804636703318","-0.000279644592055635","-4.00668269006552","-0.752569460397689","-0.696793850930474","-3.56031038219141","0.000527171326484822","0.00230434540817369","0.0148243812941122","-0.00186683486197058","-7.16980063919091","0.400106669302629","0.284445788944488","0","2862.46130342122","-1390.60581263593"
"8","-2","-5e-04","-1","-3","-0.5","-1","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","166353","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","-2","-5e-05","-3","-1.75","-1","-1","5e-04","0.001","5e-04","0.005","-15","0.2","0.2","323443","NaN","-0.860270226423285","-0.000903154138407175","-2.36549402470892","-1.78045544603072","-1.18331360823558","-1.18731819151149","0.000900168505380386","0.00398576144123695","0.00514429876979775","0.000194499535061631","-15.260655959166","0.646438865096892","0.354933869559149","0","3292.93357727933","-1605.84194956498"
"10","-2","-5e-05","-1","-3","-2","-3","0.001","5e-04","0.001","0.001","-5","0.2","0.2","1119493","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
