"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-1","-2","-6.25","-1.75","-0.5","-0.5","5e-04","0.005","5e-04","0.005","-15","0.2","0.2","342845","NaN","-1.19331602457767","-1.98120714927753","-10.1836944595438","-0.543558149959315","-0.536435614999048","-0.385904476259661","0.000691308793935355","0.00340179897255317","0.00476224409982717","0.00038234420478591","-14.5732273715754","0.495099961388671","0.479959082970169","0","3598.4766639996","-1758.61349292511"
"2","-2","-5","-7.5","-3","-0.5","-3","5e-04","0.001","0.001","0.005","-5","0.2","0.2","1283803","NaN","-1.4075516149668","-4.24564382230073","-6.16472839331204","-1.10877470209499","-0.692796624183168","-4.87948298493223","0.000518996165752114","0.00239929327023661","0.0497452925155835","-0.0116941201356796","-12.1032615288668","0.4085822524281","0.279283138649225","0","2869.90472724081","-1394.32752454572"
"3","-1.5","-2","-5","-3","-2","-0.5","0.005","0.005","0.005","0.005","-15","0.2","0.2","453869","NaN","-2.22170525750299","-4.79171647491078","-8.9764204463773","-0.333010640243628","-1.62467467709392","-2.71489597680987","0.000431320473719327","0.00255610140110556","0.00994760863519727","-0.000849182019564667","-13.6673744318974","0.441704766255354","0.283377865306929","0","2952.11894271677","-1435.4346322837"
"4","-1","-2","-7.5","-0.5","-0.5","-1","0.001","0.005","0.005","0.001","-10","0.2","0.2","751820","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"5","-2.5","-4","-5","-2.375","-0.5","-3","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","1165857","NaN","-1.65271191124594","-3.77448091731558","-8.55789541037901","-3.34094606209302","-0.873423732465132","-3.08548752320395","0.000605954534586118","0.00193800063174674","0.0120569812309235","-0.00134592663470565","-6.11057703297895","0.431908403882584","0.283321262983464","0","2924.44163027883","-1421.59597606473"
"6","-1","-4","-8.75","-1.125","-0.5","-3","0.005","0.001","0.005","0.001","-5","0.2","0.2","1194160","NaN","-1.20860350138657","-3.22895425901904","-10.9636277254301","1.30705475164654","-0.816583235272161","-3.12427481171763","0.000629998634542426","0.00200298217896437","0.0123594420535634","-0.00162727739974174","-5.77388079235628","0.406648570921653","0.279870005586923","0","2887.11852493019","-1402.93442339041"
"7","-3","-3","-6.25","-2.375","-0.5","-1","5e-04","5e-04","5e-04","0.005","-15","0.2","0.2","307086","NaN","-2.71174013553258","-2.85652436834999","-10.6218961065201","1.95864778784724","-1.6240935088192","-2.36571693262472","0.00065638846877466","0.00453385263865244","0.00741234458921216","-0.000403817535098566","-15.3895986275734","0.471105948056546","0.287702567317815","0","3054.42810759958","-1486.5892147251"
"8","-2.5","-3","-7.5","-1.75","-0.5","-1","5e-04","0.001","5e-04","5e-04","-10","0.2","0.2","475937","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"9","-3","-2","-7.5","-2.375","-0.5","-0.5","5e-04","0.001","5e-04","0.001","-5","0.2","0.2","1085191","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"10","-2","-3","-5","-2.375","-2","-0.5","0.001","0.001","0.001","0.001","-10","0.2","0.2","684613","NaN","-1.25771996423266","-4.21433087329136","-5.30885968042788","-0.266186664844104","-0.839572427673614","-3.00005046901718","0.000500937948431706","0.00304320323797797","0.0130096863997594","-0.00127031590407116","-13.1301107603086","0.414840028881345","0.285607160475109","0","2886.15070977574","-1402.45051581318"
