"","a_log","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-3","-0.00035","-3","-3","-0.5","-1","5e-04","0.005","0.001","0.005","-5","0.2","0.2","1302556","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","-3","-5e-05","-3","-0.5","-2","-3","5e-04","0.001","0.001","5e-04","-5","0.2","0.2","979316","NaN","-1.97030634542048","-2.87901879524418","-9.6466014858807e-05","0.767183310547367","-2.73436445491322","-3.54219945513701","0.000833184100157146","0.0057911403716155","0.0196661839778827","-0.00306139100498515","-6.80589081055551","0.448568193277924","0.280266591543381","0","2966.20991716641","-1442.48011950852"
"3","-1.5","-2e-04","-2","-3","-1","-1","0.001","5e-04","0.005","5e-04","-5","0.2","0.2","1020714","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","-1.5","-5e-05","-1","-2.375","-2","-1","0.005","0.001","0.005","0.005","-5","0.2","0.2","1346494","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"5","-2.5","-0.00035","-5","-1.75","-0.5","-0.5","0.005","0.005","5e-04","0.005","-5","0.2","0.2","1265257","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","-3","-5e-04","-4","-3","-2","-0.5","0.001","5e-04","0.005","0.005","-10","0.2","0.2","870026","NaN","-2.98633962790726","-3.99922922654702","-8.2589240849396e-05","-2.64785074391345","-1.99673807810208","-0.470110895441808","0.000620102136709688","0.00403938577549436","0.00483965532444727","0.00029385197984838","-9.96108756680621","0.607717430653363","0.503337388187058","0","3593.34730647175","-1756.04881416119"
"7","-2","-0.00035","-2","-1.75","-2","-3","0.005","0.005","0.001","5e-04","-15","0.2","0.2","95958","NaN","0.065820314385455","-1.91658767258153","-0.000175872612385507","4.44617984374141","-6.15251946713421","-4.51308180294088","0.0391047417523243","-0.0169972253676097","0.0431390993902404","-0.006319403495809","-16.5890965696991","0.463331060309733","0.280412056218226","0","2992.52641496029","-1455.63836840546"
"8","-1","-0.00035","-3","-0.5","-0.5","-0.5","0.001","5e-04","0.001","0.005","-10","0.2","0.2","821185","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","-2.5","-2e-04","-5","-2.375","-0.5","-1","5e-04","0.001","0.001","5e-04","-5","0.2","0.2","982012","NaN","-2.49196380618558","-4.50482478139645","0.00011220854511043","-2.0444225137581","-0.521456479302441","-1.35726063374177","0.000513000047036696","0.00422585769162508","0.00657669069515646","0.000145405467457006","-5.38688180649815","0.514148956026423","0.332732329103257","0","3260.50371339671","-1589.62701762367"
"10","-1","-2e-04","-1","-0.5","-2","-3","0.001","0.005","0.001","0.005","-5","0.2","0.2","1305615","NaN","-0.0598105743394113","-4.09557948785378","0.422223176455812","1.37536848528236","-2.6695054663078","-3.95395829438192","0.00113401228791612","0.01390779185521","0.0252453272693803","-0.00400608183203083","-3.47745683755223","0.522131014335304","0.280160680684316","0","3127.08934153535","-1522.91983169299"
