"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-2.5","-2","-7.5","-2.375","-2","-0.5","0.001","0.005","0.005","0.005","-15","0.2","0.2","448317","NaN","-2.0071976621065","-0.982197967758698","-11.7743210000599","-0.258595874708373","-2.03144494041126","-2.59435935878478","0.000921197195922898","0.006807165760287","0.00852613273119958","-0.000741057804980372","-13.8554147619163","0.487184897208576","0.28411132877335","0","3067.84933302946","-1493.29982744004"
"2","-2","-3","-5","-1.75","-0.5","-3","0.005","0.001","5e-04","0.005","-5","0.2","0.2","1244738","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","-1.5","-1","-7.5","-3","-0.5","-0.5","0.005","0.001","5e-04","5e-04","-10","0.2","0.2","488824","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","-2","-4","-8.75","-0.5","-0.5","-0.5","0.001","0.001","0.005","0.005","-15","0.2","0.2","433033","NaN","-1.81944422830696","-2.15547162983838","-10.1572174179297","-0.80133441269355","-1.510235489806","-2.5901194223298","0.000770231499226126","0.00376053268843007","0.00898908303319003","-0.000682196162941102","-13.287588670687","0.455375884149585","0.286978034582884","0","2994.3766861961","-1456.56350402336"
"5","-3","-4","-10","-1.75","-2","-1","5e-04","0.001","5e-04","5e-04","-5","0.2","0.2","930256","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","-1.5","-5","-7.5","-2.375","-1","-0.5","0.001","0.005","0.001","5e-04","-15","0.2","0.2","94554","NaN","-1.50907527967246","-4.39737035068231","-8.8559930254882","0.265317905421363","-0.72356931740323","-2.95442203002056","0.000508975959692955","0.00178052173823945","0.0104556528545051","-0.000311895572239782","-15.2017282354123","0.404980595213786","0.283889148038043","0","2880.14413851068","-1399.44723018065"
"7","-2.5","-4","-7.5","-1.125","-1","-3","0.005","0.001","0.005","0.001","-5","0.2","0.2","1193557","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","-2","-1","-8.75","-3","-1","-1","0.001","5e-04","0.005","5e-04","-5","0.2","0.2","1020673","NaN","-1.28053737185286","-3.83674915572012","-5.17589983332045","-3.48481392170949","-0.731266635647708","-3.71576780905121","0.000535279483811951","0.00290325311172449","0.023692233618944","-0.00216829519386055","-7.56163942836195","0.421655849768867","0.281431954891764","0","2911.03584292958","-1414.8930823901"
"9","-1","-4","-5","-0.5","-2","-3","5e-04","0.005","0.001","0.005","-10","0.2","0.2","844360","NaN","-0.38461592496415","-2.8906323290754","-15.3243174909999","3.64876427583016","-1.01100895560472","-5.30823773647571","0.000690119175080001","0.00213932650492304","0.0743924590934604","-0.0197289602651443","-13.7843041999549","0.418462279434196","0.278584080432059","0","2895.47992279632","-1407.11512232347"
"10","-2.5","-2","-8.75","-0.5","-1","-1","0.001","0.005","5e-04","0.001","-5","0.2","0.2","1105542","NaN","0.802359137309449","-2.67713985252422","-16.7547308264721","5.16627812997843","-1.04601779033516","-4.6228037300686","0.000704482978561517","0.00229495924803034","0.0387545392777069","-0.00965745803668653","-7.59801059769856","0.424086031766121","0.2807496237439","0","2907.10952109874","-1412.92992147468"
"11","-3","-3","-6.25","-1.75","-0.5","-0.5","5e-04","0.005","0.005","0.001","-10","0.2","0.2","747836","NaN","-1.6609983449132","-4.30008176249663","-8.24713683254859","-2.91308961986579","-0.798611644709875","-4.65331451226357","0.000548175497839956","0.00172200899789914","0.0225646887209549","-0.00922274148986226","-10.1178142084296","0.416588224915108","0.283505970063311","0","2908.89843234788","-1413.82437709925"
"12","-2.5","-1","-5","-2.375","-0.5","-1","0.005","0.005","0.005","0.001","-10","0.2","0.2","757122","NaN","-11.2019446383481","12.7989258557504","-7.07999772328247","-1.70523665313994","-4.30085186984743","-5.56134625763227","0.00374572859329325","0.0593291376885754","0.110772730571434","-0.022187294583712","-12.4596860510969","0.525995143002217","0.279968762931783","0","3128.9269800904","-1523.83865097051"
"13","-2","-4","-6.25","-2.375","-1","-3","0.001","0.001","0.001","0.001","-15","0.2","0.2","225833","NaN","-1.45877903563241","-4.01747548300235","-9.17533430717439","0.560831515765629","-0.812679789659932","-6.1057761958526","0.000571514853770715","0.00160877923537827","0.0392874026661022","-0.0364990080939737","-15.4052386207341","0.404880101317018","0.28730219320761","0","2882.04589536607","-1400.39810860835"
"14","-3","-4","-5","-1.75","-2","-1","0.005","0.001","5e-04","5e-04","-15","0.2","0.2","30356","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
