"","a_log","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-2.55555555555556","-5","-2.375","-1","-1","0.001","0.001","5e-04","0.001","-10","0.2","0.2","506103","NaN","-1.99589889144366","-2.81015181173114","-0.733178055690687","-1.87621072553996","-2.24326957165189","0.000886920218101487","0.00197149224941288","0.0070293544124263","-0.000126962387485226","-6.18676440949461","0.446205699996418","0.291384984218405","0","2991.70053882586","-1458.35041795937"
"2","-1.22222222222222","-3.66666666666667","-1.75","-1","-1","5e-04","5e-04","5e-04","0.005","-5","0.2","0.2","974239","NaN","-1.75346115530162","-2.08671234666647","-1.28541150062532","-1.42107002027921","-1.66143066799796","0.000854049564558235","0.00364232607842448","0.0053866917168575","4.85207136997765e-05","-4.44500297235137","0.46563645183959","0.31154537098454","0","3084.81506536592","-1504.9076812294"
"3","-3","-4.55555555555556","-0.5","-0.5","-1","0.005","5e-04","5e-04","0.005","-15","0.2","0.2","254911","NaN","-1.36856379146832","-3.94200129870227","2.01879931888603","-0.929520158018421","-2.89478619416726","0.000558994745859137","0.00178761555154714","0.00983005741370343","-0.00106262165457978","-16.44150197257","0.412981029125115","0.282607830385968","0","2876.64472234331","-1400.8225097181"
"4","-1.88888888888889","-3.22222222222222","-3","-2","-3","0.005","5e-04","5e-04","0.005","-15","0.2","0.2","252046","NaN","-1.68376067258409","-4.36590590017343","-2.6004012324893","-0.841077207627818","-3.05163375000934","0.000534882502070537","0.001586607548471","0.0123021838017867","-0.00144782133285189","-14.9351244560386","0.418340459926322","0.279332128768494","0","2898.95258508774","-1411.97644109031"
"5","-1.66666666666667","-1.44444444444444","-3","-0.5","-0.5","5e-04","0.001","5e-04","0.005","-10","0.2","0.2","625087","NaN","10.8756359769979","11.2589836113324","-9.06650997389584","-3.47235832538308","-4.97157158547995","0.00199633085324019","0.027127951584584","0.0630729080587653","-0.0121219909579792","-15.6855653958753","0.525641641704388","0.280034215029644","0","3122.76845738317","-1523.88437723803"
"6","-2.33333333333333","-2.77777777777778","-1.75","-1","-0.5","5e-04","0.005","0.001","0.005","-15","0.2","0.2","314254","NaN","0.356188022571062","-0.162817385316353","5.19818320925838","-1.41876294950874","-3.86375505903769","0.000739191312873177","0.00559320171732225","0.0236357854413879","-0.00386924444905405","-23.8565085603866","0.508693786611806","0.285755317826416","0","3094.88621608493","-1509.94325658891"
"7","-1.66666666666667","-3.66666666666667","-0.5","-2","-1","0.001","0.001","5e-04","0.005","-5","0.2","0.2","991937","NaN","-1.71137292413627","-2.25810528308017","-0.599689384465905","-1.98775225021734","-2.42904182216818","0.000891041368038515","0.00339122053014843","0.008135700172841","-0.000508727667519017","-4.22088510528377","0.456112524213139","0.288130946075349","0","3012.81118689185","-1468.90574199237"
"8","-2.33333333333333","-1.88888888888889","-1.125","-2","-0.5","0.001","0.001","5e-04","5e-04","-5","0.2","0.2","750374","NaN","-1.21891116278496","-2.08132444624596","1.37916299817396","-2.31002600523158","-4.12677462497949","0.00106532105358676","0.00445708387528774","0.0256635744267588","-0.00418499328583691","-5.35167464491261","0.444911927801413","0.285545948441017","0","2956.95540564078","-1440.97785136683"
"9","-1","-1.88888888888889","-2.375","-2","-0.5","5e-04","0.005","5e-04","0.001","-10","0.2","0.2","516180","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"10","-2.11111111111111","-3.66666666666667","-3","-2","-3","0.005","5e-04","0.001","0.005","-15","0.2","0.2","292535","NaN","-1.64766813802791","-4.54987750967134","-1.75154941829526","-0.748511528456038","-4.8627317998398","0.000518727051809186","0.001542226848336","0.0472417824922121","-0.0108547767005038","-13.5910106767078","0.416662666167469","0.280958538565068","0","2882.31116114048","-1403.65572911668"
"11","-2.55555555555556","-3.66666666666667","-0.5","-2","-0.5","0.005","0.001","5e-04","0.005","-15","0.2","0.2","268933","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"12","-2.33333333333333","-1","-0.5","-0.5","-1","0.005","0.001","0.001","0.005","-5","0.2","0.2","1037994","NaN","-1.71277916917395","-2.70859885336995","1.4306282030903","-5.04860995661165","-3.7799679398319","0.00640503535870572","0.0149132793381569","0.0212192305974786","-0.00326791066527023","-7.6812309956613","0.456146433192165","0.279996747272391","0","2982.47549042047","-1453.73789375668"
